Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-08,28,Ingolstadt 1-2 Verl,Ingolstadt,Verl,ce2peiekg738wn1w3xnwwu590,2l3z4kl2zf3q6vr64gfegnlsk
2026-03-08,28,MSV Duisburg 4-2 Saarbrücken,MSV Duisburg,Saarbrücken,ce2peiekg738wn1w3xnwwu590,2n57qx2m1m7aodg6xtrq0093o
2026-03-08,28,Waldhof Mannheim 3-1 Havelse,Waldhof Mannheim,Havelse,ce2peiekg738wn1w3xnwwu590,2kro1wgp91t0ixkxlvgu0ksno
2026-03-07,28,Jahn Regensburg 0-2 Osnabrück,Jahn Regensburg,Osnabrück,ce2peiekg738wn1w3xnwwu590,2mt4zsmzq1o60ffqb7fx1mx3o
2026-03-07,28,Schweinfurt 3-2 Ulm,Schweinfurt,Ulm,ce2peiekg738wn1w3xnwwu590,2ntoaut7pzhfi5m033w87ztas
2026-03-07,28,Hoffenheim II 2-4 Rot-Weiss Essen,Hoffenheim II,Rot-Weiss Essen,ce2peiekg738wn1w3xnwwu590,2nhi9g5y1ufg8ruwolr9eo93o
2026-03-07,28,Wehen Wiesbaden 2-1 Stuttgart II,Wehen Wiesbaden,Stuttgart II,ce2peiekg738wn1w3xnwwu590,2mgykpblwi8j3c90nd5dcbpjo
2026-03-07,28,Energie Cottbus 0-0 Hansa Rostock,Energie Cottbus,Hansa Rostock,ce2peiekg738wn1w3xnwwu590,2m4wqperb1zz4ropxc9xcx1jo
2026-03-07,28,Erzgebirge Aue 1-3 Alemannia Aachen,Erzgebirge Aue,Alemannia Aachen,ce2peiekg738wn1w3xnwwu590,2lsevrwr7wxip8shgzaao42l0
2026-03-06,28,Viktoria Köln 0-1 1860 München,Viktoria Köln,1860 München,ce2peiekg738wn1w3xnwwu590,2lg8g26u3g6ggevmsg5xn2luc
2026-03-04,27,Rot-Weiss Essen 1-0 Waldhof Mannheim,Rot-Weiss Essen,Waldhof Mannheim,ce2peiekg738wn1w3xnwwu590,2jr749sp3rymq2js5od0kptlg
2026-03-04,27,Alemannia Aachen 1-0 Schweinfurt,Alemannia Aachen,Schweinfurt,ce2peiekg738wn1w3xnwwu590,2jcc4uy20hmvrze9hbu2vhdlg
2026-03-04,27,Havelse 1-3 Hansa Rostock,Havelse,Hansa Rostock,ce2peiekg738wn1w3xnwwu590,2j0867izlwi7dtsqhfxasdyxg
