Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-22,22.0,Perth Glory 1-1 Melbourne City,Perth Glory,Melbourne City,f2s3v11z1occwbp69h73coqvo,doki461cwd9lbrxbyno2y88b8
2026-03-22,22.0,Sydney 1-2 Newcastle Jets,Sydney,Newcastle Jets,f2s3v11z1occwbp69h73coqvo,do5oii7ixcpndbm9uh09n0etw
2026-03-21,22.0,Melbourne Victory 4-1 Central Coast Mariners,Melbourne Victory,Central Coast Mariners,f2s3v11z1occwbp69h73coqvo,dnqq1efm403135exsbdsymbkk
2026-03-21,22.0,Brisbane Roar 1-2 Wellington Phoenix,Brisbane Roar,Wellington Phoenix,f2s3v11z1occwbp69h73coqvo,dnbzq5if2pbj3wqe0dynnjy1g
2026-03-21,22.0,Auckland 1-2 Macarthur,Auckland,Macarthur,f2s3v11z1occwbp69h73coqvo,dmxh12ezlekr50brwindmhst0
2026-03-20,22.0,Western Sydney Wanderers 2-4 Adelaide United,Western Sydney Wanderers,Adelaide United,f2s3v11z1occwbp69h73coqvo,dmir581hg92gv1r1e48q78qac
2026-03-17,21.0,Sydney 0-1 Melbourne City,Sydney,Melbourne City,f2s3v11z1occwbp69h73coqvo,dlb2q527jkrn72uxmul97hyxg
2026-03-15,21.0,Melbourne Victory 4-1 Macarthur,Melbourne Victory,Macarthur,f2s3v11z1occwbp69h73coqvo,dlpmqwhzsq852h0vkl09vh82c
2026-03-14,21.0,Newcastle Jets 1-2 Auckland,Newcastle Jets,Auckland,f2s3v11z1occwbp69h73coqvo,dm2jd47sqfn70l99d1905f6z8
2026-03-14,21.0,Central Coast Mariners 1-1 Adelaide United,Central Coast Mariners,Adelaide United,f2s3v11z1occwbp69h73coqvo,dkvsym4dv5o2aqqexhpgthiqc
2026-03-14,21.0,Wellington Phoenix 2-0 Perth Glory,Wellington Phoenix,Perth Glory,f2s3v11z1occwbp69h73coqvo,dk25jlapqj8faic459wre67mc
2026-03-13,21.0,Brisbane Roar 2-2 Western Sydney Wanderers,Brisbane Roar,Western Sydney Wanderers,f2s3v11z1occwbp69h73coqvo,dkgo4h43scfnfhpfc147ejn6c
2026-03-08,20.0,Auckland 2-2 Perth Glory,Auckland,Perth Glory,f2s3v11z1occwbp69h73coqvo,djncarmklgts087h403r1553o
2026-03-07,20.0,Sydney 2-2 Melbourne Victory,Sydney,Melbourne Victory,f2s3v11z1occwbp69h73coqvo,dj8oqgoyacx9defn7was8zdas
2026-03-07,20.0,Newcastle Jets 2-1 Western Sydney Wanderers,Newcastle Jets,Western Sydney Wanderers,f2s3v11z1occwbp69h73coqvo,diu6rag5jelffvztr9arahams
2026-03-06,20.0,Adelaide United 1-1 Wellington Phoenix,Adelaide United,Wellington Phoenix,f2s3v11z1occwbp69h73coqvo,difguj01r9m9yvoi4et8krr4k
