Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-21,8,São Paulo 0-1 Palmeiras,São Paulo,Palmeiras,752zalnunu0zkdfbbm915kys4,doom1519n9qk9d8rlgq7l0n4k
2026-03-21,8,Fluminense 1-0 Atlético Mineiro,Fluminense,Atlético Mineiro,752zalnunu0zkdfbbm915kys4,dnmlnuroe04lcb4prd9h8mj2s
2026-03-21,8,RB Bragantino 1-2 Botafogo,RB Bragantino,Botafogo,752zalnunu0zkdfbbm915kys4,dpoal4dcfi5f3rh5faaq3bdw4
2026-03-19,7,Chapecoense 0-0 Corinthians,Chapecoense,Corinthians,752zalnunu0zkdfbbm915kys4,dn34ng7wefe0tdz2pv3uvmn84
2026-03-19,7,Flamengo 3-0 Remo,Flamengo,Remo,752zalnunu0zkdfbbm915kys4,dijuqotm3h2nf3ogq6wj8cqok
2026-03-19,7,Grêmio 2-0 Vitória,Grêmio,Vitória,752zalnunu0zkdfbbm915kys4,dlkqhqkmxn8e9tdkzr68twphw
2026-03-18,7,Santos 1-2 Internacional,Santos,Internacional,752zalnunu0zkdfbbm915kys4,djlj1w4odrwm1wj3ghm2egxzo
2026-03-18,7,Vasco da Gama 3-2 Fluminense,Vasco da Gama,Fluminense,752zalnunu0zkdfbbm915kys4,dj3kdyt40oycojetelyqtby1g
2026-03-18,7,Atlético Mineiro 1-0 São Paulo,Atlético Mineiro,São Paulo,752zalnunu0zkdfbbm915kys4,dl2qssrdbwekscempfet20ftg
2026-03-18,7,Mirassol 0-1 Coritiba,Mirassol,Coritiba,752zalnunu0zkdfbbm915kys4,dkl3dq9us4q5ful0i9urg37ro
2026-03-18,7,Athletico Paranaense 2-1 Cruzeiro,Athletico Paranaense,Cruzeiro,752zalnunu0zkdfbbm915kys4,dm2lmi1yyabzztgpgplg6cwlw
2026-03-18,7,Bahia 2-0 RB Bragantino,Bahia,RB Bragantino,752zalnunu0zkdfbbm915kys4,dmkjju78jg4icf10e5imupwd0
2026-03-18,7,Palmeiras 2-1 Botafogo,Palmeiras,Botafogo,752zalnunu0zkdfbbm915kys4,dk3alxva255uki1fvprsbxono
