Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-01,5,Ñublense 1-2 Universidad Católica,Ñublense,Universidad Católica,ikhh1wx11krn1uqgykcjof84,8hkpherqq605555jhy2gwrrx0
2026-03-01,5,Colo Colo 0-1 Universidad de Chile,Colo Colo,Universidad de Chile,ikhh1wx11krn1uqgykcjof84,8h2vjhb562y5m3fyfjmc0ntp0
2026-03-01,5,Universidad Concepción 0-3 Everton,Universidad Concepción,Everton,ikhh1wx11krn1uqgykcjof84,8ik0x645856ra7mj6ueuzo45w
2026-02-28,5,Palestino 4-2 O'Higgins,Palestino,O'Higgins,ikhh1wx11krn1uqgykcjof84,8jjev2t2twcgyja087v94hzis
2026-02-28,5,Deportes Limache 3-0 Huachipato,Deportes Limache,Huachipato,ikhh1wx11krn1uqgykcjof84,8k160dgxjuogoq3x7s5zw5hxw
2026-02-28,5,Coquimbo Unido 0-1 Deportes Concepción,Coquimbo Unido,Deportes Concepción,ikhh1wx11krn1uqgykcjof84,8kim5ewap6q44jjljeqdxrhg4
2026-02-27,5,Unión La Calera 3-0 Audax Italiano,Unión La Calera,Audax Italiano,ikhh1wx11krn1uqgykcjof84,8j1o6bnq4n1s9ua3mj2hv4xlg
2026-02-27,5,Cobresal 0-1 La Serena,Cobresal,La Serena,ikhh1wx11krn1uqgykcjof84,8i2c7jecx85vaxlzmtz7932tw
2026-02-22,4,Universidad de Chile 2-2 Deportes Limache,Universidad de Chile,Deportes Limache,ikhh1wx11krn1uqgykcjof84,8f142beyn924oojllsagpxyj8
2026-02-22,4,Audax Italiano 1-0 Everton,Audax Italiano,Everton,ikhh1wx11krn1uqgykcjof84,8ejr1slcd8snf36qcg9cs6wic
2026-02-22,4,La Serena 1-1 Universidad Concepción,La Serena,Universidad Concepción,ikhh1wx11krn1uqgykcjof84,8gip083uwflrs3k30btash4pg
2026-02-21,4,Universidad Católica 3-1 Coquimbo Unido,Universidad Católica,Coquimbo Unido,ikhh1wx11krn1uqgykcjof84,8e2bdgnjzio5iapmy30i2edjo
2026-02-21,4,O'Higgins 0-1 Colo Colo,O'Higgins,Colo Colo,ikhh1wx11krn1uqgykcjof84,8d2e9ks3578a52kgor4a9gg0k
2026-02-21,4,Huachipato 2-1 Palestino,Huachipato,Palestino,ikhh1wx11krn1uqgykcjof84,8fj5rfuqxe3mhn79ya220duz8
2026-02-20,4,Deportes Concepción 1-1 Cobresal,Deportes Concepción,Cobresal,ikhh1wx11krn1uqgykcjof84,8djvn0zeurq3ee33j2yh1x6vo
2026-02-20,4,Unión La Calera 0-1 Ñublense,Unión La Calera,Ñublense,ikhh1wx11krn1uqgykcjof84,8g0p0dhbn4m0rxzmbibwu4is4
2026-02-15,3,Colo Colo 1-0 Unión La Calera,Colo Colo,Unión La Calera,ikhh1wx11krn1uqgykcjof84,8aks3xxg1ng1ujg9x5l1owz6c
2026-02-15,3,Ñublense 1-0 Audax Italiano,Ñublense,Audax Italiano,ikhh1wx11krn1uqgykcjof84,8b23sj0qdigmg3a27vnepchsk
2026-02-15,3,Universidad Concepción 2-1 Deportes Concepción,Universidad Concepción,Deportes Concepción,ikhh1wx11krn1uqgykcjof84,8ckhf5m7v8vuzk9y0u6pfd9uc
2026-02-14,3,Cobresal 3-2 Universidad Católica,Cobresal,Universidad Católica,ikhh1wx11krn1uqgykcjof84,89lr79h4qqzmlcqh5yiixxiqc
2026-02-14,3,Deportes Limache 2-1 O'Higgins,Deportes Limache,O'Higgins,ikhh1wx11krn1uqgykcjof84,8bj8n6clal1uuvhspha6flxxw
2026-02-14,3,La Serena 0-1 Coquimbo Unido,La Serena,Coquimbo Unido,ikhh1wx11krn1uqgykcjof84,8a2tkn8z19gdk69mgiq48e4gk
2026-02-13,3,Palestino 0-0 Universidad de Chile,Palestino,Universidad de Chile,ikhh1wx11krn1uqgykcjof84,894a2ihy87qcv6aw9m525kf10
2026-02-13,3,Everton 0-3 Huachipato,Everton,Huachipato,ikhh1wx11krn1uqgykcjof84,8c2garraibtijdy4thyldukus
2026-02-09,2,Unión La Calera 3-1 Cobresal,Unión La Calera,Cobresal,ikhh1wx11krn1uqgykcjof84,85kl8g8hbr4voegtwkw9b75ec
2026-02-08,2,Universidad Católica 2-0 Deportes Concepción,Universidad Católica,Deportes Concepción,ikhh1wx11krn1uqgykcjof84,884fx4npnm07invujwrwz3m6s
2026-02-08,2,Ñublense 1-1 Deportes Limache,Ñublense,Deportes Limache,ikhh1wx11krn1uqgykcjof84,871mrv4th4usl6nh62j4d7ifo
2026-02-08,2,Huachipato 2-1 Universidad de Chile,Huachipato,Universidad de Chile,ikhh1wx11krn1uqgykcjof84,853lbu3ff252oy8k6wn6zydxw
2026-02-07,2,Colo Colo 2-0 Everton,Colo Colo,Everton,ikhh1wx11krn1uqgykcjof84,86kbxd3soas69t4jmik51qyhg
2026-02-07,2,O'Higgins 1-0 La Serena,O'Higgins,La Serena,ikhh1wx11krn1uqgykcjof84,861l6vvoxj9ai2jxdn41d6yok
2026-02-07,2,Coquimbo Unido 3-1 Palestino,Coquimbo Unido,Palestino,ikhh1wx11krn1uqgykcjof84,87mjhu871l6e9muhp3v56be38
