Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-21,3,Yunnan Yukun 4-0 Shandong Taishan,Yunnan Yukun,Shandong Taishan,e6818x4pwankpph8awr91m1hw,5jb9nu0y3iz5ygzihhdxuq9sk
2026-03-21,3,Qingdao West Coast 1-0 Shenzhen Peng City,Qingdao West Coast,Shenzhen Peng City,e6818x4pwankpph8awr91m1hw,5io0nc5vzroc6hhn338tv0mqc
2026-03-21,3,Chongqing Tonglianglong 3-3 Chengdu Rongcheng,Chongqing Tonglianglong,Chengdu Rongcheng,e6818x4pwankpph8awr91m1hw,5i54c9vn5a1zb1abbkz61tno4
2026-03-21,3,Henan 1-1 Wuhan Three Towns,Henan,Wuhan Three Towns,e6818x4pwankpph8awr91m1hw,5hd815stly9v2cybt4lneb4lw
2026-03-21,3,Liaoning Tieren 3-0 Tianjin Jinmen Tiger,Liaoning Tieren,Tianjin Jinmen Tiger,e6818x4pwankpph8awr91m1hw,5gtqenlhk2v46n7kcdy3ju8lw
2026-03-21,3,Beijing Guoan 1-1 Shanghai Shenhua,Beijing Guoan,Shanghai Shenhua,e6818x4pwankpph8awr91m1hw,5gb0r1v0fskczm4l8717r6bdg
2026-03-20,3,Qingdao Hainiu 1-4 Zhejiang,Qingdao Hainiu,Zhejiang,e6818x4pwankpph8awr91m1hw,5fs53kcysxroav168vgez1gr8
2026-03-20,3,Dalian Yingbo 1-0 Shanghai Port,Dalian Yingbo,Shanghai Port,e6818x4pwankpph8awr91m1hw,5f9ilrqrdipm2jsvj19664p3o
2026-03-15,2,Chengdu Rongcheng 1-0 Qingdao Hainiu,Chengdu Rongcheng,Qingdao Hainiu,e6818x4pwankpph8awr91m1hw,5eqtxlyfx6hkvpeloz80jrhuc
2026-03-15,2,Shanghai Port 4-1 Qingdao West Coast,Shanghai Port,Qingdao West Coast,e6818x4pwankpph8awr91m1hw,5e8wic5rpqpjjiiot1ih5pslw
2026-03-15,2,Henan 2-1 Yunnan Yukun,Henan,Yunnan Yukun,e6818x4pwankpph8awr91m1hw,5drbi6y5quym9nzbs1ovo1i50
2026-03-14,2,Shenzhen Peng City 1-0 Tianjin Jinmen Tiger,Shenzhen Peng City,Tianjin Jinmen Tiger,e6818x4pwankpph8awr91m1hw,5d8tp2eb54q1zf55qm4ezxrtg
2026-03-14,2,Chongqing Tonglianglong 1-0 Liaoning Tieren,Chongqing Tonglianglong,Liaoning Tieren,e6818x4pwankpph8awr91m1hw,5clsmrxeuis9k1phda89t3w2c
2026-03-14,2,Zhejiang 1-1 Shanghai Shenhua,Zhejiang,Shanghai Shenhua,e6818x4pwankpph8awr91m1hw,5brybupsyybo3svj4ih2nkbh0
2026-03-14,2,Shandong Taishan 2-1 Beijing Guoan,Shandong Taishan,Beijing Guoan,e6818x4pwankpph8awr91m1hw,5b7itquwb34mvwkmhkc3r4duc
2026-03-13,2,Wuhan Three Towns 4-1 Dalian Yingbo,Wuhan Three Towns,Dalian Yingbo,e6818x4pwankpph8awr91m1hw,5anxj6kkutrqznjvk2qoyw5jo
2026-03-08,1,Wuhan Three Towns 0-2 Beijing Guoan,Wuhan Three Towns,Beijing Guoan,e6818x4pwankpph8awr91m1hw,5a5g5bg2i6bdznuqw4mjhal1w
2026-03-08,1,Zhejiang 2-0 Qingdao West Coast,Zhejiang,Qingdao West Coast,e6818x4pwankpph8awr91m1hw,59il8brg4o1dya7uj8u2jt15g
2026-03-07,1,Yunnan Yukun 3-1 Qingdao Hainiu,Yunnan Yukun,Qingdao Hainiu,e6818x4pwankpph8awr91m1hw,58wueem121ww08o6oofj5lst0
2026-03-07,1,Shanghai Port 1-2 Henan,Shanghai Port,Henan,e6818x4pwankpph8awr91m1hw,58agmtttj740879j44wwi6yhg
2026-03-07,1,Shanghai Shenhua 5-3 Dalian Yingbo,Shanghai Shenhua,Dalian Yingbo,e6818x4pwankpph8awr91m1hw,57n0r09wrq9z6xqjz74dvjlec
2026-03-07,1,Shandong Taishan 3-0 Liaoning Tieren,Shandong Taishan,Liaoning Tieren,e6818x4pwankpph8awr91m1hw,570dhnc0klkhh6cxhhkdhlfdg
2026-03-07,1,Tianjin Jinmen Tiger 0-0 Chongqing Tonglianglong,Tianjin Jinmen Tiger,Chongqing Tonglianglong,e6818x4pwankpph8awr91m1hw,56d8mylfc09pay6n034ox2b6c
2026-03-06,1,Chengdu Rongcheng 5-1 Shenzhen Peng City,Chengdu Rongcheng,Shenzhen Peng City,e6818x4pwankpph8awr91m1hw,55o7bxuznykypm8ix9zy18bo4
