Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-02-04,4,Atlético Nacional 2-1 América de Cali,Atlético Nacional,América de Cali,5l22b8pqde1bdxk6377auk3ro,3v2ag9qsqh44gpoxwj4iqchlg
2026-02-02,4,Deportivo Pereira 2-3 Junior,Deportivo Pereira,Junior,5l22b8pqde1bdxk6377auk3ro,3uhf8epnxqe0kpyt8binvezh0
2026-02-02,4,Inter Bogotá 0-0 Deportes Tolima,Inter Bogotá,Deportes Tolima,5l22b8pqde1bdxk6377auk3ro,3tyalh7v8jfsrgfgtr3thkglw
2026-02-02,4,Millonarios 0-0 Independiente Medellín,Millonarios,Independiente Medellín,5l22b8pqde1bdxk6377auk3ro,3qysqbnzm8rou99xyjevhhp1w
2026-02-01,4,Llaneros 1-1 Águilas Doradas,Llaneros,Águilas Doradas,5l22b8pqde1bdxk6377auk3ro,3tf7vbnud1yornxpa5b00w2s4
2026-02-01,4,Once Caldas 1-1 Jaguares de Córdoba,Once Caldas,Jaguares de Córdoba,5l22b8pqde1bdxk6377auk3ro,3su9fvi1v338p4a7l1h6du49g
2026-02-01,4,Deportivo Cali 3-0 Deportivo Pasto,Deportivo Cali,Deportivo Pasto,5l22b8pqde1bdxk6377auk3ro,3s215s20thwtrn8lqkcuml0yc
2026-02-01,4,Atlético Bucaramanga 5-0 Alianza,Atlético Bucaramanga,Alianza,5l22b8pqde1bdxk6377auk3ro,3rirczaqt864jbiaa0ldlkys4
2026-01-31,4,Boyacá Chicó 0-1 Independiente Santa Fe,Boyacá Chicó,Independiente Santa Fe,5l22b8pqde1bdxk6377auk3ro,3qfh86ynbiy5mv1x7ypsbup78
2026-01-31,4,Cúcuta Deportivo 1-1 Fortaleza,Cúcuta Deportivo,Fortaleza,5l22b8pqde1bdxk6377auk3ro,3pwhbwl2u3mh25t7gwlb2zc44
2026-01-29,3,América de Cali 1-1 Once Caldas,América de Cali,Once Caldas,5l22b8pqde1bdxk6377auk3ro,3ost28csw6viv7m9lr7lobaj8
2026-01-29,3,Jaguares de Córdoba 2-3 Inter Bogotá,Jaguares de Córdoba,Inter Bogotá,5l22b8pqde1bdxk6377auk3ro,3o8onkqlp0zvt5wkzvuu1bnro
2026-01-29,3,Águilas Doradas 2-1 Deportivo Cali,Águilas Doradas,Deportivo Cali,5l22b8pqde1bdxk6377auk3ro,3npc2mgrihdlop1yl57lia9sk
2026-01-28,3,Deportivo Pasto 2-1 Millonarios,Deportivo Pasto,Millonarios,5l22b8pqde1bdxk6377auk3ro,3mp859h0ccjohjfr5tye7fhn8
2026-01-28,3,Independiente Santa Fe 2-2 Deportivo Pereira,Independiente Santa Fe,Deportivo Pereira,5l22b8pqde1bdxk6377auk3ro,3n85x3lixbhc7y0i5f94ugwes
2026-01-28,3,Alianza 1-1 Boyacá Chicó,Alianza,Boyacá Chicó,5l22b8pqde1bdxk6377auk3ro,3m5qmh1uj58d0efhbq2ph68lw
