Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-20,33,TOP Oss 2-1 Eindhoven,TOP Oss,Eindhoven,25u7u2cp66kftzrrneazqp3x0,d18t34nkf4c0rso83u8rpces
2026-03-20,33,Cambuur 3-4 AZ II,Cambuur,AZ II,25u7u2cp66kftzrrneazqp3x0,cmv76n2srzy3aunqwf2v2w44
2026-03-20,33,Roda JC 1-1 Helmond Sport,Roda JC,Helmond Sport,25u7u2cp66kftzrrneazqp3x0,c8txgh9z0lokd7meqhzrnlzo
2026-03-20,33,Utrecht II 3-1 Dordrecht,Utrecht II,Dordrecht,25u7u2cp66kftzrrneazqp3x0,bghwwjc7r922s37ga3nyjmdw
2026-03-20,33,Ajax II 0-2 Almere City,Ajax II,Almere City,25u7u2cp66kftzrrneazqp3x0,b2j7wjflw585gmxyvkyescus
2026-03-20,33,Emmen 2-2 VVV,Emmen,VVV,25u7u2cp66kftzrrneazqp3x0,amitvi8107ulbiqipzuojp5g
2026-03-20,33,PSV II 0-2 Vitesse,PSV II,Vitesse,25u7u2cp66kftzrrneazqp3x0,2dq7q9pzvm1baa12vo9uv4wt0
2026-03-17,32,VVV 0-1 Ajax II,VVV,Ajax II,25u7u2cp66kftzrrneazqp3x0,a8dc3zsao30x7fbbjx35faxg
2026-03-17,32,Dordrecht 2-2 TOP Oss,Dordrecht,TOP Oss,25u7u2cp66kftzrrneazqp3x0,9uftvvsvqzq0ky3mcq19gn4k
2026-03-17,32,Almere City 2-2 RKC Waalwijk,Almere City,RKC Waalwijk,25u7u2cp66kftzrrneazqp3x0,9gk1vq2rgfkoxzxig7rebkes
2026-03-17,32,ADO Den Haag 1-0 Utrecht II,ADO Den Haag,Utrecht II,25u7u2cp66kftzrrneazqp3x0,92ozt20ye3hykmwja7rfwges
2026-03-16,32,AZ II 1-1 MVV,AZ II,MVV,25u7u2cp66kftzrrneazqp3x0,85s1gfdd84geo693g8dxv66s
2026-03-16,32,Helmond Sport 0-1 Cambuur,Helmond Sport,Cambuur,25u7u2cp66kftzrrneazqp3x0,7q3i8jqhx2dajflvdlyoy6ms
2026-03-16,32,Den Bosch 1-0 PSV II,Den Bosch,PSV II,25u7u2cp66kftzrrneazqp3x0,79s8kpg657j0ebc6p0k386j8
2026-03-16,32,Roda JC 0-1 Vitesse,Roda JC,Vitesse,25u7u2cp66kftzrrneazqp3x0,2def47k73w30vg31unf8pmt5g
2026-03-14,31,De Graafschap 2-1 Dordrecht,De Graafschap,Dordrecht,25u7u2cp66kftzrrneazqp3x0,6utsw51rhb0whrr0yzyfxj4k
2026-03-13,31,TOP Oss 1-3 Willem II,TOP Oss,Willem II,25u7u2cp66kftzrrneazqp3x0,62xt7frpc5i6z1c0o029m8lw
2026-03-13,31,Cambuur 1-1 Roda JC,Cambuur,Roda JC,25u7u2cp66kftzrrneazqp3x0,5p7oxf9u7ai6w1tc0s4k18no
2026-03-13,31,RKC Waalwijk 2-1 AZ II,RKC Waalwijk,AZ II,25u7u2cp66kftzrrneazqp3x0,57rsy8m0j9muenkubn9jupzo
2026-03-13,31,MVV 2-1 VVV,MVV,VVV,25u7u2cp66kftzrrneazqp3x0,4tsj1h37kp3k57fijp6nla8k
2026-03-13,31,PSV II 1-2 Eindhoven,PSV II,Eindhoven,25u7u2cp66kftzrrneazqp3x0,4fl1zzddwm1qc2z1zkgc9st0
2026-03-13,31,Utrecht II 1-0 Helmond Sport,Utrecht II,Helmond Sport,25u7u2cp66kftzrrneazqp3x0,41j6skjsrv16ckyb9z933rpw
2026-03-13,31,Ajax II 3-2 Den Bosch,Ajax II,Den Bosch,25u7u2cp66kftzrrneazqp3x0,3nrvzmqv2b9vvb8ni5zg0o44
2026-03-13,31,Emmen 0-1 ADO Den Haag,Emmen,ADO Den Haag,25u7u2cp66kftzrrneazqp3x0,3a3affzhok2g3wecvb066eqc
2026-03-13,31,Vitesse 1-3 Almere City,Vitesse,Almere City,25u7u2cp66kftzrrneazqp3x0,2d2of633rabwhrc0btumxjdw4
2026-03-09,30,AZ II 2-3 Emmen,AZ II,Emmen,25u7u2cp66kftzrrneazqp3x0,2vavfg4pck6ogauy0qd7pvdg
2026-03-08,30,Cambuur 1-0 Utrecht II,Cambuur,Utrecht II,25u7u2cp66kftzrrneazqp3x0,2f0uzttmgdbm7ti5adtwdpg4
2026-03-08,30,Willem II 1-1 Den Bosch,Willem II,Den Bosch,25u7u2cp66kftzrrneazqp3x0,1year287nrdr06xfurw1kb2s
2026-03-08,30,De Graafschap 1-4 Vitesse,De Graafschap,Vitesse,25u7u2cp66kftzrrneazqp3x0,2cqzw916u70ouxlj9zfyinuvo
2026-03-07,30,Almere City 1-0 ADO Den Haag,Almere City,ADO Den Haag,25u7u2cp66kftzrrneazqp3x0,141wnduviejgfc2zy9nh37kk
2026-03-06,30,VVV 0-3 RKC Waalwijk,VVV,RKC Waalwijk,25u7u2cp66kftzrrneazqp3x0,q7a6qce8fhj8zkyjk36e5n8
2026-03-06,30,Helmond Sport 1-1 TOP Oss,Helmond Sport,TOP Oss,25u7u2cp66kftzrrneazqp3x0,f5i3eox51jg8ku7lfzx0rwa38
2026-03-06,30,Eindhoven 2-1 Ajax II,Eindhoven,Ajax II,25u7u2cp66kftzrrneazqp3x0,f543iyqrgf5jru3vh2ldss4k4
2026-03-06,30,Dordrecht 1-1 MVV,Dordrecht,MVV,25u7u2cp66kftzrrneazqp3x0,f4q1mbhdvpvahpbrcf7aocrh0
2026-03-06,30,Roda JC 0-2 PSV II,Roda JC,PSV II,25u7u2cp66kftzrrneazqp3x0,c5canw7oidlmr6siideia6s
2026-03-03,26,Cambuur 3-2 Almere City,Cambuur,Almere City,25u7u2cp66kftzrrneazqp3x0,erlsi340g0oj7s9oyfrt2g5jo
2026-03-02,26,Emmen 1-0 Utrecht II,Emmen,Utrecht II,25u7u2cp66kftzrrneazqp3x0,epa12ckelw1b87ee9isxboj6c
2026-02-27,29,TOP Oss 1-2 Cambuur,TOP Oss,Cambuur,25u7u2cp66kftzrrneazqp3x0,f3y5kh443p7rg9xxc4j8u6gb8
2026-02-27,29,RKC Waalwijk 2-1 Eindhoven,RKC Waalwijk,Eindhoven,25u7u2cp66kftzrrneazqp3x0,f3k1tjygywxiow3oqxz2nlwd0
2026-02-27,29,MVV 3-3 De Graafschap,MVV,De Graafschap,25u7u2cp66kftzrrneazqp3x0,f35i7xw2yksr9ut93trvv3hg4
2026-02-27,29,PSV II 1-1 Dordrecht,PSV II,Dordrecht,25u7u2cp66kftzrrneazqp3x0,f2rmotzzf1djk0ryagvl7uvis
2026-02-27,29,Utrecht II 2-3 Almere City,Utrecht II,Almere City,25u7u2cp66kftzrrneazqp3x0,f2db2e3t2iwctnlw3jiyr4ems
2026-02-27,29,Ajax II 5-1 Helmond Sport,Ajax II,Helmond Sport,25u7u2cp66kftzrrneazqp3x0,f1zijui1371j6fay8fsfxcil0
2026-02-27,29,Emmen 0-3 Willem II,Emmen,Willem II,25u7u2cp66kftzrrneazqp3x0,f1lq5cu9dbnjfgj38kj84w8b8
2026-02-27,29,Den Bosch 2-2 Roda JC,Den Bosch,Roda JC,25u7u2cp66kftzrrneazqp3x0,f17urhcqwip7khj7jn243u4no
2026-02-27,29,ADO Den Haag 1-0 VVV,ADO Den Haag,VVV,25u7u2cp66kftzrrneazqp3x0,f0t90ax7z0t61g0eo1t278gt0
2026-02-27,29,Vitesse 2-0 AZ II,Vitesse,AZ II,25u7u2cp66kftzrrneazqp3x0,2cfdqt6xzgi11zbruiwi2pyqc
2026-02-24,24,Cambuur 2-1 Eindhoven,Cambuur,Eindhoven,25u7u2cp66kftzrrneazqp3x0,eijvk105eplwtjncq2f1ox5hw
2026-02-24,22,Willem II 0-1 ADO Den Haag,Willem II,ADO Den Haag,25u7u2cp66kftzrrneazqp3x0,eaoasa1cw4hx5acro4tdnxy50
2026-02-23,28,AZ II 2-2 Den Bosch,AZ II,Den Bosch,25u7u2cp66kftzrrneazqp3x0,f0758p4lkcl92oljgpwmfthqs
2026-02-23,24,Emmen 0-0 Ajax II,Emmen,Ajax II,25u7u2cp66kftzrrneazqp3x0,ejp9z2goc2lef1c57s825dtzo
2026-02-22,28,Roda JC 2-0 MVV,Roda JC,MVV,25u7u2cp66kftzrrneazqp3x0,ezowlnywzf3ifgd0pk4wqnf2s
2026-02-21,28,Eindhoven 3-2 Almere City,Eindhoven,Almere City,25u7u2cp66kftzrrneazqp3x0,ezb3ej3fq3at4gkecgl74hi50
2026-02-20,28,VVV 1-1 TOP Oss,VVV,TOP Oss,25u7u2cp66kftzrrneazqp3x0,eyis0ilh098ta00bt1i1gvvo4
2026-02-20,28,Cambuur 1-1 RKC Waalwijk,Cambuur,RKC Waalwijk,25u7u2cp66kftzrrneazqp3x0,ey4sm01kyg4iz8scjd0xk85jo
2026-02-20,28,Helmond Sport 1-3 ADO Den Haag,Helmond Sport,ADO Den Haag,25u7u2cp66kftzrrneazqp3x0,exr34tbf44n2qilxcf5vz87bo
2026-02-20,28,Emmen 2-3 PSV II,Emmen,PSV II,25u7u2cp66kftzrrneazqp3x0,exdgi3j7dwtcoqsch7lz3lmvo
2026-02-20,28,Dordrecht 0-1 Ajax II,Dordrecht,Ajax II,25u7u2cp66kftzrrneazqp3x0,ewzramqdbyacyum73webk36z8
2026-02-20,28,De Graafschap 1-0 Utrecht II,De Graafschap,Utrecht II,25u7u2cp66kftzrrneazqp3x0,ewm8bjvrlvlg75pq7561schzo
