Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-01,0,Mumbai City 1-1 NorthEast United,Mumbai City,NorthEast United,d70h9cciplfhf01fn96gpcw0k,8mxs1mnve62o2s54viw1gg93o
2026-03-01,0,Odisha 1-1 Chennaiyin,Odisha,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,8m18n53u1upfmj5nbjqxft91w
2026-02-28,0,Mohun Bagan 5-1 Mohammedan,Mohun Bagan,Mohammedan,d70h9cciplfhf01fn96gpcw0k,8lfxuxphzt0eg396lk1lm7m6s
2026-02-28,0,Kerala Blasters 1-2 Inter Kashi,Kerala Blasters,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,8kqoltf5zwtdteyyepu0yh89g
2026-02-27,0,Bengaluru 0-2 Punjab,Bengaluru,Punjab,d70h9cciplfhf01fn96gpcw0k,8k3hb2v83t0f9kv3yhb37byfo
2026-02-27,0,East Bengal 1-2 Jamshedpur,East Bengal,Jamshedpur,d70h9cciplfhf01fn96gpcw0k,8jfmh2b4d0pbfo2ihofrbx6hg
2026-02-26,0,Goa 1-0 Sporting Delhi,Goa,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,8ir0ysxbv6a0tvg8mjqu08oic
2026-02-24,0,Odisha 0-0 Inter Kashi,Odisha,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,8i3c7d7saaucwkhcrv4m74lqs
2026-02-23,0,Mohun Bagan 2-0 Chennaiyin,Mohun Bagan,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,8he5esgcnp7clgyy06elwjevo
2026-02-22,0,Kerala Blasters 0-1 Mumbai City,Kerala Blasters,Mumbai City,d70h9cciplfhf01fn96gpcw0k,8gr6ccg50p3tzwfeget6b572s
2026-02-22,0,Bengaluru 1-1 NorthEast United,Bengaluru,NorthEast United,d70h9cciplfhf01fn96gpcw0k,8fvhimx10c4j7f3kjrfa2k9as
2026-02-21,0,Jamshedpur 1-0 Punjab,Jamshedpur,Punjab,d70h9cciplfhf01fn96gpcw0k,8f9620nxpbtyd5jtpo4wow7is
2026-02-21,0,East Bengal 4-1 Sporting Delhi,East Bengal,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,8eq1cl4mqiem7o10woa4g0qhg
2026-02-20,0,Mohammedan 0-2 Goa,Mohammedan,Goa,d70h9cciplfhf01fn96gpcw0k,8e74zbgxyggkvauouhtkqj11w
2026-02-19,0,Mumbai City 1-0 Chennaiyin,Mumbai City,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,8dlcot3dh5pr3poisqej66978
2026-02-16,0,East Bengal 3-0 NorthEast United,East Bengal,NorthEast United,d70h9cciplfhf01fn96gpcw0k,8d12ai16awutqd0wnax5fuaz8
2026-02-15,0,Bengaluru 2-0 Sporting Delhi,Bengaluru,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,8btokgt1z8iyyrx31q110yihg
2026-02-15,0,Jamshedpur 1-0 Mohammedan,Jamshedpur,Mohammedan,d70h9cciplfhf01fn96gpcw0k,8b59518froavzvtdlsbjhv7ro
2026-02-14,0,Goa 1-1 Inter Kashi,Goa,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,8agpa4bh49xz1epepwryqjllg
2026-02-14,0,Mohun Bagan 2-0 Kerala Blasters,Mohun Bagan,Kerala Blasters,d70h9cciplfhf01fn96gpcw0k,89qrngzmzrf0cyb07yb2g1qtw
