Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-20,8,Shamrock Rovers 2-0 Galway United,Shamrock Rovers,Galway United,6zkfyunc0lfteytfj6slonuhg,dno7s8ze67ug3r77yraw4of10
2026-03-20,8,Bohemians 1-1 Dundalk,Bohemians,Dundalk,6zkfyunc0lfteytfj6slonuhg,dlq9o9qof5cszjiq2clrumw44
2026-03-20,8,Waterford 0-2 St Patrick's Athletic,Waterford,St Patrick's Athletic,6zkfyunc0lfteytfj6slonuhg,dn2xp44y20xphsjsveodpvx1w
2026-03-20,8,Derry City 2-2 Drogheda United,Derry City,Drogheda United,6zkfyunc0lfteytfj6slonuhg,dmezwq8lmo6h0xwyfcphd785w
2026-03-16,7,Galway United 4-3 Waterford,Galway United,Waterford,6zkfyunc0lfteytfj6slonuhg,djqgm424p2anv2bfk7e55umfo
2026-03-16,7,St Patrick's Athletic 0-0 Derry City,St Patrick's Athletic,Derry City,6zkfyunc0lfteytfj6slonuhg,dl0sl12lida4hnemiuy8tm68k
2026-03-16,7,Shelbourne 0-0 Bohemians,Shelbourne,Bohemians,6zkfyunc0lfteytfj6slonuhg,dkaosk6j460zw3nxqynnoz4lw
2026-03-16,7,Dundalk 1-0 Sligo Rovers,Dundalk,Sligo Rovers,6zkfyunc0lfteytfj6slonuhg,dj78b4wpnelq2il00k64ecopg
2026-03-16,7,Drogheda United 0-0 Shamrock Rovers,Drogheda United,Shamrock Rovers,6zkfyunc0lfteytfj6slonuhg,dio2dl9igevnytzosmaldco44
2026-03-13,6,Sligo Rovers 0-2 Shamrock Rovers,Sligo Rovers,Shamrock Rovers,6zkfyunc0lfteytfj6slonuhg,dhjoe6g27it999au7bp4k39ck
2026-03-13,6,St Patrick's Athletic 4-1 Drogheda United,St Patrick's Athletic,Drogheda United,6zkfyunc0lfteytfj6slonuhg,di4ks80zj390fbz4g84j5cxlg
2026-03-13,6,Dundalk 5-0 Waterford,Dundalk,Waterford,6zkfyunc0lfteytfj6slonuhg,dh0iyvrkq1sn7e4u1s1th3fh0
2026-03-13,6,Derry City 1-2 Shelbourne,Derry City,Shelbourne,6zkfyunc0lfteytfj6slonuhg,dgguvrgda5jz8f995b5g74aok
2026-03-13,6,Bohemians 1-0 Galway United,Bohemians,Galway United,6zkfyunc0lfteytfj6slonuhg,dfpxckbjx98m5ix2i8szb2d5g
2026-03-09,2,Shelbourne 2-2 Shamrock Rovers,Shelbourne,Shamrock Rovers,6zkfyunc0lfteytfj6slonuhg,d3znbfwe0p3blbsl0iy649jbo
2026-03-07,5,Sligo Rovers 2-1 Drogheda United,Sligo Rovers,Drogheda United,6zkfyunc0lfteytfj6slonuhg,depwzdv7ovz9lf98jhykaa904
2026-03-06,5,Shamrock Rovers 1-0 Derry City,Shamrock Rovers,Derry City,6zkfyunc0lfteytfj6slonuhg,de03rfi3yddv3a0dxeoe2rggk
2026-03-06,5,Shelbourne 2-3 St Patrick's Athletic,Shelbourne,St Patrick's Athletic,6zkfyunc0lfteytfj6slonuhg,dciivkmxxrhh0hx8ltnkn3y1g
2026-03-06,5,Waterford 0-1 Bohemians,Waterford,Bohemians,6zkfyunc0lfteytfj6slonuhg,ddey13zf9h8zn597c6mh7nbpw
2026-03-06,5,Galway United 2-2 Dundalk,Galway United,Dundalk,6zkfyunc0lfteytfj6slonuhg,dbzczx22re4iyjo53aiupijv8
2026-03-02,2,St Patrick's Athletic 1-0 Galway United,St Patrick's Athletic,Galway United,6zkfyunc0lfteytfj6slonuhg,d4krkrgwykzyipna7xi1jgl5g
2026-02-27,4,Bohemians 3-2 Shamrock Rovers,Bohemians,Shamrock Rovers,6zkfyunc0lfteytfj6slonuhg,d8lxhlvdigndnsjvo1j2g2sr8
