Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-20,7,Albirex Niigata 2-3 Kataller Toyama,Albirex Niigata,Kataller Toyama,dravffoq2eoiy7a4unvr5djpw,80k1vyini25y6z68gpnru43ro
2026-03-20,7,Thespa Gunma 0-2 Shonan Bellmare,Thespa Gunma,Shonan Bellmare,dravffoq2eoiy7a4unvr5djpw,57s18f1o3arpgh54o0s85kq38
2026-03-15,6,Gifu 2-1 Fukushima United,Gifu,Fukushima United,dravffoq2eoiy7a4unvr5djpw,6l359bpomghdsr92jbkob4w0k
2026-03-15,6,Kagoshima United 1-0 Reilac Shiga,Kagoshima United,Reilac Shiga,dravffoq2eoiy7a4unvr5djpw,9ev5nxk35d9dpb9zjuo0yvg9g
2026-03-15,6,Ehime 0-1 Osaka,Ehime,Osaka,dravffoq2eoiy7a4unvr5djpw,7zetl7s9hcxgjnzclaysfrs44
2026-03-15,6,Tokushima Vortis 1-0 Kamatamare Sanuki,Tokushima Vortis,Kamatamare Sanuki,dravffoq2eoiy7a4unvr5djpw,7yvswbor57f11bi0lv07bkjdg
2026-03-15,6,Yokohama 3-0 Thespa Gunma,Yokohama,Thespa Gunma,dravffoq2eoiy7a4unvr5djpw,551rzv7anku7p7iqfklb4urdg
2026-03-15,6,Kataller Toyama 0-2 Zweigen Kanazawa,Kataller Toyama,Zweigen Kanazawa,dravffoq2eoiy7a4unvr5djpw,7xtfi00cfueg95qnob8ij2vbo
2026-03-15,6,Roasso Kumamoto 0-1 Gainare Tottori,Roasso Kumamoto,Gainare Tottori,dravffoq2eoiy7a4unvr5djpw,9dr640s0o6qfxlws2e1ki9xxw
2026-03-15,6,Blaublitz Akita 2-0 Tochigi,Blaublitz Akita,Tochigi,dravffoq2eoiy7a4unvr5djpw,54ii7ch1ehftsb6il9vv8f0us
2026-03-15,6,Vanraure Hachinohe 0-1 Tochigi City,Vanraure Hachinohe,Tochigi City,dravffoq2eoiy7a4unvr5djpw,53fg4kxuwxxdfopgy44wmpjpw
2026-03-14,6,Ryūkyū 1-1 Renofa Yamaguchi,Ryūkyū,Renofa Yamaguchi,dravffoq2eoiy7a4unvr5djpw,9fe7pcq23sblmbbapf3gxuo0k
2026-03-14,6,Tegevajaro Miyazaki 1-0 Oita Trinita,Tegevajaro Miyazaki,Oita Trinita,dravffoq2eoiy7a4unvr5djpw,9ea3iuzg798o0xpzliqannkes
2026-03-14,6,Sagan Tosu 1-0 Giravanz Kitakyushu,Sagan Tosu,Giravanz Kitakyushu,dravffoq2eoiy7a4unvr5djpw,9d7zyg8cbqina5tldo47be7tg
2026-03-14,6,Nara Club 0-0 Albirex Niigata,Nara Club,Albirex Niigata,dravffoq2eoiy7a4unvr5djpw,7ycs9grxgqqpzqbo7vcm0328k
2026-03-14,6,Júbilo Iwata 0-1 Consadole Sapporo,Júbilo Iwata,Consadole Sapporo,dravffoq2eoiy7a4unvr5djpw,6ki4foqgusgbt7azrm2p6lkpg
2026-03-14,6,Nagano Parceiro 0-5 Matsumoto Yamaga,Nagano Parceiro,Matsumoto Yamaga,dravffoq2eoiy7a4unvr5djpw,6jyypsjtmp8cnu69su5iq1ij8
2026-03-14,6,Ventforet Kofu 0-1 Iwaki,Ventforet Kofu,Iwaki,dravffoq2eoiy7a4unvr5djpw,6jfvxnikb7qscap3ygkfp32tw
2026-03-14,6,Omiya Ardija 1-2 Fujieda MYFC,Omiya Ardija,Fujieda MYFC,dravffoq2eoiy7a4unvr5djpw,6iwuyfq8gnrlj93pm7bo1tyqc
2026-03-14,6,Shonan Bellmare 2-1 Montedio Yamagata,Shonan Bellmare,Montedio Yamagata,dravffoq2eoiy7a4unvr5djpw,55mpslazsbq237uyor3dypgk4
2026-03-14,6,Vegalta Sendai 3-1 Sagamihara,Vegalta Sendai,Sagamihara,dravffoq2eoiy7a4unvr5djpw,53z7sw2au09405dqv4i1o1a8k
2026-03-14,6,Kochi United 2-0 Imabari,Kochi United,Imabari,dravffoq2eoiy7a4unvr5djpw,7zxxey7znpe1oo96jz1f0tzpw
2026-03-08,5,Oita Trinita 0-0 Kagoshima United,Oita Trinita,Kagoshima United,dravffoq2eoiy7a4unvr5djpw,9cozr6hbv7siz9hza3hojexw4
2026-03-08,5,Gainare Tottori 0-0 Ryūkyū,Gainare Tottori,Ryūkyū,dravffoq2eoiy7a4unvr5djpw,9b3ron9yg165107c3z7dbk55g
2026-03-08,5,Reilac Shiga 1-0 Roasso Kumamoto,Reilac Shiga,Roasso Kumamoto,dravffoq2eoiy7a4unvr5djpw,9akzgo6gpirh9xciv4skqi2ac
2026-03-08,5,Kamatamare Sanuki 1-0 Imabari,Kamatamare Sanuki,Imabari,dravffoq2eoiy7a4unvr5djpw,7x8d1222igiz8o2f271kskf84
2026-03-08,5,Zweigen Kanazawa 0-4 Tokushima Vortis,Zweigen Kanazawa,Tokushima Vortis,dravffoq2eoiy7a4unvr5djpw,7w5jah1jskay91k6ncvvkeluc
2026-03-08,5,Kataller Toyama 2-2 Ehime,Kataller Toyama,Ehime,dravffoq2eoiy7a4unvr5djpw,7vh92dfozhtfhv3caol9ny1as
2026-03-08,5,Gifu 0-1 Ventforet Kofu,Gifu,Ventforet Kofu,dravffoq2eoiy7a4unvr5djpw,6iczs0qty8xdevk6yxb4hj2tw
2026-03-08,5,Fukushima United 4-2 Nagano Parceiro,Fukushima United,Nagano Parceiro,dravffoq2eoiy7a4unvr5djpw,6fxnc2ve7rkvtmdggq2sszyms
2026-03-08,5,Sagamihara 4-0 Tochigi,Sagamihara,Tochigi,dravffoq2eoiy7a4unvr5djpw,52wkf4taxxj2hosgbd17eii38
2026-03-08,5,Tochigi City 1-1 Thespa Gunma,Tochigi City,Thespa Gunma,dravffoq2eoiy7a4unvr5djpw,52de0q4tac7fep6vyg59s9yc4
2026-03-08,5,Montedio Yamagata 0-1 Blaublitz Akita,Montedio Yamagata,Blaublitz Akita,dravffoq2eoiy7a4unvr5djpw,51ud6ja82vlbclq72e1qzalg4
2026-03-08,5,Vanraure Hachinohe 1-1 Yokohama,Vanraure Hachinohe,Yokohama,dravffoq2eoiy7a4unvr5djpw,50r9t0wnie1fbsbb1hell8etw
2026-03-07,5,Giravanz Kitakyushu 2-3 Tegevajaro Miyazaki,Giravanz Kitakyushu,Tegevajaro Miyazaki,dravffoq2eoiy7a4unvr5djpw,9c5trz3d738009myobenb4wt0
2026-03-07,5,Renofa Yamaguchi 2-0 Sagan Tosu,Renofa Yamaguchi,Sagan Tosu,dravffoq2eoiy7a4unvr5djpw,9bmwh2zog6buhxmr3e1363j84
2026-03-07,5,Albirex Niigata 2-2 Kochi United,Albirex Niigata,Kochi United,dravffoq2eoiy7a4unvr5djpw,7uvtx33xsw7mvezfrzdzq7mz8
2026-03-07,5,Fujieda MYFC 1-1 Júbilo Iwata,Fujieda MYFC,Júbilo Iwata,dravffoq2eoiy7a4unvr5djpw,6hl35dg7gfnwbrwk1adubtyc4
2026-03-07,5,Matsumoto Yamaga 3-0 Consadole Sapporo,Matsumoto Yamaga,Consadole Sapporo,dravffoq2eoiy7a4unvr5djpw,6h1q7fwbsvfb43wqnlbm5ao7o
2026-03-07,5,Iwaki 1-1 Omiya Ardija,Iwaki,Omiya Ardija,dravffoq2eoiy7a4unvr5djpw,6ggnwvyhnnlxukmgrr8dhls0k
2026-03-07,5,Vegalta Sendai 1-1 Shonan Bellmare,Vegalta Sendai,Shonan Bellmare,dravffoq2eoiy7a4unvr5djpw,51ar6se2ohzo1z6vfe51h7wno
2026-03-06,5,Osaka 2-0 Nara Club,Osaka,Nara Club,dravffoq2eoiy7a4unvr5djpw,7wp34jxzbfw9n0oiaomx7gnis
2026-03-04,1,Sagamihara 5-0 Thespa Gunma,Sagamihara,Thespa Gunma,dravffoq2eoiy7a4unvr5djpw,4s993ytfsvhf9y94n5evz845w
2026-03-01,4,Kochi United 2-0 Nara Club,Kochi United,Nara Club,dravffoq2eoiy7a4unvr5djpw,7ucgkuhep09yoatv49cdbygb8
2026-03-01,4,Imabari 0-2 Albirex Niigata,Imabari,Albirex Niigata,dravffoq2eoiy7a4unvr5djpw,7tq4lti7gizstb9ou82kgt6hg
2026-03-01,4,Zweigen Kanazawa 1-0 Kamatamare Sanuki,Zweigen Kanazawa,Kamatamare Sanuki,dravffoq2eoiy7a4unvr5djpw,7shuyndggi7rzgm94eu9iobh0
2026-03-01,4,Iwaki 1-2 Fujieda MYFC,Iwaki,Fujieda MYFC,dravffoq2eoiy7a4unvr5djpw,6doegv30i9rrm30t6vl5zg5ck
2026-03-01,4,Sagamihara 2-1 Montedio Yamagata,Sagamihara,Montedio Yamagata,dravffoq2eoiy7a4unvr5djpw,5067m5okz1axvp29z3rinhc0k
