Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-08,2,Anyang 2-1 Jeju FC,Anyang,Jeju FC,aclvhp7yp4w85gpqw5yyt1xqs,sw1cfiuasumoumjjziny6psk
2026-03-08,2,Gimcheon Sangmu 1-1 Jeonbuk Motors,Gimcheon Sangmu,Jeonbuk Motors,aclvhp7yp4w85gpqw5yyt1xqs,rwbi12uehkbmp609cmq0jaxg
2026-03-07,2,Bucheon 1995 1-1 Daejeon Hana Citizen,Bucheon 1995,Daejeon Hana Citizen,aclvhp7yp4w85gpqw5yyt1xqs,qzdm8emnaqffm2y5tokgla1g
2026-03-07,2,Gwangju 3-2 Incheon United,Gwangju,Incheon United,aclvhp7yp4w85gpqw5yyt1xqs,q7d5yvyphvy0oe7q2thdy9lg
2026-03-02,1,Daejeon Hana Citizen 1-1 Anyang,Daejeon Hana Citizen,Anyang,aclvhp7yp4w85gpqw5yyt1xqs,ntyy0653s6ols63b0kv2n1n8
2026-03-01,1,Jeju FC 0-0 Gwangju,Jeju FC,Gwangju,aclvhp7yp4w85gpqw5yyt1xqs,mypgt58kzkymncjbxduuncpg
2026-03-01,1,Jeonbuk Motors 2-3 Bucheon 1995,Jeonbuk Motors,Bucheon 1995,aclvhp7yp4w85gpqw5yyt1xqs,mayt9tl7zezv8x93hkhyl2j8
2026-02-28,1,Gimcheon Sangmu 1-1 Pohang Steelers,Gimcheon Sangmu,Pohang Steelers,aclvhp7yp4w85gpqw5yyt1xqs,lj15cfls952dv3qmtlr1oa38
2026-02-28,1,Ulsan HD 3-1 Gangwon,Ulsan HD,Gangwon,aclvhp7yp4w85gpqw5yyt1xqs,kq5by4os51o3t7l4fvo1xtsk
2026-02-28,1,Incheon United 1-2 Seoul,Incheon United,Seoul,aclvhp7yp4w85gpqw5yyt1xqs,k1jjx44a8u8u69g500mgc3ro
