Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-13,10,Estudiantes 0-1 Lanús,Estudiantes,Lanús,8v84l9nq3d5t0j4gb781i3llg,tznpg0cvtmjssxmkq5rdzx0
2026-03-12,10,Huracán 1-2 River Plate,Huracán,River Plate,8v84l9nq3d5t0j4gb781i3llg,5xyt823xxd14dl1nqe3v9t04
2026-03-12,10,Estudiantes Río Cuarto 0-1 Belgrano,Estudiantes Río Cuarto,Belgrano,8v84l9nq3d5t0j4gb781i3llg,6wh1p0f1xebtrh34pze9q9zo
2026-03-12,10,Talleres de Córdoba 2-0 Instituto,Talleres de Córdoba,Instituto,8v84l9nq3d5t0j4gb781i3llg,3jiv75xhqntkk1xjrhtxapsk
2026-03-12,10,Defensa y Justicia 1-1 Central Córdoba SdE,Defensa y Justicia,Central Córdoba SdE,8v84l9nq3d5t0j4gb781i3llg,1s9j9f6e1slqjqhronw5j8d0
2026-03-12,10,Deportivo Riestra 0-0 Gimnasia Mendoza,Deportivo Riestra,Gimnasia Mendoza,8v84l9nq3d5t0j4gb781i3llg,1b4969jf2bwiq691jmkv4owk
2026-03-11,10,Atlético Tucumán 1-1 Aldosivi,Atlético Tucumán,Aldosivi,8v84l9nq3d5t0j4gb781i3llg,5gj7lucsff66cjkhuxh2gxzo
2026-03-11,10,Independiente Rivadavia 1-2 Barracas Central,Independiente Rivadavia,Barracas Central,8v84l9nq3d5t0j4gb781i3llg,4zfmhejgancurz6zysmlbjtg
2026-03-11,10,Boca Juniors 1-1 San Lorenzo,Boca Juniors,San Lorenzo,8v84l9nq3d5t0j4gb781i3llg,2cn6ds2ahmle25ehvtuha978
2026-03-11,10,Banfield 1-2 Gimnasia La Plata,Banfield,Gimnasia La Plata,8v84l9nq3d5t0j4gb781i3llg,4i4s1q0g17j8ae78ljecglqs
2026-03-11,10,Argentinos Juniors 0-0 Rosario Central,Argentinos Juniors,Rosario Central,8v84l9nq3d5t0j4gb781i3llg,40wqbtrncxmnf95trcc4tlhw
2026-03-10,10,Newell's Old Boys 1-1 Platense,Newell's Old Boys,Platense,8v84l9nq3d5t0j4gb781i3llg,7cg0vx7rrq98bd07koevqj8
2026-03-10,10,Sarmiento 0-0 Racing Club,Sarmiento,Racing Club,8v84l9nq3d5t0j4gb781i3llg,6f767khztze9hqj767l0n0gk
2026-03-10,10,Tigre 1-1 Vélez Sarsfield,Tigre,Vélez Sarsfield,8v84l9nq3d5t0j4gb781i3llg,f5am0yvnp3ojmha93e80yr8k4
2026-03-10,10,Independiente 4-4 Unión,Independiente,Unión,8v84l9nq3d5t0j4gb781i3llg,2why48w60s2xjhvniri8fhg4
2026-03-04,7,Lanús 0-3 Boca Juniors,Lanús,Boca Juniors,8v84l9nq3d5t0j4gb781i3llg,eiqovo97fbg7jtay4b7dw1las
2026-03-03,8,Atlético Tucumán 0-3 Racing Club,Atlético Tucumán,Racing Club,8v84l9nq3d5t0j4gb781i3llg,evmvdnba1s6i17ceuylgfmv4k
2026-03-03,8,Huracán 3-1 Belgrano,Huracán,Belgrano,8v84l9nq3d5t0j4gb781i3llg,ew46l7e764pn5x1dhbtv1auj8
2026-03-03,8,Sarmiento 1-0 Estudiantes Río Cuarto,Sarmiento,Estudiantes Río Cuarto,8v84l9nq3d5t0j4gb781i3llg,ewltnenm958893zbse7eari1g
