Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-20,28,Amiens SC 3-4 Le Mans,Amiens SC,Le Mans,f12tw9djrb2bvlzrtg4hhme50,9gdnlclvu32sfkpwqxj4pxs7o
2026-03-20,28,Clermont 0-1 Red Star,Clermont,Red Star,f12tw9djrb2bvlzrtg4hhme50,9fzlo94q8byntuvoat74dd4pg
2026-03-20,28,Rodez 1-1 Bastia,Rodez,Bastia,f12tw9djrb2bvlzrtg4hhme50,9fm1r1266t99d3ltltbtl9wk4
2026-03-20,28,Laval 3-2 Grenoble,Laval,Grenoble,f12tw9djrb2bvlzrtg4hhme50,9f8fpfxs597gtfrqkvlwe66tw
2026-03-20,28,Boulogne 0-0 Nancy,Boulogne,Nancy,f12tw9djrb2bvlzrtg4hhme50,9eh899kfnku37g9hfchhnodn8
2026-03-20,28,Pau 0-0 Montpellier,Pau,Montpellier,f12tw9djrb2bvlzrtg4hhme50,9e3r0g5uwuwan4o78qedv50r8
2026-03-16,27,Annecy 1-2 Troyes,Annecy,Troyes,f12tw9djrb2bvlzrtg4hhme50,9besd2xxf8ijyuyfymaih0ljo
2026-03-14,27,Grenoble 0-0 Saint-Étienne,Grenoble,Saint-Étienne,f12tw9djrb2bvlzrtg4hhme50,9cz1ofg3g7udecpi72jqa4etw
2026-03-14,27,Reims 1-2 Rodez,Reims,Rodez,f12tw9djrb2bvlzrtg4hhme50,9c5xv434f6438qmet9s3rqiac
2026-03-14,27,Red Star 1-0 Dunkerque,Red Star,Dunkerque,f12tw9djrb2bvlzrtg4hhme50,9ana4si71meqyscsumserg9as
2026-03-13,27,Montpellier 2-0 Laval,Montpellier,Laval,f12tw9djrb2bvlzrtg4hhme50,9clfu86lob5riu0t4put309as
2026-03-13,27,Clermont 0-1 Pau,Clermont,Pau,f12tw9djrb2bvlzrtg4hhme50,9bsdai260rvp5bj0itauwc0lw
2026-03-13,27,Nancy 2-4 Le Mans,Nancy,Le Mans,f12tw9djrb2bvlzrtg4hhme50,9b19fbgkmjp025zn19hypdzis
2026-03-13,27,Guingamp 1-0 Amiens SC,Guingamp,Amiens SC,f12tw9djrb2bvlzrtg4hhme50,9a9r6ofn680dj5iid05qilr10
2026-03-13,27,Bastia 0-1 Boulogne,Bastia,Boulogne,f12tw9djrb2bvlzrtg4hhme50,99w5hqn53ut73mkh897pbxxck
2026-03-09,26,Dunkerque 1-1 Reims,Dunkerque,Reims,f12tw9djrb2bvlzrtg4hhme50,96f78ws8xrhowcu5vm7ecr504
2026-03-07,26,Saint-Étienne 2-0 Red Star,Saint-Étienne,Red Star,f12tw9djrb2bvlzrtg4hhme50,96stl71do9zwc5tlgzazoch78
2026-03-07,26,Troyes 2-1 Clermont,Troyes,Clermont,f12tw9djrb2bvlzrtg4hhme50,9950xzmkjh3gf7p7w1uzgtq8k
2026-03-07,26,Le Mans 3-0 Annecy,Le Mans,Annecy,f12tw9djrb2bvlzrtg4hhme50,98dbshv0jgar5dt5ns3cl0yz8
2026-03-06,26,Pau 2-2 Bastia,Pau,Bastia,f12tw9djrb2bvlzrtg4hhme50,99ilmb0c4m7uvyg7hgzewbxg4
2026-03-06,26,Boulogne 4-2 Amiens SC,Boulogne,Amiens SC,f12tw9djrb2bvlzrtg4hhme50,98r8s1fjsonv8hfagmba501sk
2026-03-06,26,Rodez 1-0 Grenoble,Rodez,Grenoble,f12tw9djrb2bvlzrtg4hhme50,97zadr6u4iqtwr4b735p7fv2s
2026-03-06,26,Laval 2-2 Guingamp,Laval,Guingamp,f12tw9djrb2bvlzrtg4hhme50,97lrk6zirbgttz6t6ugzghyqc
2026-03-06,26,Nancy 0-3 Montpellier,Nancy,Montpellier,f12tw9djrb2bvlzrtg4hhme50,976gc6nt5ilofd5v7bqtxbbx0
2026-03-02,25,Amiens SC 0-2 Troyes,Amiens SC,Troyes,f12tw9djrb2bvlzrtg4hhme50,9451gl5g0fhlkn68s2physphw
