Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-02-14,5,Sportivo Ameliano 3-0 2 de Mayo,Sportivo Ameliano,2 de Mayo,ynp3ah4di570mdbqt5a0yuc4,2zfy2wbfi6utt4yt5mu735no4
2026-02-14,5,Olimpia 0-0 Rubio Ñú,Olimpia,Rubio Ñú,ynp3ah4di570mdbqt5a0yuc4,2xahx3s710xg6oz7029vlj5zo
2026-02-13,5,Recoleta 1-2 Sportivo Luqueño,Recoleta,Sportivo Luqueño,ynp3ah4di570mdbqt5a0yuc4,2ywow8ph8y09jzlr9611i0cno
2026-02-13,5,Club Guaraní 3-1 Sportivo San Lorenzo,Club Guaraní,Sportivo San Lorenzo,ynp3ah4di570mdbqt5a0yuc4,2yfb62ukgt2g1t4qt0odc7l04
2026-02-08,4,Nacional Asunción 1-2 Olimpia,Nacional Asunción,Olimpia,ynp3ah4di570mdbqt5a0yuc4,2u18t6f67wjfj5b7z5z0cccgk
2026-02-08,4,Libertad 3-3 Club Guaraní,Libertad,Club Guaraní,ynp3ah4di570mdbqt5a0yuc4,2w7p4459n6mzrwllasphen76c
2026-02-07,4,2 de Mayo 0-0 Cerro Porteño,2 de Mayo,Cerro Porteño,ynp3ah4di570mdbqt5a0yuc4,2ukaki7w7enjbvaz3hnkoeas4
2026-02-07,4,Rubio Ñú 0-1 Sportivo Trinidense,Rubio Ñú,Sportivo Trinidense,ynp3ah4di570mdbqt5a0yuc4,2wp27o7plbndy2kbjq18cbztg
2026-02-06,4,Sportivo Luqueño 0-1 Sportivo Ameliano,Sportivo Luqueño,Sportivo Ameliano,ynp3ah4di570mdbqt5a0yuc4,2v46n9k4x26ruyze94jgcgk5w
2026-02-06,4,Sportivo San Lorenzo 0-3 Recoleta,Sportivo San Lorenzo,Recoleta,ynp3ah4di570mdbqt5a0yuc4,2vln3ywam0zdizmlkb341gcus
2026-02-02,3,Cerro Porteño 2-0 Sportivo Luqueño,Cerro Porteño,Sportivo Luqueño,ynp3ah4di570mdbqt5a0yuc4,2sy2ufqsntfuxhsebiehnz6dw
2026-02-02,3,Recoleta 2-1 Libertad,Recoleta,Libertad,ynp3ah4di570mdbqt5a0yuc4,2ryyhnc49hothe9nghliiejv8
2026-02-01,3,Club Guaraní 4-0 Rubio Ñú,Club Guaraní,Rubio Ñú,ynp3ah4di570mdbqt5a0yuc4,2rhqi469thxgtkh9utebcwduc
2026-02-01,3,Olimpia 3-2 Sportivo Trinidense,Olimpia,Sportivo Trinidense,ynp3ah4di570mdbqt5a0yuc4,2r0fqmjcky6xc9eeniglx5pn8
2026-01-31,3,Sportivo Ameliano 1-0 Sportivo San Lorenzo,Sportivo Ameliano,Sportivo San Lorenzo,ynp3ah4di570mdbqt5a0yuc4,2sgkyvhfcu3wir9s4ztxcrf9w
2026-01-31,3,Nacional Asunción 5-1 2 de Mayo,Nacional Asunción,2 de Mayo,ynp3ah4di570mdbqt5a0yuc4,2tg6c101uvk5eqq9oti4tx5as
2026-01-29,2,Rubio Ñú 1-1 Recoleta,Rubio Ñú,Recoleta,ynp3ah4di570mdbqt5a0yuc4,2pyln7zodsdnr6p64fd7qacyc
2026-01-29,2,Sportivo Trinidense 0-0 Club Guaraní,Sportivo Trinidense,Club Guaraní,ynp3ah4di570mdbqt5a0yuc4,2qiwhfy5qucrbnx7h7gfd4jro
2026-01-28,2,2 de Mayo 1-1 Olimpia,2 de Mayo,Olimpia,ynp3ah4di570mdbqt5a0yuc4,2ndlvdm55cy4wj2tus2dmsrv8
2026-01-28,2,Libertad 1-0 Sportivo Ameliano,Libertad,Sportivo Ameliano,ynp3ah4di570mdbqt5a0yuc4,2pe847pm0f1l677tvtbz8el1w
2026-01-27,2,Sportivo San Lorenzo 2-4 Cerro Porteño,Sportivo San Lorenzo,Cerro Porteño,ynp3ah4di570mdbqt5a0yuc4,2osytytt139mbxqksxny3k93o
2026-01-27,2,Sportivo Luqueño 1-2 Nacional Asunción,Sportivo Luqueño,Nacional Asunción,ynp3ah4di570mdbqt5a0yuc4,2o1daejncdxlbv6bulhpvxn2s
2026-01-25,1,Sportivo Ameliano 2-2 Rubio Ñú,Sportivo Ameliano,Rubio Ñú,ynp3ah4di570mdbqt5a0yuc4,jas620pt7p6bplwbu5w5fw9g
2026-01-25,1,Olimpia 2-1 Club Guaraní,Olimpia,Club Guaraní,ynp3ah4di570mdbqt5a0yuc4,ilq51vh3aczhh7lnrxsue9lg
2026-01-24,1,Cerro Porteño 1-1 Libertad,Cerro Porteño,Libertad,ynp3ah4di570mdbqt5a0yuc4,jlnrzay7xba8f68pery0nlsk
2026-01-24,1,Nacional Asunción 1-0 Sportivo San Lorenzo,Nacional Asunción,Sportivo San Lorenzo,ynp3ah4di570mdbqt5a0yuc4,jwjqnz0m38h35w621ed7ciz8
2026-01-23,1,2 de Mayo 1-2 Sportivo Luqueño,2 de Mayo,Sportivo Luqueño,ynp3ah4di570mdbqt5a0yuc4,k7gef6yy3xyidv51b3lsul1w
2026-01-23,1,Recoleta 1-1 Sportivo Trinidense,Recoleta,Sportivo Trinidense,ynp3ah4di570mdbqt5a0yuc4,izswcw7a92y8ip49lqcr34t0
