Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-13,7,FC Cajamarca 3-4 Comerciantes Unidos,FC Cajamarca,Comerciantes Unidos,7z7bio16q91wdq4kywi8wlmok,78kumfp41qobpup1ydpmecqac
2026-03-09,6,Alianza Lima 3-1 Melgar,Alianza Lima,Melgar,7z7bio16q91wdq4kywi8wlmok,70alxnwmxbkp349764r084ahg
2026-03-09,6,Cienciano 3-1 Sport Boys,Cienciano,Sport Boys,7z7bio16q91wdq4kywi8wlmok,70uw9kjwsa7jww3zobw8ucopg
2026-03-08,6,Los Chankas 3-1 Universitario,Los Chankas,Universitario,7z7bio16q91wdq4kywi8wlmok,72jps4s6e7lqwk6rfk2ppnr4k
2026-03-08,6,ADT 2-3 Juan Pablo II College,ADT,Juan Pablo II College,7z7bio16q91wdq4kywi8wlmok,6zp1drlhjvpww334im9zoqyok
2026-03-07,6,Cusco 1-0 Deportivo Garcilaso,Cusco,Deportivo Garcilaso,7z7bio16q91wdq4kywi8wlmok,6yvqsvtlsirti5hk5r37m0q38
2026-03-07,6,Sporting Cristal 3-1 Alianza Atlético,Sporting Cristal,Alianza Atlético,7z7bio16q91wdq4kywi8wlmok,72000o5omdzmd31gbj3oy5q8k
2026-03-07,6,Comerciantes Unidos 1-2 UTC Cajamarca,Comerciantes Unidos,UTC Cajamarca,7z7bio16q91wdq4kywi8wlmok,73op9elk9gj6yhi99jhh1agb8
2026-03-07,6,Deportivo Moquegua 2-1 Sport Huancayo,Deportivo Moquegua,Sport Huancayo,7z7bio16q91wdq4kywi8wlmok,736h19unsz1f1bgdzx79hapsk
2026-03-06,6,Atlético Grau 1-0 FC Cajamarca,Atlético Grau,FC Cajamarca,7z7bio16q91wdq4kywi8wlmok,71c457yi8ozmom1b3zi1247pw
2026-03-01,5,Universitario 1-0 FC Cajamarca,Universitario,FC Cajamarca,7z7bio16q91wdq4kywi8wlmok,6x5iq0b8ylfnxd1j7eeogfeac
