Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-28,19,Nantes 1-2 PSG,Nantes,PSG,2bqrpllc5x3it55paifyfa044,7p9a4ho8ay7e3hu2tx2cdg7bo
2026-03-28,19,Olympique Marseille 1-2 Montpellier,Olympique Marseille,Montpellier,2bqrpllc5x3it55paifyfa044,7olnqly7mxehq7cqph5s5zaqc
2026-03-28,19,Strasbourg 2-2 OL Lyonnes,Strasbourg,OL Lyonnes,2bqrpllc5x3it55paifyfa044,7oxhy7xenupe0n41lpge9b384
2026-03-28,19,Paris FC 2-1 Fleury 91,Paris FC,Fleury 91,2bqrpllc5x3it55paifyfa044,7nwg93r8pjg79nk276x55w45w
2026-03-28,19,Dijon 2-1 Le Havre,Dijon,Le Havre,2bqrpllc5x3it55paifyfa044,7nkhp7va6s8xwd2djtyyxuplg
2026-03-28,19,Saint-Étienne 2-1 Lens,Saint-Étienne,Lens,2bqrpllc5x3it55paifyfa044,7o8axlmgawrilwhevqhiyoaok
2026-03-22,18,Montpellier 2-3 PSG,Montpellier,PSG,2bqrpllc5x3it55paifyfa044,7mkvhdqkymy5gyqovhmxk7ml0
2026-03-22,18,Strasbourg 0-3 Nantes,Strasbourg,Nantes,2bqrpllc5x3it55paifyfa044,7mwk91ierhpv9bcd05ypxkjro
2026-03-22,18,Le Havre 2-2 Olympique Marseille,Le Havre,Olympique Marseille,2bqrpllc5x3it55paifyfa044,7m8umsa4cekcw72yar6tspxjo
2026-03-22,18,Lens 0-1 Dijon,Lens,Dijon,2bqrpllc5x3it55paifyfa044,7lkixijcigd1m41lv1iacrbbo
2026-03-21,18,Fleury 91 0-2 OL Lyonnes,Fleury 91,OL Lyonnes,2bqrpllc5x3it55paifyfa044,7lwhvshhuzpb7m9c24cmpa4gk
2026-03-21,18,Saint-Étienne 0-3 Paris FC,Saint-Étienne,Paris FC,2bqrpllc5x3it55paifyfa044,7n8ln0we7sl7845lrn4j9jl04
2026-03-11,17,Lens 2-1 Montpellier,Lens,Montpellier,2bqrpllc5x3it55paifyfa044,7kkqmsgnqetydjsv55jedzdw4
2026-03-11,17,Nantes 2-0 Fleury 91,Nantes,Fleury 91,2bqrpllc5x3it55paifyfa044,7jvjisyq7idh36b8ctmsgcums
2026-03-11,17,Dijon 2-0 Saint-Étienne,Dijon,Saint-Étienne,2bqrpllc5x3it55paifyfa044,7jjm0hetwt4oy7wz0kuge5edw
2026-03-11,17,Paris FC 3-0 Strasbourg,Paris FC,Strasbourg,2bqrpllc5x3it55paifyfa044,7l8msynawwp70o45kgs3iqdqs
2026-03-11,17,PSG 2-1 Olympique Marseille,PSG,Olympique Marseille,2bqrpllc5x3it55paifyfa044,7kwpg3tk8ffxwztto7y8yu1p0
2026-03-10,17,OL Lyonnes 3-0 Le Havre,OL Lyonnes,Le Havre,2bqrpllc5x3it55paifyfa044,7k8vuh6oy165u2ye2s3cq268k
2026-02-22,16,Le Havre 0-4 Paris FC,Le Havre,Paris FC,2bqrpllc5x3it55paifyfa044,7j7n4bf82ggrjm12it5jh1w5w
2026-02-21,16,Olympique Marseille 2-6 OL Lyonnes,Olympique Marseille,OL Lyonnes,2bqrpllc5x3it55paifyfa044,7i7y0wvjady47fehj8h9py0wk
2026-02-21,16,Nantes 2-2 Montpellier,Nantes,Montpellier,2bqrpllc5x3it55paifyfa044,7ijqcfgb254f6e8u7jn30dkpg
2026-02-21,16,Fleury 91 0-0 Dijon,Fleury 91,Dijon,2bqrpllc5x3it55paifyfa044,7hk5x96k4msthy15wkscq1dsk
2026-02-21,16,Saint-Étienne 0-2 Strasbourg,Saint-Étienne,Strasbourg,2bqrpllc5x3it55paifyfa044,7ivqnr16ukh5710loelyif95g
2026-02-20,16,PSG 3-0 Lens,PSG,Lens,2bqrpllc5x3it55paifyfa044,7hw3uk4rx8hhlq6d01yyu6o7o
2026-02-08,15,Strasbourg 2-4 Olympique Marseille,Strasbourg,Olympique Marseille,2bqrpllc5x3it55paifyfa044,7gkmh0idkeozbu1kxx80laz9w
2026-02-08,15,OL Lyonnes 4-0 Saint-Étienne,OL Lyonnes,Saint-Étienne,2bqrpllc5x3it55paifyfa044,7gwkbgm7hpq01tsdwv2835gk4
2026-02-07,15,Paris FC 0-3 PSG,Paris FC,PSG,2bqrpllc5x3it55paifyfa044,7h8bpf3h36kzjpqsum0s0my38
2026-02-07,15,Montpellier 1-2 Le Havre,Montpellier,Le Havre,2bqrpllc5x3it55paifyfa044,7g8vfoxmw7h6wtwbkowo45gd0
2026-02-07,15,Dijon 1-1 Nantes,Dijon,Nantes,2bqrpllc5x3it55paifyfa044,7fjlcynji6kxe2j5lht03t91w
2026-02-07,15,Lens 0-2 Fleury 91,Lens,Fleury 91,2bqrpllc5x3it55paifyfa044,7fx4rtpftx4ez446587lmuyvo
2026-02-01,14,PSG 0-1 OL Lyonnes,PSG,OL Lyonnes,2bqrpllc5x3it55paifyfa044,7f7pq2tfzyj25330hgxlug00k
2026-01-31,14,Nantes 2-2 Lens,Nantes,Lens,2bqrpllc5x3it55paifyfa044,7ejnew386hy1y0whtspluyyok
2026-01-31,14,Fleury 91 1-0 Montpellier,Fleury 91,Montpellier,2bqrpllc5x3it55paifyfa044,7du37wjyvchcjaxyakz516oes
2026-01-31,14,Strasbourg 0-3 Dijon,Strasbourg,Dijon,2bqrpllc5x3it55paifyfa044,7didaz39nov55al9jtubxw3dg
2026-01-31,14,Saint-Étienne 1-1 Le Havre,Saint-Étienne,Le Havre,2bqrpllc5x3it55paifyfa044,7e7uibu63jfqppmxkwmkss26s
2026-01-30,14,Olympique Marseille 0-3 Paris FC,Olympique Marseille,Paris FC,2bqrpllc5x3it55paifyfa044,7ew0t3nhqwuj93vmyo9uy52j8
2026-01-18,13,Paris FC 0-0 OL Lyonnes,Paris FC,OL Lyonnes,2bqrpllc5x3it55paifyfa044,7curt5wqyp0ndxe6hbtezo7bo
2026-01-17,13,Le Havre 0-4 PSG,Le Havre,PSG,2bqrpllc5x3it55paifyfa044,7c72pswfnwaugvg0iccx8rvv8
2026-01-17,13,Fleury 91 1-1 Olympique Marseille,Fleury 91,Olympique Marseille,2bqrpllc5x3it55paifyfa044,7bv1jtzkb4pu0l1qvz49ikmqc
2026-01-17,13,Montpellier 1-1 Dijon,Montpellier,Dijon,2bqrpllc5x3it55paifyfa044,7bj2odte730o7qj609ame2t5g
