Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-17,19,Al Shamal 1-3 Al Duhail,Al Shamal,Al Duhail,9f2wvj7e1r8lndgbf9ae1oavo,bvm91zjwvmim6xgrua6ybfqc4
2026-03-17,19,Al Rayyan 2-1 Al Wakrah,Al Rayyan,Al Wakrah,9f2wvj7e1r8lndgbf9ae1oavo,bues8uaiifbkvibjlc6dzmk2c
2026-03-17,19,Al Arabi 2-1 Al Sadd,Al Arabi,Al Sadd,9f2wvj7e1r8lndgbf9ae1oavo,btj3lkhahx81yzp9pnex2avx0
2026-03-13,18,Al Rayyan 1-2 Al Shahaniya,Al Rayyan,Al Shahaniya,9f2wvj7e1r8lndgbf9ae1oavo,bqta7e0vhuksxkcts1clkkphw
2026-03-13,18,Al Ahli 1-1 Al Arabi,Al Ahli,Al Arabi,9f2wvj7e1r8lndgbf9ae1oavo,bpx7bn8adm4gpr5d0zqnjau50
2026-03-13,18,Al Sadd 2-5 Umm Salal,Al Sadd,Umm Salal,9f2wvj7e1r8lndgbf9ae1oavo,bpe0fr3yyhvtbpteif0i03i1g
2026-03-12,18,Al Sailiya 0-4 Al Duhail,Al Sailiya,Al Duhail,9f2wvj7e1r8lndgbf9ae1oavo,bst7t9tkrzjahxdts2yjgnrbo
2026-03-12,18,Qatar SC 2-0 Al Gharafa,Qatar SC,Al Gharafa,9f2wvj7e1r8lndgbf9ae1oavo,bs58j5388ikibfrxizamh6has
2026-03-12,18,Al Wakrah 0-1 Al Shamal,Al Wakrah,Al Shamal,9f2wvj7e1r8lndgbf9ae1oavo,brickprj83lmfhxhfcrtj26tw
2026-02-27,17,Al Ahli 1-2 Al Shahaniya,Al Ahli,Al Shahaniya,9f2wvj7e1r8lndgbf9ae1oavo,bnptzqjkbsns0lb075lit0mc4
2026-02-27,17,Umm Salal 2-2 Al Wakrah,Umm Salal,Al Wakrah,9f2wvj7e1r8lndgbf9ae1oavo,bn57gbhp1evmz1bk464n6izh0
2026-02-26,17,Al Duhail 1-3 Al Sadd,Al Duhail,Al Sadd,9f2wvj7e1r8lndgbf9ae1oavo,bmk324bgmgon8cudig21wfac4
2026-02-26,17,Al Gharafa 3-2 Al Rayyan,Al Gharafa,Al Rayyan,9f2wvj7e1r8lndgbf9ae1oavo,blz3ltuq5pf71v08a400670us
2026-02-22,16,Al Gharafa 0-1 Al Shamal,Al Gharafa,Al Shamal,9f2wvj7e1r8lndgbf9ae1oavo,bl8nzcm25opguttl5vis9lhqs
2026-02-22,16,Al Wakrah 1-3 Al Sadd,Al Wakrah,Al Sadd,9f2wvj7e1r8lndgbf9ae1oavo,bkmcg548omw4wy6nhttcu311w
