Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-23,2,Unirea Slobozia 2-1 Oţelul Galați,Unirea Slobozia,Oţelul Galați,dbws7z8ce2ym9ur9y4fqufw2c,2t51vp4knocqnxj0m91ydu7f8
2026-03-22,2,Hermannstadt 3-0 Botoșani,Hermannstadt,Botoșani,dbws7z8ce2ym9ur9y4fqufw2c,2stptjz4ecpoxibwhim1ii68k
2026-03-21,2,Argeș 0-1 Universitatea Cluj,Argeș,Universitatea Cluj,dbws7z8ce2ym9ur9y4fqufw2c,2huywcqsfcu3u8sz7oppelmac
2026-03-21,2,Csikszereda 1-1 FCV Farul Constanţa,Csikszereda,FCV Farul Constanţa,dbws7z8ce2ym9ur9y4fqufw2c,2tg6lwxuyze6xbgj07p2beexg
2026-03-21,2,Metaloglobus 1-0 Petrolul 52,Metaloglobus,Petrolul 52,dbws7z8ce2ym9ur9y4fqufw2c,2trs9k16591a01d3oqy81hes4
2026-03-20,2,CFR Cluj 1-0 Rapid Bucureşti,CFR Cluj,Rapid Bucureşti,dbws7z8ce2ym9ur9y4fqufw2c,2hjni0p3x5jdgxsa6phyggbh0
2026-03-20,2,FCSB 1-0 UTA Arad,FCSB,UTA Arad,dbws7z8ce2ym9ur9y4fqufw2c,2sihhvj9dnuk9tr1mligz302c
2026-03-19,2,Dinamo Bucureşti 0-1 Universitatea Craiova,Dinamo Bucureşti,Universitatea Craiova,dbws7z8ce2ym9ur9y4fqufw2c,2h8ezt4gh854n9uopgqi4wg7o
2026-03-16,1,Universitatea Cluj 2-1 CFR Cluj,Universitatea Cluj,CFR Cluj,dbws7z8ce2ym9ur9y4fqufw2c,2gxbouye498xtt2kdglu3bqj8
2026-03-16,1,Botoșani 3-2 Unirea Slobozia,Botoșani,Unirea Slobozia,dbws7z8ce2ym9ur9y4fqufw2c,2rfe2orvr5n2ttg3qcgsjkwt0
2026-03-15,1,FCSB 0-0 Metaloglobus,FCSB,Metaloglobus,dbws7z8ce2ym9ur9y4fqufw2c,2qknqwnsfm16e3slkvj7gio0k
2026-03-15,1,FCV Farul Constanţa 2-0 Petrolul 52,FCV Farul Constanţa,Petrolul 52,dbws7z8ce2ym9ur9y4fqufw2c,2s7836p3mdw05197wsdu4ikus
2026-03-14,1,Rapid Bucureşti 3-2 Dinamo Bucureşti,Rapid Bucureşti,Dinamo Bucureşti,dbws7z8ce2ym9ur9y4fqufw2c,2gjiragiyaq9ld8jma0n989as
2026-03-14,1,Oţelul Galați 2-3 Csikszereda,Oţelul Galați,Csikszereda,dbws7z8ce2ym9ur9y4fqufw2c,2rtedb5cxrc0u9710z7ldtfro
2026-03-13,1,Universitatea Craiova 0-1 Argeș,Universitatea Craiova,Argeș,dbws7z8ce2ym9ur9y4fqufw2c,2g332s3sjj9fomx1u0jnb44d0
2026-03-13,1,UTA Arad 3-2 Hermannstadt,UTA Arad,Hermannstadt,dbws7z8ce2ym9ur9y4fqufw2c,2r1ffro40o71i9mf52rt0z4lw
2026-03-09,30,CFR Cluj 2-0 Dinamo Bucureşti,CFR Cluj,Dinamo Bucureşti,dbws7z8ce2ym9ur9y4fqufw2c,dgltb09bg1ipyfedbdlzvk2s4
2026-03-08,30,Rapid Bucureşti 1-1 Universitatea Craiova,Rapid Bucureşti,Universitatea Craiova,dbws7z8ce2ym9ur9y4fqufw2c,dhenk0s1yb25a7wow2p9y7tas
2026-03-08,30,Argeș 0-0 Unirea Slobozia,Argeș,Unirea Slobozia,dbws7z8ce2ym9ur9y4fqufw2c,dh06wxlmbj1xyei6fxaiwedxw
2026-03-08,30,Oţelul Galați 0-2 Hermannstadt,Oţelul Galați,Hermannstadt,dbws7z8ce2ym9ur9y4fqufw2c,dfey1et0t51qfsuqi4xxno104
2026-03-07,30,FCSB 1-3 Universitatea Cluj,FCSB,Universitatea Cluj,dbws7z8ce2ym9ur9y4fqufw2c,df0i0zrjsxlr4vwg1e9uwk6j8
2026-03-07,30,Botoșani 0-1 Petrolul 52,Botoșani,Petrolul 52,dbws7z8ce2ym9ur9y4fqufw2c,dft7q9qrp81ezji5siu57t7h0
2026-03-07,30,Metaloglobus 2-2 UTA Arad,Metaloglobus,UTA Arad,dbws7z8ce2ym9ur9y4fqufw2c,demck3ty0upu1frgtttkpiiac
2026-03-06,30,Csikszereda 1-0 FCV Farul Constanţa,Csikszereda,FCV Farul Constanţa,dbws7z8ce2ym9ur9y4fqufw2c,dg7jc8zsyrhbd2j7cb45wagic
2026-03-02,29,Unirea Slobozia 1-2 Rapid Bucureşti,Unirea Slobozia,Rapid Bucureşti,dbws7z8ce2ym9ur9y4fqufw2c,ddtirg7l7hiqpqc8m47phgc2c
2026-03-01,29,UTA Arad 2-4 FCSB,UTA Arad,FCSB,dbws7z8ce2ym9ur9y4fqufw2c,dbeelg7a5biqwswm2jzplucyc
2026-03-01,29,Dinamo Bucureşti 0-1 Argeș,Dinamo Bucureşti,Argeș,dbws7z8ce2ym9ur9y4fqufw2c,ddfeqtjzc9hggrkmiz4tti784
2026-03-01,29,Petrolul 52 1-1 Csikszereda,Petrolul 52,Csikszereda,dbws7z8ce2ym9ur9y4fqufw2c,dckyd62lbyx2xlwabzlcrgx04
2026-02-28,29,FCV Farul Constanţa 1-2 CFR Cluj,FCV Farul Constanţa,CFR Cluj,dbws7z8ce2ym9ur9y4fqufw2c,dd1gri34x99xef0nd8e2g6ec4
2026-02-28,29,Universitatea Craiova 2-1 Metaloglobus,Universitatea Craiova,Metaloglobus,dbws7z8ce2ym9ur9y4fqufw2c,de7tk0icgm5s9u45q3qw14lck
2026-02-27,29,Universitatea Cluj 4-0 Oţelul Galați,Universitatea Cluj,Oţelul Galați,dbws7z8ce2ym9ur9y4fqufw2c,dbshn1uf7voxdesy80qqnb9xw
2026-02-27,29,Hermannstadt 3-1 Botoșani,Hermannstadt,Botoșani,dbws7z8ce2ym9ur9y4fqufw2c,dc6k1jrv7pa51etak407037ro
2026-02-23,28,FCSB 4-1 Metaloglobus,FCSB,Metaloglobus,dbws7z8ce2ym9ur9y4fqufw2c,dam6b52q54mtcseue0j3smjv8
