Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-02-21,15,Lazio 2-2 Milan,Lazio,Milan,38sqwwkm2xu0fnqfb7o0wd79w,1k29pqsoa9u156hv9kiko6ntg
2026-02-21,15,Napoli Women 0-0 Parma,Napoli Women,Parma,38sqwwkm2xu0fnqfb7o0wd79w,1kfjwplah0b7sv8r95cqbpkb8
2026-02-21,15,Genoa 0-1 Como Women,Genoa,Como Women,38sqwwkm2xu0fnqfb7o0wd79w,1j9w8ess9kkea0gkx70tr69sk
2026-02-15,14,Roma 2-2 Napoli Women,Roma,Napoli Women,38sqwwkm2xu0fnqfb7o0wd79w,1ij9jsx4ye1qux1fzo8mkzyms
2026-02-15,14,Juventus 0-0 Lazio,Juventus,Lazio,38sqwwkm2xu0fnqfb7o0wd79w,1i5vap2rxgu9v1dvf1y6e2gic
2026-02-15,14,Parma 2-3 Internazionale,Parma,Internazionale,38sqwwkm2xu0fnqfb7o0wd79w,1hsenlgh0kdl0t9j4e4txgf84
2026-02-14,14,Milan 0-1 Fiorentina,Milan,Fiorentina,38sqwwkm2xu0fnqfb7o0wd79w,1h1cnw2g3jlrg0gezwp9hqcd0
2026-02-14,14,Como Women 2-0 Sassuolo,Como Women,Sassuolo,38sqwwkm2xu0fnqfb7o0wd79w,1iwiixmvo4kivu3x6k42kyn84
2026-02-14,14,Ternana Women 3-1 Genoa,Ternana Women,Genoa,38sqwwkm2xu0fnqfb7o0wd79w,1hf30dljfxnh19oq67zm0vy1g
2026-02-08,13,Internazionale 3-0 Fiorentina,Internazionale,Fiorentina,38sqwwkm2xu0fnqfb7o0wd79w,1etzjbyj5lw0b8ir5n7333wgk
2026-02-08,13,Napoli Women 3-1 Ternana Women,Napoli Women,Ternana Women,38sqwwkm2xu0fnqfb7o0wd79w,1go4omg8fzz15qfilgbrhxul0
2026-02-08,13,Roma 1-0 Milan,Roma,Milan,38sqwwkm2xu0fnqfb7o0wd79w,1fxpcbzpu9urczxm3tmvp50d0
