Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-04,28,Palermo 2-1 Mantova,Palermo,Mantova,1yx2eq0yvay996e4h7s0mraxg,d73arpcr2rt4vl4xtqmi1dogk
2026-03-04,28,Juve Stabia 1-1 Sampdoria,Juve Stabia,Sampdoria,1yx2eq0yvay996e4h7s0mraxg,d6eal77nxgdv6ebtry1gejvv8
2026-03-04,28,Frosinone 2-2 Pescara,Frosinone,Pescara,1yx2eq0yvay996e4h7s0mraxg,d61n4pnscybosh797zkbs5s7o
2026-03-04,28,Bari 2-1 Empoli,Bari,Empoli,1yx2eq0yvay996e4h7s0mraxg,d500lh8yqtwzdd93wcq70yn84
2026-03-04,28,Carrarese 3-3 Catanzaro,Carrarese,Catanzaro,1yx2eq0yvay996e4h7s0mraxg,d5cq98tvga0ae8qsj51rh7or8
2026-03-03,28,Virtus Entella 2-1 Modena,Virtus Entella,Modena,1yx2eq0yvay996e4h7s0mraxg,d84urdmw8cq1mfbr84vg9nrx0
2026-03-03,28,Venezia 4-0 Avellino,Venezia,Avellino,1yx2eq0yvay996e4h7s0mraxg,d7scsklbola0tf3wrlcqx64no
2026-03-03,28,Reggiana 0-4 Südtirol,Reggiana,Südtirol,1yx2eq0yvay996e4h7s0mraxg,d7ft4ujdpnys967sdhgazv1uc
2026-03-03,28,Cesena 1-3 Monza,Cesena,Monza,1yx2eq0yvay996e4h7s0mraxg,d5p3ntmdoaaps57rpsn5vrl04
2026-03-03,28,Padova 2-2 Spezia,Padova,Spezia,1yx2eq0yvay996e4h7s0mraxg,d6qqfv3lyqsq1nz1wg45o1q1g
2026-03-01,27,Mantova 1-1 Carrarese,Mantova,Carrarese,1yx2eq0yvay996e4h7s0mraxg,d2i43oamkyj1h0b76tqss4phw
2026-03-01,27,Pescara 2-1 Palermo,Pescara,Palermo,1yx2eq0yvay996e4h7s0mraxg,d3jttpvuwe38anewaya7qaz2s
2026-03-01,27,Catanzaro 2-2 Frosinone,Catanzaro,Frosinone,1yx2eq0yvay996e4h7s0mraxg,d1t39er7w7l4jpn9bygbgjw9g
2026-02-28,27,Avellino 0-0 Juve Stabia,Avellino,Juve Stabia,1yx2eq0yvay996e4h7s0mraxg,d1gp72s2nqdrgbuwi27tnay38
2026-02-28,27,Spezia 0-1 Reggiana,Spezia,Reggiana,1yx2eq0yvay996e4h7s0mraxg,d4asipwv2livjk4i59aeh7cwk
2026-02-28,27,Südtirol 1-1 Venezia,Südtirol,Venezia,1yx2eq0yvay996e4h7s0mraxg,d4nfkrws4l832vqw0nez0qaz8
2026-02-28,27,Modena 1-2 Padova,Modena,Padova,1yx2eq0yvay996e4h7s0mraxg,d2upgvucjbljglqp2o9q3hslw
