Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-21,3,FC Košice 2-1 Tatran Prešov,FC Košice,Tatran Prešov,16yk2xdc76kineokbfciahhqs,a068oesa4zswxcteexbq61z4k
2026-03-21,3,Žilina 3-1 DAC 1904,Žilina,DAC 1904,16yk2xdc76kineokbfciahhqs,cpezclbpegw9iy2mpjqdquiac
2026-03-21,3,Zemplín Michalovce 1-0 Spartak Trnava,Zemplín Michalovce,Spartak Trnava,16yk2xdc76kineokbfciahhqs,cowmlqy5gamcmyktnu66qvw2c
2026-03-21,3,Trenčín 3-1 Ružomberok,Trenčín,Ružomberok,16yk2xdc76kineokbfciahhqs,9z3g4vh0u9c0r84v8phdg74es
2026-03-15,2,Slovan Bratislava 0-1 Žilina,Slovan Bratislava,Žilina,16yk2xdc76kineokbfciahhqs,coebkx9ow2dhqo8sp1369w2l0
2026-03-15,2,Trenčín 2-1 Skalica,Trenčín,Skalica,16yk2xdc76kineokbfciahhqs,9yfq9iakvtc25rifeor81hbmc
2026-03-14,2,Podbrezová 0-1 Zemplín Michalovce,Podbrezová,Zemplín Michalovce,16yk2xdc76kineokbfciahhqs,cnbo5dsmgo53hr1dcw1nxy0wk
2026-03-14,2,Tatran Prešov 0-0 Komárno,Tatran Prešov,Komárno,16yk2xdc76kineokbfciahhqs,9xuz5hz351m34wtq5ve8fq42c
2026-03-14,2,Ružomberok 1-1 FC Košice,Ružomberok,FC Košice,16yk2xdc76kineokbfciahhqs,9x7cypnkxkmn330s23byjkil0
2026-03-08,1,DAC 1904 2-1 Podbrezová,DAC 1904,Podbrezová,16yk2xdc76kineokbfciahhqs,cms4a0lcn7oytwomjc6lp1puc
2026-03-08,1,Komárno 3-0 Ružomberok,Komárno,Ružomberok,16yk2xdc76kineokbfciahhqs,9wmi56jtp00g91m7b8yv0krv8
2026-03-07,1,Žilina 0-1 Spartak Trnava,Žilina,Spartak Trnava,16yk2xdc76kineokbfciahhqs,cm4teeja6vri3revntmyzfy8k
2026-03-07,1,Zemplín Michalovce 1-3 Slovan Bratislava,Zemplín Michalovce,Slovan Bratislava,16yk2xdc76kineokbfciahhqs,cldquodu2xzarxn808j73eck4
2026-03-07,1,Skalica 1-0 Tatran Prešov,Skalica,Tatran Prešov,16yk2xdc76kineokbfciahhqs,9vysgufeej75a5q7ppd8ukob8
2026-03-07,1,FC Košice 2-0 Trenčín,FC Košice,Trenčín,16yk2xdc76kineokbfciahhqs,9v8r7rwm8x5odz5qhhwmpdmvo
2026-02-28,22,Žilina 0-0 DAC 1904,Žilina,DAC 1904,16yk2xdc76kineokbfciahhqs,4umtng0y48qykvetq4y6h9zpw
2026-02-28,22,Skalica 0-1 Trenčín,Skalica,Trenčín,16yk2xdc76kineokbfciahhqs,4u79sbq9icmbqp77mapsjxgr8
2026-02-28,22,Komárno 1-1 Ružomberok,Komárno,Ružomberok,16yk2xdc76kineokbfciahhqs,4trtxehuzdfhjcp0xkltk38k4
2026-02-28,22,Slovan Bratislava 4-0 Spartak Trnava,Slovan Bratislava,Spartak Trnava,16yk2xdc76kineokbfciahhqs,4tchbmiaoezel879wdtisq32s
2026-02-28,22,Zemplín Michalovce 0-2 FC Košice,Zemplín Michalovce,FC Košice,16yk2xdc76kineokbfciahhqs,4sx0wbplculnlablyg4vlah3o
2026-02-28,22,Podbrezová 4-1 Tatran Prešov,Podbrezová,Tatran Prešov,16yk2xdc76kineokbfciahhqs,4shp4m5901aedgid6x8xoqe50
2026-02-22,21,FC Košice 2-2 Žilina,FC Košice,Žilina,16yk2xdc76kineokbfciahhqs,4qbbgszz3xpc9w7lda8za740k
2026-02-22,21,Ružomberok 2-2 Slovan Bratislava,Ružomberok,Slovan Bratislava,16yk2xdc76kineokbfciahhqs,4qqpuax5yp8wpewz026cq6tqs
2026-02-21,21,Spartak Trnava 0-5 Podbrezová,Spartak Trnava,Podbrezová,16yk2xdc76kineokbfciahhqs,4rlld6933bvb561xljutzn9ck
2026-02-21,21,Tatran Prešov 1-1 Komárno,Tatran Prešov,Komárno,16yk2xdc76kineokbfciahhqs,4s2dw2ejgrjqvvbkgelqql05w
2026-02-21,21,Trenčín 1-2 Zemplín Michalovce,Trenčín,Zemplín Michalovce,16yk2xdc76kineokbfciahhqs,4r68hd8rm13wrngkbb1enygb8
2026-02-21,21,DAC 1904 3-2 Skalica,DAC 1904,Skalica,16yk2xdc76kineokbfciahhqs,4pvvrc2d59am2kqfsvyt8k2l0
2026-02-15,20,Spartak Trnava 0-0 Žilina,Spartak Trnava,Žilina,16yk2xdc76kineokbfciahhqs,4o68iyvmqkwrb8c7grvo6cjys
2026-02-15,20,Komárno 2-2 DAC 1904,Komárno,DAC 1904,16yk2xdc76kineokbfciahhqs,4nb9hmgid0dx8qu638in2j6l0
2026-02-14,20,Tatran Prešov 1-4 FC Košice,Tatran Prešov,FC Košice,16yk2xdc76kineokbfciahhqs,4olp2java7gutz7440dwh2hhw
2026-02-14,20,Podbrezová 5-0 Ružomberok,Podbrezová,Ružomberok,16yk2xdc76kineokbfciahhqs,4pghyh3g9dh5776ak2h4ak650
2026-02-14,20,Slovan Bratislava 0-2 Trenčín,Slovan Bratislava,Trenčín,16yk2xdc76kineokbfciahhqs,4p13ea2e8gim45zlrl2b8wr9w
2026-02-14,20,Skalica 2-1 Zemplín Michalovce,Skalica,Zemplín Michalovce,16yk2xdc76kineokbfciahhqs,4nqrl8prwnqaqotrle0kn9tsk
