Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-21,0,Kaizer Chiefs 2-0 Magesi,Kaizer Chiefs,Magesi,2hxftj9v0bi51y0qqunbswk5w,ca49t5gpihi2v9ifvcyumc2l0
2026-03-21,0,Stellenbosch 2-1 Chippa United,Stellenbosch,Chippa United,2hxftj9v0bi51y0qqunbswk5w,c9alppzgfntj8oddm1dj2bms4
2026-03-21,0,Polokwane City 0-1 AmaZulu,Polokwane City,AmaZulu,2hxftj9v0bi51y0qqunbswk5w,c8vpx8cdcr2byurbqht75e5uc
2026-03-18,0,Golden Arrows 1-1 Stellenbosch,Golden Arrows,Stellenbosch,2hxftj9v0bi51y0qqunbswk5w,bpepur76nyunz3lseinn2nnro
2026-03-17,0,Mamelodi Sundowns 3-1 Marumo Gallants,Mamelodi Sundowns,Marumo Gallants,2hxftj9v0bi51y0qqunbswk5w,caj77mhxarmmsedjg2q2v2mms
2026-03-15,0,Kaizer Chiefs 1-0 Durban City,Kaizer Chiefs,Durban City,2hxftj9v0bi51y0qqunbswk5w,c7mxtt9lipq4g2u2f2fqy0f10
2026-03-14,0,Sekhukhune United 0-0 Polokwane City,Sekhukhune United,Polokwane City,2hxftj9v0bi51y0qqunbswk5w,c6sdyby9o8zkofol42awhkb2s
2026-03-14,0,AmaZulu 2-1 Richards Bay,AmaZulu,Richards Bay,2hxftj9v0bi51y0qqunbswk5w,c5yos4lyxaby9s8ih9a5sl6vo
2026-03-14,0,Marumo Gallants 1-2 Golden Arrows,Marumo Gallants,Golden Arrows,2hxftj9v0bi51y0qqunbswk5w,c81y1n4oee55aghlui9zdv28k
2026-03-14,0,Orlando Pirates 1-1 Siwelele,Orlando Pirates,Siwelele,2hxftj9v0bi51y0qqunbswk5w,c6dkyx40xk6j0fgvgzrjn6ln8
2026-03-14,0,Magesi 2-2 Chippa United,Magesi,Chippa United,2hxftj9v0bi51y0qqunbswk5w,c52v8pvyfzltiaifovy4tpf6c
2026-03-13,0,Stellenbosch 1-1 TS Galaxy,Stellenbosch,TS Galaxy,2hxftj9v0bi51y0qqunbswk5w,c5ht59hg4ycjygldgxzcmt8gk
