Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-02-22,22,AEK Athens 4-0 Levadiakos,AEK Athens,Levadiakos,bfxnqtcsy92klp10rbwikb47o,7qzoo9beqxntynhc95nbznx1w
2026-02-22,22,Aris 1-1 Kifisia,Aris,Kifisia,bfxnqtcsy92klp10rbwikb47o,7s7k4isnoza62i63w377k95w4
2026-02-22,22,Larissa 1-1 PAOK,Larissa,PAOK,bfxnqtcsy92klp10rbwikb47o,7rrv2e9ongkyh21blx4pd9y50
2026-02-22,22,Panserraikos 2-1 Volos NFC,Panserraikos,Volos NFC,bfxnqtcsy92klp10rbwikb47o,7tdl9f3dxnd8m0r2sqjfq4e1g
2026-02-22,22,OFI 0-2 Panathinaikos,OFI,Panathinaikos,bfxnqtcsy92klp10rbwikb47o,7szhk6ylfrjptpf8kektf5mvo
2026-02-21,22,Olympiakos Piraeus 2-0 Panaitolikos,Olympiakos Piraeus,Panaitolikos,bfxnqtcsy92klp10rbwikb47o,7slldzs5veqyciku9cbmnbz84
2026-02-21,22,Asteras Tripolis 1-2 Atromitos,Asteras Tripolis,Atromitos,bfxnqtcsy92klp10rbwikb47o,7rds6v46x5wltlcpfmyyboidw
2026-02-16,21,Atromitos 2-2 Panserraikos,Atromitos,Panserraikos,bfxnqtcsy92klp10rbwikb47o,7o9te0qnngi8pign2mu9dda8k
2026-02-15,21,Panathinaikos 1-1 Larissa,Panathinaikos,Larissa,bfxnqtcsy92klp10rbwikb47o,7ptvuf7kq8w7zsrbxzlwf13bo
2026-02-15,21,PAOK 0-0 AEK Athens,PAOK,AEK Athens,bfxnqtcsy92klp10rbwikb47o,7qlr17iullpjwd8om5imraadw
2026-02-15,21,Kifisia 2-2 OFI,Kifisia,OFI,bfxnqtcsy92klp10rbwikb47o,7p1qahdid0dilgrqf9ge1fcic
2026-02-14,21,Volos NFC 1-1 Aris,Volos NFC,Aris,bfxnqtcsy92klp10rbwikb47o,7onp1kg1oxlcyb57aig17h6hg
2026-02-14,21,Levadiakos 0-0 Olympiakos Piraeus,Levadiakos,Olympiakos Piraeus,bfxnqtcsy92klp10rbwikb47o,7pfssyosar71y7trokf22vbis
2026-02-14,21,Panaitolikos 3-1 Asteras Tripolis,Panaitolikos,Asteras Tripolis,bfxnqtcsy92klp10rbwikb47o,7q7sfv6ayso27d4f514dj70no
2026-02-08,20,Olympiakos Piraeus 0-1 Panathinaikos,Olympiakos Piraeus,Panathinaikos,bfxnqtcsy92klp10rbwikb47o,7n3jczq0rrcv9hfpcl0nqag44
2026-02-08,20,Aris 0-0 PAOK,Aris,PAOK,bfxnqtcsy92klp10rbwikb47o,7m9knem34zz9825g14efw1mvo
2026-02-08,20,OFI 3-2 Levadiakos,OFI,Levadiakos,bfxnqtcsy92klp10rbwikb47o,7nhp1myg01lmmircqclfirfo4
2026-02-08,20,Panserraikos 0-4 AEK Athens,Panserraikos,AEK Athens,bfxnqtcsy92klp10rbwikb47o,7nvrjjkmujxesjeu9n90gwv84
2026-02-07,20,Kifisia 0-1 Atromitos,Kifisia,Atromitos,bfxnqtcsy92klp10rbwikb47o,7mnqp3oq5u2tvt3obv6aoo36c
2026-02-07,20,Asteras Tripolis 2-0 Volos NFC,Asteras Tripolis,Volos NFC,bfxnqtcsy92klp10rbwikb47o,7lha661p2kn0k161u0xiq6s5w
2026-02-07,20,Larissa 1-4 Panaitolikos,Larissa,Panaitolikos,bfxnqtcsy92klp10rbwikb47o,7lvfgeskf5jcnlorcehfu2fpw
2026-02-04,17,Asteras Tripolis 0-3 Olympiakos Piraeus,Asteras Tripolis,Olympiakos Piraeus,bfxnqtcsy92klp10rbwikb47o,7dnattawuaa4ii4f2itc670us
2026-02-01,19,AEK Athens 1-1 Olympiakos Piraeus,AEK Athens,Olympiakos Piraeus,bfxnqtcsy92klp10rbwikb47o,7ir865pgu0zduabwshen6309g
2026-02-01,19,PAOK 4-1 Panserraikos,PAOK,Panserraikos,bfxnqtcsy92klp10rbwikb47o,7l388uobz97nt5c7e06w1lg5w
2026-02-01,19,Panathinaikos 3-0 Kifisia,Panathinaikos,Kifisia,bfxnqtcsy92klp10rbwikb47o,7kbenjelilwq21nah6vq0gems
2026-02-01,19,Levadiakos 3-1 Asteras Tripolis,Levadiakos,Asteras Tripolis,bfxnqtcsy92klp10rbwikb47o,7jxg2juxhh1relxyq6dxjmzv8
2026-01-31,19,Volos NFC 0-2 Larissa,Volos NFC,Larissa,bfxnqtcsy92klp10rbwikb47o,7jjo1d7o7hg27a0zm74gron4k
2026-01-31,19,Atromitos 1-2 OFI,Atromitos,OFI,bfxnqtcsy92klp10rbwikb47o,7j59hua3gzdk3u93m8safiiok
2026-01-31,19,Panaitolikos 0-1 Aris,Panaitolikos,Aris,bfxnqtcsy92klp10rbwikb47o,7kpd1bphlw3h2qy5aid34z5ec
2026-01-25,18,Atromitos 0-0 Panathinaikos,Atromitos,Panathinaikos,bfxnqtcsy92klp10rbwikb47o,7h5qze3uruyqpm2l8bqoofcpg
2026-01-25,18,OFI 1-0 Panaitolikos,OFI,Panaitolikos,bfxnqtcsy92klp10rbwikb47o,7idani0qyxvc5yex9bgow4y6s
2026-01-25,18,Aris 2-2 Levadiakos,Aris,Levadiakos,bfxnqtcsy92klp10rbwikb47o,7grnt9g7ay30ynf98tb299ono
2026-01-24,18,Larissa 1-0 Panserraikos,Larissa,Panserraikos,bfxnqtcsy92klp10rbwikb47o,7gdi3kg6uj3t0sh5687x150d0
2026-01-24,18,Asteras Tripolis 0-1 AEK Athens,Asteras Tripolis,AEK Athens,bfxnqtcsy92klp10rbwikb47o,7fzjcdxkey34p27o1hropavbo
2026-01-24,18,Olympiakos Piraeus 1-0 Volos NFC,Olympiakos Piraeus,Volos NFC,bfxnqtcsy92klp10rbwikb47o,7hzaqie9734o5l8kriaefee50
2026-01-19,17,Volos NFC 0-3 Atromitos,Volos NFC,Atromitos,bfxnqtcsy92klp10rbwikb47o,7efbsqiatxfyogifrae6glrf8
2026-01-19,17,Panaitolikos 1-3 Levadiakos,Panaitolikos,Levadiakos,bfxnqtcsy92klp10rbwikb47o,7etgw3bi5lmnkh9gx8dr12uxg
2026-01-18,17,AEK Athens 4-0 Panathinaikos,AEK Athens,Panathinaikos,bfxnqtcsy92klp10rbwikb47o,7d98xzp8h6te5efpgygnvcpas
2026-01-18,17,PAOK 3-0 OFI,PAOK,OFI,bfxnqtcsy92klp10rbwikb47o,7flhdln8p93zmwehecwgr6dqs
2026-01-18,17,Larissa 1-0 Aris,Larissa,Aris,bfxnqtcsy92klp10rbwikb47o,7e1f4pq7h9csej521ylbupclw
2026-01-17,17,Panserraikos 2-1 Kifisia,Panserraikos,Kifisia,bfxnqtcsy92klp10rbwikb47o,7f7k69phd0dhp2wfm58c7i61g
2026-01-11,16,Panathinaikos 3-0 Panserraikos,Panathinaikos,Panserraikos,bfxnqtcsy92klp10rbwikb47o,7cfiqva4wxxjwns572d9ghqtw
2026-01-11,16,Aris 1-1 AEK Athens,Aris,AEK Athens,bfxnqtcsy92klp10rbwikb47o,7ahgs7mfftx0ujd6s23a9qpsk
2026-01-11,16,OFI 4-0 Asteras Tripolis,OFI,Asteras Tripolis,bfxnqtcsy92klp10rbwikb47o,7c1kcr13btz3ww85az8sowzys
2026-01-11,16,Levadiakos 3-1 Volos NFC,Levadiakos,Volos NFC,bfxnqtcsy92klp10rbwikb47o,7bngi2dtqorrlxbtshe15p3bo
2026-01-10,16,Panaitolikos 0-3 PAOK,Panaitolikos,PAOK,bfxnqtcsy92klp10rbwikb47o,7cvbeictehvtk1fbephartlp0
2026-01-10,16,Atromitos 0-2 Olympiakos Piraeus,Atromitos,Olympiakos Piraeus,bfxnqtcsy92klp10rbwikb47o,7avha0dygfvcf7csd1l5c21w4
2026-01-10,16,Kifisia 1-1 Larissa,Kifisia,Larissa,bfxnqtcsy92klp10rbwikb47o,7b9gj9969qwhrcanja90y7hg4
2025-12-22,15,Panserraikos 0-2 Levadiakos,Panserraikos,Levadiakos,bfxnqtcsy92klp10rbwikb47o,79pfkxzrutp670b1vey6qi710
2025-12-21,15,AEK Athens 2-1 OFI,AEK Athens,OFI,bfxnqtcsy92klp10rbwikb47o,77qm9bjoriczbgouzplx5w7bo
2025-12-21,15,PAOK 2-0 Panathinaikos,PAOK,Panathinaikos,bfxnqtcsy92klp10rbwikb47o,7a3dzd4kayerkpey13e1qv4es
2025-12-21,15,Larissa 0-0 Atromitos,Larissa,Atromitos,bfxnqtcsy92klp10rbwikb47o,78j0azm3w2lkcubhgg7yc4844
2025-12-20,15,Olympiakos Piraeus 1-1 Kifisia,Olympiakos Piraeus,Kifisia,bfxnqtcsy92klp10rbwikb47o,79be99mtqtwpg2xb7hmvr4nbo
2025-12-20,15,Volos NFC 1-0 Panaitolikos,Volos NFC,Panaitolikos,bfxnqtcsy92klp10rbwikb47o,78xavg8j58wnn1kozsuv378k4
2025-12-20,15,Asteras Tripolis 0-1 Aris,Asteras Tripolis,Aris,bfxnqtcsy92klp10rbwikb47o,784ty8tj3kgra0cf108axs93o
2025-12-14,14,Panathinaikos 2-1 Volos NFC,Panathinaikos,Volos NFC,bfxnqtcsy92klp10rbwikb47o,76ww0srswf5uyyjcgq60u5nv8
2025-12-14,14,Aris 0-0 Olympiakos Piraeus,Aris,Olympiakos Piraeus,bfxnqtcsy92klp10rbwikb47o,74yl1zil5mmqp6ul6992j58no
2025-12-14,14,Atromitos 2-0 PAOK,Atromitos,PAOK,bfxnqtcsy92klp10rbwikb47o,75coj6qwi1yixqojxt5uo8aac
2025-12-14,14,Panaitolikos 0-5 AEK Athens,Panaitolikos,AEK Athens,bfxnqtcsy92klp10rbwikb47o,77axj26o6awtji4v7hqa45l3o
2025-12-13,14,Kifisia 0-0 Asteras Tripolis,Kifisia,Asteras Tripolis,bfxnqtcsy92klp10rbwikb47o,75qwkosghroeswqrx9s13wnis
2025-12-13,14,OFI 3-0 Panserraikos,OFI,Panserraikos,bfxnqtcsy92klp10rbwikb47o,76iwvd3nr5vhbez5ihbgt3aqc
2025-12-13,14,Levadiakos 3-0 Larissa,Levadiakos,Larissa,bfxnqtcsy92klp10rbwikb47o,764udjoot2lbwsfeepn01rbx0
2025-12-08,13,Panserraikos 0-1 Panaitolikos,Panserraikos,Panaitolikos,bfxnqtcsy92klp10rbwikb47o,746l26ivv2dn2zfkuoz7216ok
2025-12-07,13,AEK Athens 4-1 Atromitos,AEK Athens,Atromitos,bfxnqtcsy92klp10rbwikb47o,72702e8g7ulu1a33bpqbihlp0
2025-12-07,13,PAOK 3-1 Aris,PAOK,Aris,bfxnqtcsy92klp10rbwikb47o,74knr59i0cwmgpirfn30n651w
2025-12-07,13,Larissa 2-2 Panathinaikos,Larissa,Panathinaikos,bfxnqtcsy92klp10rbwikb47o,730ei9b2k9tyr1z0grtcqpixg
2025-12-07,13,Asteras Tripolis 1-1 Levadiakos,Asteras Tripolis,Levadiakos,bfxnqtcsy92klp10rbwikb47o,72mh06j4bdtds300tg8tu3z10
2025-12-06,13,Volos NFC 1-1 Kifisia,Volos NFC,Kifisia,bfxnqtcsy92klp10rbwikb47o,73egnokg6i6zagv0n9ilhy2hg
