Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-07,25,Wil 3-3 Bellinzona,Wil,Bellinzona,v4oigfqi2coe9b80o7b7dvys,ci2kp3p310lqg8abr91135ixg
2026-03-06,25,Etoile Carouge 0-3 Aarau,Etoile Carouge,Aarau,v4oigfqi2coe9b80o7b7dvys,chixaaevkzcxayyvkoth6y4no
2026-03-06,25,Stade Nyonnais 0-0 Xamax,Stade Nyonnais,Xamax,v4oigfqi2coe9b80o7b7dvys,cgz6rfdqvjyxuy934t7l96zh0
2026-03-06,25,Rapperswil-Jona 0-0 Vaduz,Rapperswil-Jona,Vaduz,v4oigfqi2coe9b80o7b7dvys,cgfgp1xzg66vssi9maimb8mc4
2026-03-01,24,Vaduz 1-0 Stade Nyonnais,Vaduz,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,cfvjjsk1alf6afdhjl70cq1hw
2026-03-01,24,Xamax 0-0 Wil,Xamax,Wil,v4oigfqi2coe9b80o7b7dvys,cfa2yijxwe3n3o7f71jogchzo
2026-02-28,24,Stade-Lausanne-Ouchy 0-1 Etoile Carouge,Stade-Lausanne-Ouchy,Etoile Carouge,v4oigfqi2coe9b80o7b7dvys,cenfl7xnz0zhu63p2st6m60ic
2026-02-27,24,Aarau 5-3 Rapperswil-Jona,Aarau,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,ce341tspprz1wkfzc6jctlams
2026-02-27,24,Bellinzona 0-4 Yverdon Sport,Bellinzona,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,cdgibesg0xaaex63e7t9hgidw
2026-02-22,23,Wil 1-0 Stade-Lausanne-Ouchy,Wil,Stade-Lausanne-Ouchy,v4oigfqi2coe9b80o7b7dvys,ccwzhw5xpnqntgubnv8et0g0k
2026-02-22,23,Vaduz 1-0 Xamax,Vaduz,Xamax,v4oigfqi2coe9b80o7b7dvys,ccd7v6ng048ay219icfd6f2tw
2026-02-20,23,Stade Nyonnais 1-1 Aarau,Stade Nyonnais,Aarau,v4oigfqi2coe9b80o7b7dvys,cbss67plf6qgl44h6azeusg0k
2026-02-20,23,Etoile Carouge 2-2 Yverdon Sport,Etoile Carouge,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,cb5n0oi8blwjl3am2ljj6elg4
2026-02-20,23,Rapperswil-Jona 2-1 Bellinzona,Rapperswil-Jona,Bellinzona,v4oigfqi2coe9b80o7b7dvys,cal713ujh3lmm0vnrhrd75rmc
2026-02-13,22,Yverdon Sport 1-0 Stade Nyonnais,Yverdon Sport,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,c9gl2in71f9xp5izk68zs2g44
2026-02-13,22,Stade-Lausanne-Ouchy 4-2 Aarau,Stade-Lausanne-Ouchy,Aarau,v4oigfqi2coe9b80o7b7dvys,c8xaiib2yb224bijyhxkik4k4
2026-02-13,22,Etoile Carouge 1-3 Xamax,Etoile Carouge,Xamax,v4oigfqi2coe9b80o7b7dvys,c8dbwxibm9eml7lx50l58ed5g
2026-02-13,22,Wil 0-2 Rapperswil-Jona,Wil,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,ca00builvyna4xcxo4cpwdvro
2026-02-13,22,Bellinzona 0-2 Vaduz,Bellinzona,Vaduz,v4oigfqi2coe9b80o7b7dvys,c7thnmen931umbw7wttxsw93o
2026-02-08,21,Xamax 3-0 Stade-Lausanne-Ouchy,Xamax,Stade-Lausanne-Ouchy,v4oigfqi2coe9b80o7b7dvys,c7a5fsyk8jqb1c8gorak6rtw4
2026-02-07,21,Rapperswil-Jona 1-4 Yverdon Sport,Rapperswil-Jona,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,c6qoiyn8sneqgprn267xokidw
2026-02-07,21,Aarau 2-2 Wil,Aarau,Wil,v4oigfqi2coe9b80o7b7dvys,c67bxdyvb6h10i6vmqqvtsv84
2026-02-06,21,Vaduz 3-3 Etoile Carouge,Vaduz,Etoile Carouge,v4oigfqi2coe9b80o7b7dvys,c5nz6q7xx055n32x4rh6c7tp0
2026-02-06,21,Stade Nyonnais 1-1 Bellinzona,Stade Nyonnais,Bellinzona,v4oigfqi2coe9b80o7b7dvys,c532bfqfwcwqv0a77lt705xqs
2026-02-01,20,Wil 0-0 Stade Nyonnais,Wil,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,c4jxlb8fb2xh69jvfwci2wmxg
2026-01-30,20,Yverdon Sport 1-2 Aarau,Yverdon Sport,Aarau,v4oigfqi2coe9b80o7b7dvys,c3zmdnzsyx3wpmnyyiypuh89g
2026-01-30,20,Etoile Carouge 2-1 Rapperswil-Jona,Etoile Carouge,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,c3bj5kupfv59gzkcjzrbi4650
2026-01-30,20,Stade-Lausanne-Ouchy 5-2 Vaduz,Stade-Lausanne-Ouchy,Vaduz,v4oigfqi2coe9b80o7b7dvys,c2rq927gv8vgob6dmobz7sglw
2026-01-30,20,Bellinzona 5-0 Xamax,Bellinzona,Xamax,v4oigfqi2coe9b80o7b7dvys,c27kfgoiom0jms0zvs1j1tdec
2026-01-25,19,Xamax 1-2 Yverdon Sport,Xamax,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,c1n72lvn0ym83pbnw1icgkkr8
2026-01-24,19,Rapperswil-Jona 1-0 Stade-Lausanne-Ouchy,Rapperswil-Jona,Stade-Lausanne-Ouchy,v4oigfqi2coe9b80o7b7dvys,c1024c9jnt3bfau7i7sn7302c
2026-01-24,19,Aarau 1-0 Bellinzona,Aarau,Bellinzona,v4oigfqi2coe9b80o7b7dvys,c0cyirhb4vec4ghuo2b0bufpw
2026-01-23,19,Vaduz 3-1 Wil,Vaduz,Wil,v4oigfqi2coe9b80o7b7dvys,bzoha3kc2eb0qif1akvgw7o5w
2026-01-23,19,Stade Nyonnais 2-2 Etoile Carouge,Stade Nyonnais,Etoile Carouge,v4oigfqi2coe9b80o7b7dvys,byyj2fuasg2awgu471veia904
2025-12-21,18,Yverdon Sport 1-0 Rapperswil-Jona,Yverdon Sport,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,a7sbvppgairm8j9jzo65wz7ro
2025-12-20,18,Bellinzona 0-2 Wil,Bellinzona,Wil,v4oigfqi2coe9b80o7b7dvys,a688trup6qzsqxpe3f2zx10k4
2025-12-19,18,Vaduz 3-2 Aarau,Vaduz,Aarau,v4oigfqi2coe9b80o7b7dvys,a7ep6ib3clo6vsjf1pazqfml0
2025-12-19,18,Etoile Carouge 1-2 Stade-Lausanne-Ouchy,Etoile Carouge,Stade-Lausanne-Ouchy,v4oigfqi2coe9b80o7b7dvys,a6ngvg2i84y653sp99b5llo2c
2025-12-19,18,Stade Nyonnais 1-1 Xamax,Stade Nyonnais,Xamax,v4oigfqi2coe9b80o7b7dvys,a7164mbjyx5avbk5b391ktu6s
2025-12-14,17,Wil 1-0 Stade Nyonnais,Wil,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,a5g4buzu4jguxry8iy5xhifx0
2025-12-14,17,Xamax 1-0 Bellinzona,Xamax,Bellinzona,v4oigfqi2coe9b80o7b7dvys,a4nvk86ukry21mb72ambasvtg
2025-12-13,17,Stade-Lausanne-Ouchy 4-0 Yverdon Sport,Stade-Lausanne-Ouchy,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,a5235lv9y1fylqwa66cq229ec
2025-12-12,17,Aarau 2-1 Etoile Carouge,Aarau,Etoile Carouge,v4oigfqi2coe9b80o7b7dvys,a496tt9m2dkec82ljirw4yihg
2025-12-12,17,Rapperswil-Jona 0-4 Vaduz,Rapperswil-Jona,Vaduz,v4oigfqi2coe9b80o7b7dvys,a5uf5t0c3mm21rlreiul3we1g
2025-12-10,14,Stade-Lausanne-Ouchy 3-0 Xamax,Stade-Lausanne-Ouchy,Xamax,v4oigfqi2coe9b80o7b7dvys,9zl8g1f8ufckkmjk116c1ku1g
2025-12-07,16,Yverdon Sport 1-2 Aarau,Yverdon Sport,Aarau,v4oigfqi2coe9b80o7b7dvys,a3v6ze14cpxncytn8braluihg
2025-12-06,16,Stade-Lausanne-Ouchy 0-2 Rapperswil-Jona,Stade-Lausanne-Ouchy,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,a334h1tlpwidkt3z1058x98us
2025-12-06,16,Bellinzona 2-0 Stade Nyonnais,Bellinzona,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,a2bsbleq5j7hq9kci1oxac2l0
2025-12-05,16,Vaduz 1-0 Xamax,Vaduz,Xamax,v4oigfqi2coe9b80o7b7dvys,a3hbl9db8l1u92lgkhhikfy1g
2025-12-05,16,Etoile Carouge 0-0 Wil,Etoile Carouge,Wil,v4oigfqi2coe9b80o7b7dvys,a2pgioc2sps26f5etfom8vgno
2025-11-30,15,Yverdon Sport 2-0 Etoile Carouge,Yverdon Sport,Etoile Carouge,v4oigfqi2coe9b80o7b7dvys,a1x6fvjbrrehvm7ngqmlfxq8k
2025-11-29,15,Wil 0-0 Stade-Lausanne-Ouchy,Wil,Stade-Lausanne-Ouchy,v4oigfqi2coe9b80o7b7dvys,a13vfm2h83m0uwo2hooolm1hw
2025-11-28,15,Xamax 1-2 Aarau,Xamax,Aarau,v4oigfqi2coe9b80o7b7dvys,a0cir0ooy15dcmnsl28z4i13o
2025-11-28,15,Rapperswil-Jona 2-1 Bellinzona,Rapperswil-Jona,Bellinzona,v4oigfqi2coe9b80o7b7dvys,a1jj6l8qdb9lll4hdbft0iz2s
2025-11-28,15,Stade Nyonnais 0-1 Vaduz,Stade Nyonnais,Vaduz,v4oigfqi2coe9b80o7b7dvys,a0q8g49dxjo3b82k5wxdkcd90
2025-11-22,14,Aarau 0-1 Stade Nyonnais,Aarau,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,9yg1dj2dl4gz8185t9sx0gc9g
2025-11-21,14,Etoile Carouge 0-2 Rapperswil-Jona,Etoile Carouge,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,9z7ij34tzbto2faxombzjfr4k
2025-11-21,14,Bellinzona 0-1 Vaduz,Bellinzona,Vaduz,v4oigfqi2coe9b80o7b7dvys,9yttohrrx3284gjwd8d6mfuhg
2025-11-21,14,Wil 2-4 Yverdon Sport,Wil,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,9zyxf9n2sbob47ro3hzvd8ums
2025-11-09,13,Vaduz 3-2 Stade-Lausanne-Ouchy,Vaduz,Stade-Lausanne-Ouchy,v4oigfqi2coe9b80o7b7dvys,9xof527eph8i50jfrodf7jlec
2025-11-08,13,Bellinzona 5-1 Aarau,Bellinzona,Aarau,v4oigfqi2coe9b80o7b7dvys,9wiiaa5g8rjscg1fm60liiyok
2025-11-07,13,Xamax 2-2 Yverdon Sport,Xamax,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,9wwa8gmahff48c1sjqb4otedw
2025-11-07,13,Rapperswil-Jona 1-2 Wil,Rapperswil-Jona,Wil,v4oigfqi2coe9b80o7b7dvys,9y263pb6utdrqp7wtqqrqnvo4
2025-11-07,13,Stade Nyonnais 0-0 Etoile Carouge,Stade Nyonnais,Etoile Carouge,v4oigfqi2coe9b80o7b7dvys,9xa03ab49ggjzrc8pbt0xda8k
2025-11-02,12,Wil 2-1 Xamax,Wil,Xamax,v4oigfqi2coe9b80o7b7dvys,9vp2mbtns0frqz8spi66mecr8
2025-11-01,12,Stade-Lausanne-Ouchy 3-3 Stade Nyonnais,Stade-Lausanne-Ouchy,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,9vb09hunsaaqgx1lx36kqye50
2025-11-01,12,Aarau 2-1 Rapperswil-Jona,Aarau,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,9uhw6w53f1mqk6e0jmigl2djo
2025-10-31,12,Yverdon Sport 3-4 Vaduz,Yverdon Sport,Vaduz,v4oigfqi2coe9b80o7b7dvys,9w2ygunxqta5ypsrpcbf6q9sk
2025-10-31,12,Etoile Carouge 2-0 Bellinzona,Etoile Carouge,Bellinzona,v4oigfqi2coe9b80o7b7dvys,9uxb7jwsm5scykdvm4ktiaplg
2025-10-26,11,Vaduz 3-1 Etoile Carouge,Vaduz,Etoile Carouge,v4oigfqi2coe9b80o7b7dvys,9u47npij93orlhm78vq9b3tas
2025-10-25,11,Bellinzona 0-3 Stade-Lausanne-Ouchy,Bellinzona,Stade-Lausanne-Ouchy,v4oigfqi2coe9b80o7b7dvys,9synhtgqi17l0h95wsd5ibuok
2025-10-24,11,Aarau 2-0 Wil,Aarau,Wil,v4oigfqi2coe9b80o7b7dvys,9skwjyivvknvpfvy8yktueuxg
2025-10-24,11,Stade Nyonnais 2-2 Yverdon Sport,Stade Nyonnais,Yverdon Sport,v4oigfqi2coe9b80o7b7dvys,9tqe8l0o030kuhkee0ir7dz4k
2025-10-24,11,Xamax 2-1 Rapperswil-Jona,Xamax,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,9tco7qrbmfwoxjx9pr0nhgahg
2025-10-19,10,Yverdon Sport 2-0 Bellinzona,Yverdon Sport,Bellinzona,v4oigfqi2coe9b80o7b7dvys,9s6yo2dtw501ozlgrxf7wmfx0
2025-10-19,10,Wil 0-2 Vaduz,Wil,Vaduz,v4oigfqi2coe9b80o7b7dvys,9rfm63z3ilx9nyo0entj8mhhw
2025-10-17,10,Stade-Lausanne-Ouchy 1-2 Aarau,Stade-Lausanne-Ouchy,Aarau,v4oigfqi2coe9b80o7b7dvys,9r0dd7jetholdeo8m6uehdogk
2025-10-17,10,Etoile Carouge 0-2 Xamax,Etoile Carouge,Xamax,v4oigfqi2coe9b80o7b7dvys,9qmttld42vimu7t62oa8ykkd0
2025-10-17,10,Rapperswil-Jona 1-0 Stade Nyonnais,Rapperswil-Jona,Stade Nyonnais,v4oigfqi2coe9b80o7b7dvys,9rt6et4n902xsvv0whl6qcnx0
2025-10-05,9,Vaduz 3-2 Rapperswil-Jona,Vaduz,Rapperswil-Jona,v4oigfqi2coe9b80o7b7dvys,9q962ewokkutjxpmmyrpcfhg4
