Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-29,4,San Antonio 2-0 Lexington,San Antonio,Lexington,cbkjk31sv9wm38ljg3vxhtus4,8c9xifmh00694cvec3tdyhk44
2026-03-28,4,Las Vegas Lights 1-0 Monterey Bay,Las Vegas Lights,Monterey Bay,cbkjk31sv9wm38ljg3vxhtus4,752fuyh7264rw7e4io2jjesd0
2026-03-28,4,Sacramento Republic 1-2 El Paso Locomotive,Sacramento Republic,El Paso Locomotive,cbkjk31sv9wm38ljg3vxhtus4,8b2qc732wihya90h7q38yeuxg
2026-03-28,4,Oakland Roots 0-1 Orange County SC,Oakland Roots,Orange County SC,cbkjk31sv9wm38ljg3vxhtus4,8ajj7h1mp7r5zapl6sgv9wnx0
2026-03-28,4,FC Tulsa 1-1 Phoenix Rising,FC Tulsa,Phoenix Rising,cbkjk31sv9wm38ljg3vxhtus4,89y28vdza8u7p12agumrivaqc
2026-03-28,4,Tampa Bay Rowdies 3-1 Loudoun United,Tampa Bay Rowdies,Loudoun United,cbkjk31sv9wm38ljg3vxhtus4,8boly8p1v706tdx08l1fb8c2c
2026-03-28,4,Brooklyn 0-1 Louisville City,Brooklyn,Louisville City,cbkjk31sv9wm38ljg3vxhtus4,88tedo7xrrx9g7slxybx04u8k
2026-03-28,4,Miami 2-1 Rhode Island,Miami,Rhode Island,cbkjk31sv9wm38ljg3vxhtus4,76n13qg2lkv6ggb6mc179yiac
2026-03-28,4,Pittsburgh Riverhounds 3-2 Sporting JAX,Pittsburgh Riverhounds,Sporting JAX,cbkjk31sv9wm38ljg3vxhtus4,75lddjj7gpqyz8n2hluu79vdg
2026-03-28,4,Hartford Athletic 2-2 Indy Eleven,Hartford Athletic,Indy Eleven,cbkjk31sv9wm38ljg3vxhtus4,74jic8iijin9wrputisegaivo
2026-03-28,4,Detroit City 1-0 Charleston Battery,Detroit City,Charleston Battery,cbkjk31sv9wm38ljg3vxhtus4,89exdal64o2u09axktc9net5g
2026-03-28,4,New Mexico United 3-2 Colorado Springs,New Mexico United,Colorado Springs,cbkjk31sv9wm38ljg3vxhtus4,764164wxpq9ujdo91pjcb10yc
2026-03-25,4,Sporting JAX 2-4 Miami,Sporting JAX,Miami,cbkjk31sv9wm38ljg3vxhtus4,88agf8egg17zcbdqe0l78b5sk
2026-03-25,4,Lexington 3-0 Brooklyn,Lexington,Brooklyn,cbkjk31sv9wm38ljg3vxhtus4,87lvgyxd19e8f1k7enb48qbro
2026-03-21,3,Sacramento Republic 1-1 Monterey Bay,Sacramento Republic,Monterey Bay,cbkjk31sv9wm38ljg3vxhtus4,86fao2dlc2ms9z1u7jpgsrj84
2026-03-21,3,Phoenix Rising 2-2 Oakland Roots,Phoenix Rising,Oakland Roots,cbkjk31sv9wm38ljg3vxhtus4,85t05pm2vqevhaogeecy0jaxg
2026-03-21,3,Orange County SC 1-0 Colorado Springs,Orange County SC,Colorado Springs,cbkjk31sv9wm38ljg3vxhtus4,73z1lp8lqj6ybhpn6d6lytxqs
2026-03-21,3,San Antonio 1-0 New Mexico United,San Antonio,New Mexico United,cbkjk31sv9wm38ljg3vxhtus4,872n69syqs1lxx7vh954lspp0
2026-03-21,3,FC Tulsa 3-2 Las Vegas Lights,FC Tulsa,Las Vegas Lights,cbkjk31sv9wm38ljg3vxhtus4,84jv89ytqm907daw25qqbpqms
2026-03-21,3,Tampa Bay Rowdies 3-0 Pittsburgh Riverhounds,Tampa Bay Rowdies,Pittsburgh Riverhounds,cbkjk31sv9wm38ljg3vxhtus4,73gcou8535qdli8beboqcd3bo
2026-03-21,3,Charleston Battery 3-2 Birmingham Legion,Charleston Battery,Birmingham Legion,cbkjk31sv9wm38ljg3vxhtus4,83wu8ilucfsvpcjwwfm8e6mms
2026-03-21,3,Brooklyn 1-2 Hartford Athletic,Brooklyn,Hartford Athletic,cbkjk31sv9wm38ljg3vxhtus4,838term7942kbd93mdpiio178
2026-03-21,3,Indy Eleven 2-1 Detroit City,Indy Eleven,Detroit City,cbkjk31sv9wm38ljg3vxhtus4,72xjl4bmchjaoxsy0gz1v21as
2026-03-21,3,Louisville City 4-2 Rhode Island,Louisville City,Rhode Island,cbkjk31sv9wm38ljg3vxhtus4,855o1ejcl1383le783f55ghlg
2026-03-21,3,Loudoun United 0-0 Miami,Loudoun United,Miami,cbkjk31sv9wm38ljg3vxhtus4,72ezxnydg0vd9t1m1znfmbfo4
2026-03-14,2,Monterey Bay 0-3 El Paso Locomotive,Monterey Bay,El Paso Locomotive,cbkjk31sv9wm38ljg3vxhtus4,81zpyn87ry3hzdet981f2nnro
2026-03-14,2,Oakland Roots 2-1 New Mexico United,Oakland Roots,New Mexico United,cbkjk31sv9wm38ljg3vxhtus4,71t1j9koedzg98nikjlw9ludw
