Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-25,6,Greenville Triumph 3-2 New York Cosmos,Greenville Triumph,New York Cosmos,aaqxopxxof8k6ao4qagu5yzo4,c1yxn39zgnuz2bzp6mafj1j4k
2026-03-24,3,One Knoxville 0-0 Corpus Christi,One Knoxville,Corpus Christi,aaqxopxxof8k6ao4qagu5yzo4,bn24ggfdoqyovjcjn401o5o9g
2026-03-22,3,Union Omaha 3-2 Athletic Club Boise,Union Omaha,Athletic Club Boise,aaqxopxxof8k6ao4qagu5yzo4,el7g9wbgpzpkvll960eg0eyhg
2026-03-21,3,Alta 0-0 Portland Hearts of Pine,Alta,Portland Hearts of Pine,aaqxopxxof8k6ao4qagu5yzo4,bom0d4k2bxbwx8c9tgbgdlzx0
2026-03-21,3,Richmond Kickers 0-1 Naples,Richmond Kickers,Naples,aaqxopxxof8k6ao4qagu5yzo4,ekkcbedzznfdnti6z958a855g
2026-03-21,3,Spokane Velocity 3-1 New York Cosmos,Spokane Velocity,New York Cosmos,aaqxopxxof8k6ao4qagu5yzo4,bpd6t5dhyb9ifwby8mr7f9d78
2026-03-15,2,Spokane Velocity 1-0 Union Omaha,Spokane Velocity,Union Omaha,aaqxopxxof8k6ao4qagu5yzo4,ejzoq1k5anp3she1djf0wgsus
2026-03-14,2,Sarasota Paradise 2-2 Fort Wayne,Sarasota Paradise,Fort Wayne,aaqxopxxof8k6ao4qagu5yzo4,bk8ct0yvrniydg5tthiigumms
2026-03-14,2,One Knoxville 1-2 Forward Madison,One Knoxville,Forward Madison,aaqxopxxof8k6ao4qagu5yzo4,ejcap43cv8ks1l3vjzk2dmx3o
2026-03-14,2,Greenville Triumph 1-2 Chattanooga Red Wolves,Greenville Triumph,Chattanooga Red Wolves,aaqxopxxof8k6ao4qagu5yzo4,ei3rpvpdght5k7tpbx1j7mbdg
2026-03-14,2,Westchester SC 1-1 Charlotte Independence,Westchester SC,Charlotte Independence,aaqxopxxof8k6ao4qagu5yzo4,bmeal38513xbpwuhqjaqjqec4
2026-03-14,2,Naples 2-2 Corpus Christi,Naples,Corpus Christi,aaqxopxxof8k6ao4qagu5yzo4,bkyuwg13fd76k0bd7tu5g8ys4
2026-03-14,2,New York Cosmos 1-3 Portland Hearts of Pine,New York Cosmos,Portland Hearts of Pine,aaqxopxxof8k6ao4qagu5yzo4,eirlie288u6vc1xd3yefpqs5w
2026-03-07,1,Alta 1-1 Richmond Kickers,Alta,Richmond Kickers,aaqxopxxof8k6ao4qagu5yzo4,eezhru55cj7ankyz4gy0lrb4k
2026-03-07,1,Sarasota Paradise 0-1 Athletic Club Boise,Sarasota Paradise,Athletic Club Boise,aaqxopxxof8k6ao4qagu5yzo4,egc2dgl8w5xwku8g4z1byltec
2026-03-07,1,Westchester SC 2-3 One Knoxville,Westchester SC,One Knoxville,aaqxopxxof8k6ao4qagu5yzo4,egy97e97thffssdglfh6rqvpw
2026-03-07,1,Naples 2-0 Fort Wayne,Naples,Fort Wayne,aaqxopxxof8k6ao4qagu5yzo4,efok4ezypo8symh2ck69dda8k
