Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-29,19,Leicester City 0-1 Brighton & Hove Albion,Leicester City,Brighton & Hove Albion,221phckhkd7y6rg3uyava3ifo,am9jsal4mdhopzaqi5j7bjklw
2026-03-29,19,West Ham United 1-1 London City Lionesses,West Ham United,London City Lionesses,221phckhkd7y6rg3uyava3ifo,an6vjerwqekj505rsv0y8cxsk
2026-03-29,19,Chelsea 4-3 Aston Villa,Chelsea,Aston Villa,221phckhkd7y6rg3uyava3ifo,albve0hg2eoknlidk1yzsd5p0
2026-03-28,19,Arsenal 5-2 Tottenham Hotspur,Arsenal,Tottenham Hotspur,221phckhkd7y6rg3uyava3ifo,akv2ov880wtc2ca3p4m8dv1g4
2026-03-28,19,Manchester United 0-3 Manchester City,Manchester United,Manchester City,221phckhkd7y6rg3uyava3ifo,amq8vrbkgx80rrw1w80vs61p0
2026-03-28,19,Everton 2-3 Liverpool,Everton,Liverpool,221phckhkd7y6rg3uyava3ifo,alsl5pwe48ryu7pvvufqk5rf8
2026-03-22,18,Leicester City 1-2 Aston Villa,Leicester City,Aston Villa,221phckhkd7y6rg3uyava3ifo,aizlojwxajekmg6jq0giafdw4
2026-03-22,18,Brighton & Hove Albion 0-0 Liverpool,Brighton & Hove Albion,Liverpool,221phckhkd7y6rg3uyava3ifo,aiiyl0f0y3cq4li79d3z1y42c
2026-03-21,18,Manchester United 2-1 Everton,Manchester United,Everton,221phckhkd7y6rg3uyava3ifo,akebdd5jmdv55g67hbygce6tw
2026-03-21,18,Manchester City 5-2 Tottenham Hotspur,Manchester City,Tottenham Hotspur,221phckhkd7y6rg3uyava3ifo,ajxuoe5gyclo8u8sjaf26lgr8
2026-03-21,18,London City Lionesses 1-1 Chelsea,London City Lionesses,Chelsea,221phckhkd7y6rg3uyava3ifo,ajh45jai3a26vz5noq1ryu8t0
2026-03-21,18,Arsenal 5-0 West Ham United,Arsenal,West Ham United,221phckhkd7y6rg3uyava3ifo,ai0nn2ncvys2789t89p2lixas
2026-03-18,17,West Ham United 0-0 Manchester United,West Ham United,Manchester United,221phckhkd7y6rg3uyava3ifo,ahjv9wm1b1mc9cvuy5rnnaq6s
2026-03-18,17,Chelsea 2-1 Brighton & Hove Albion,Chelsea,Brighton & Hove Albion,221phckhkd7y6rg3uyava3ifo,afpn9lrdz3034xgefmet44n4k
2026-03-15,17,Tottenham Hotspur 1-2 Everton,Tottenham Hotspur,Everton,221phckhkd7y6rg3uyava3ifo,ah37dhsjem8ujonoyjnnz16hg
2026-03-15,17,London City Lionesses 0-2 Arsenal,London City Lionesses,Arsenal,221phckhkd7y6rg3uyava3ifo,agmoq3ynjl2n0sksf1k3t05qs
2026-03-15,17,Liverpool 2-0 Leicester City,Liverpool,Leicester City,221phckhkd7y6rg3uyava3ifo,ag6246lkjt7e7ripofhamow0k
2026-03-15,17,Aston Villa 0-0 Manchester City,Aston Villa,Manchester City,221phckhkd7y6rg3uyava3ifo,af9bxqjnpqtkdvd4g9mim3wno
2026-02-15,16,Manchester United 2-1 London City Lionesses,Manchester United,London City Lionesses,221phckhkd7y6rg3uyava3ifo,aesuzv29xztgctze1uesycr2s
2026-02-15,16,Everton 1-0 West Ham United,Everton,West Ham United,221phckhkd7y6rg3uyava3ifo,advraqeboctvdvuz70nn18e1g
2026-02-15,16,Chelsea 2-0 Liverpool,Chelsea,Liverpool,221phckhkd7y6rg3uyava3ifo,adf3av6mpjw516o2pimsj5mvo
2026-02-15,16,Aston Villa 3-7 Tottenham Hotspur,Aston Villa,Tottenham Hotspur,221phckhkd7y6rg3uyava3ifo,acfpuow4zoz7e7fumvqy1l1xw
2026-02-13,16,Manchester City 6-0 Leicester City,Manchester City,Leicester City,221phckhkd7y6rg3uyava3ifo,aec8sur0njratqqbaa0irdpn8
2026-02-08,15,Tottenham Hotspur 0-2 Chelsea,Tottenham Hotspur,Chelsea,221phckhkd7y6rg3uyava3ifo,abikqndude0w0wkzg7dszr21g
