Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Atlético Mineiro,0.96,1.13,-0.17,0.96,0.76,0.20,0.00,0.36,-0.36,0.96,1.13,-0.17,1,2,-1,-0.83,36.80,29.74,45.63,0.3,1.03,130,2,8,18,26.67,17.48,21.94,1,11,5,3,5,49.4,18.07,117.93,84.16,58.13,27.47,0,Grêmio 2-1 Atlético Mineiro,2026-02-25
Grêmio,1.13,0.96,0.17,0.76,0.96,-0.20,0.36,0.00,0.36,1.13,0.96,0.17,2,1,1,0.83,63.20,70.26,56.16,1.03,0.3,351,4,18,8,17.48,26.67,5.68,11,1,27,6,14,224.0,81.93,22.2,15.84,153.5,72.53,0,Grêmio 2-1 Atlético Mineiro,2026-02-25
Fluminense,1.78,1.90,-0.12,1.62,1.14,0.48,0.16,0.00,0.16,1.78,1.14,0.64,1,2,-1,-0.88,65.00,60.55,49.22,0.94,0.34,311,18,18,13,19.15,38.24,8.86,5,7,22,11,16,171.4,69.25,11.33,8.53,103.73,38.65,0,Palmeiras 2-1 Fluminense,2026-02-25
Palmeiras,1.90,1.78,0.12,1.14,1.62,-0.48,0.00,0.16,-0.16,1.14,1.78,-0.64,2,1,1,0.88,35.00,39.45,46.77,0.34,0.94,148,12,13,18,38.24,19.15,11.95,7,5,12,5,16,76.1,30.75,121.53,91.47,164.63,61.35,1,Palmeiras 2-1 Fluminense,2026-02-25
Corinthians,0.31,0.70,-0.39,0.21,0.68,-0.47,0.10,0.02,0.08,0.31,0.70,-0.39,1,1,0,0.39,51.80,49.82,46.53,0.5,0.54,198,5,4,11,8.0,20.37,9.24,3,3,19,3,14,54.8,36.27,18.73,26.73,41.73,22.67,1,Cruzeiro 1-1 Corinthians,2026-02-25
Cruzeiro,0.70,0.31,0.39,0.68,0.21,0.47,0.02,0.10,-0.08,0.70,0.31,0.39,1,1,0,-0.39,48.20,50.18,48.08,0.54,0.5,168,10,11,4,20.37,8.0,9.64,3,3,15,5,15,96.3,63.73,51.33,73.27,142.33,77.33,0,Cruzeiro 1-1 Corinthians,2026-02-25
São Paulo,1.48,0.97,0.51,0.59,0.96,-0.37,0.13,0.01,0.12,0.72,0.97,-0.25,1,0,1,0.49,57.90,60.0,45.70,0.44,0.54,217,9,9,18,20.45,33.33,10.73,4,1,16,7,19,96.9,51.71,11.73,10.94,63.37,33.66,0,Coritiba 0-1 São Paulo,2026-02-25
Coritiba,0.97,1.48,-0.51,0.96,0.59,0.37,0.01,0.13,-0.12,0.97,0.72,0.25,0,1,-1,-0.49,42.10,40.0,45.60,0.54,0.44,158,10,18,9,33.33,20.45,17.24,1,4,18,3,5,90.5,48.29,95.47,89.06,124.9,66.34,0,Coritiba 0-1 São Paulo,2026-02-25
Internacional,1.08,2.24,-1.16,0.64,2.24,-1.60,0.44,0.00,0.44,1.08,2.24,-1.16,1,1,0,1.16,57.90,50.74,48.15,1.13,0.5,243,18,18,12,15.93,24.0,7.59,2,4,24,12,14,77.9,59.1,9.67,12.5,52.03,38.81,0,Remo 1-1 Internacional,2026-02-25
Remo,2.24,1.08,1.16,2.24,0.64,1.60,0.00,0.44,-0.44,2.24,1.08,1.16,1,1,0,-1.16,42.10,49.26,45.15,0.5,1.13,144,8,12,18,24.0,15.93,11.05,4,2,23,7,16,53.9,40.9,67.67,87.5,82.03,61.19,1,Remo 1-1 Internacional,2026-02-25
Athletico Paranaense,1.46,0.97,0.49,1.45,0.91,0.54,0.02,0.06,-0.04,1.46,0.97,0.49,1,1,0,-0.49,60.90,71.91,52.50,0.97,0.3,245,14,18,7,18.56,23.33,8.10,3,5,27,7,16,199.6,88.36,24.8,25.83,147.43,84.51,1,RB Bragantino 1-1 Athletico Paranaense,2026-02-25
RB Bragantino,0.97,1.46,-0.49,0.91,1.45,-0.54,0.06,0.02,0.04,0.97,1.46,-0.49,1,1,0,0.49,39.10,28.09,44.43,0.3,0.97,105,7,7,18,23.33,18.56,8.03,5,3,8,2,18,26.3,11.64,71.2,74.17,27.03,15.49,0,RB Bragantino 1-1 Athletico Paranaense,2026-02-25
