Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Deportes Concepción,0.59,1.56,-0.97,0.53,1.21,-0.68,0.05,0.35,-0.30,0.59,1.56,-0.97,1,2,-1,-0.03,52.30,56.35,46.75,0.48,0.67,197,8,12,13,25.0,19.4,10.88,6,1,24,3,11,100.5,70.72,41.07,43.44,77.17,57.76,0,O'Higgins 2-1 Deportes Concepción,2026-02-02
O'Higgins,1.56,0.59,0.97,1.21,0.53,0.68,0.35,0.05,0.30,1.56,0.59,0.97,2,1,1,0.03,47.70,43.65,46.52,0.67,0.48,193,13,13,12,19.4,25.0,13.41,1,6,21,3,11,41.6,29.28,53.47,56.56,56.43,42.24,4,O'Higgins 2-1 Deportes Concepción,2026-02-02
Unión La Calera,0.25,0.76,-0.51,0.23,0.66,-0.43,0.02,0.09,-0.07,0.25,0.76,-0.51,1,0,1,1.51,48.50,34.31,39.55,0.44,0.47,118,6,7,14,15.91,29.79,6.95,5,5,12,2,16,34.9,25.25,31.27,39.89,54.9,33.9,2,Everton 0-1 Unión La Calera,2026-02-02
Everton,0.76,0.25,0.51,0.66,0.23,0.43,0.09,0.02,0.07,0.76,0.25,0.51,0,1,-1,-1.51,51.50,65.69,51.43,0.47,0.44,203,12,14,7,29.79,15.91,7.61,5,5,34,6,18,103.3,74.75,47.13,60.11,107.07,66.1,1,Everton 0-1 Unión La Calera,2026-02-02
Ñublense,1.79,2.02,-0.23,0.87,1.22,-0.35,0.16,0.04,0.12,1.03,1.26,-0.23,1,1,0,0.23,42.80,44.73,45.31,0.64,0.75,145,12,9,14,14.06,18.67,12.62,2,1,23,8,14,59.3,38.36,69.47,78.35,67.13,51.24,5,Palestino 1-1 Ñublense,2026-02-01
Palestino,2.02,1.79,0.23,1.22,0.87,0.35,0.04,0.16,-0.12,1.26,1.03,0.23,1,1,0,-0.23,57.20,55.27,45.50,0.75,0.64,211,9,14,9,18.67,14.06,12.57,1,2,21,7,10,95.3,61.64,19.2,21.65,63.87,48.76,0,Palestino 1-1 Ñublense,2026-02-01
Universidad Católica,1.60,1.47,0.13,1.60,1.47,0.13,0.00,0.00,0.00,1.60,1.47,0.13,2,2,0,-0.13,58.70,59.52,46.27,1.32,0.86,162,17,13,10,9.85,11.63,5.34,4,9,24,3,17,114.5,69.6,9.93,16.3,85.33,52.06,8,La Serena 2-2 Universidad Católica,2026-02-01
La Serena,1.47,1.60,-0.13,1.47,1.60,-0.13,0.00,0.00,0.00,1.47,1.60,-0.13,2,2,0,0.13,41.30,40.48,42.66,0.86,1.32,102,11,10,13,11.63,9.85,7.10,9,4,6,0,19,50.0,30.4,51.0,83.7,78.57,47.94,7,La Serena 2-2 Universidad Católica,2026-02-01
Huachipato,1.09,1.33,-0.24,0.99,0.53,0.46,0.1,0.04,0.06,1.09,0.57,0.52,0,1,-1,-0.76,48.6,48.27,50.54,1.1,0.93,217,22,13,18,11.82,19.35,13.04,2,5,30,4,10,131.1,47.95,55.6,49.38,109.33,42.85,8,Cobresal 1-0 Huachipato,2026-01-31
Cobresal,1.33,1.09,0.24,0.53,0.99,-0.46,0.04,0.1,-0.06,0.57,1.09,-0.52,1,0,1,0.76,51.4,51.73,51.51,0.93,1.1,253,14,18,13,19.35,11.82,8.84,5,2,24,6,17,142.3,52.05,57.0,50.62,145.83,57.15,2,Cobresal 1-0 Huachipato,2026-01-31
Coquimbo Unido,0.72,1.19,-0.47,0.72,0.91,-0.19,0.0,0.28,-0.28,0.72,1.19,-0.47,0,1,-1,-0.53,49.8,51.4,48.1,0.65,0.65,201,7,8,13,12.31,20.0,13.96,2,5,14,1,12,59.7,40.5,49.67,53.76,48.8,36.95,3,Universidad Concepción 1-0 Coquimbo Unido,2026-01-31
Universidad Concepción,1.19,0.72,0.47,0.91,0.72,0.19,0.28,0.0,0.28,1.19,0.72,0.47,1,0,1,0.53,50.2,48.6,44.87,0.65,0.65,181,18,13,8,20.0,12.31,11.32,5,2,24,11,8,87.7,59.5,42.73,46.24,83.27,63.05,2,Universidad Concepción 1-0 Coquimbo Unido,2026-01-31
Colo Colo,2.02,2.08,-0.06,2.01,2.08,-0.07,0.02,0.0,0.02,2.02,2.08,-0.06,1,3,-2,-1.94,71.8,70.05,54.18,1.57,0.97,414,32,18,9,11.46,9.28,9.05,8,3,29,4,6,244.3,87.69,2.67,1.79,117.67,41.51,1,Deportes Limache 3-1 Colo Colo,2026-01-31
