Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Beijing Guoan,2.26,0.70,1.56,1.09,0.57,0.52,1.16,0.13,1.03,2.26,0.70,1.56,2,0,2,0.44,66.40,70.08,52.25,0.83,0.44,318,28,16,10,19.28,22.73,7.75,7,6,33,10,14,229.7,78.66,9.4,10.43,175.43,80.96,1,Wuhan Three Towns 0-2 Beijing Guoan,2026-03-08
Wuhan Three Towns,0.70,2.26,-1.56,0.57,1.09,-0.52,0.13,1.16,-1.03,0.70,2.26,-1.56,0,2,-2,-0.44,33.60,29.92,44.44,0.44,0.83,126,6,10,16,22.73,19.28,15.00,6,7,21,5,11,62.3,21.34,80.73,89.57,41.27,19.04,0,Wuhan Three Towns 0-2 Beijing Guoan,2026-03-08
Qingdao West Coast,1.26,1.70,-0.44,0.50,1.55,-1.05,0.00,0.15,-0.15,0.50,1.70,-1.20,0,2,-2,-1.56,41.40,43.85,46.74,0.15,0.63,160,6,11,13,73.33,20.63,10.79,2,7,14,3,13,73.7,37.47,104.93,83.68,76.4,38.71,2,Zhejiang 2-0 Qingdao West Coast,2026-03-08
Zhejiang,1.70,1.26,0.44,1.55,0.50,1.05,0.15,0.00,0.15,1.70,0.50,1.20,2,0,2,1.56,58.60,56.15,49.00,0.63,0.15,281,13,13,11,20.63,73.33,5.98,7,2,15,5,21,123.0,62.53,20.47,16.32,120.97,61.29,2,Zhejiang 2-0 Qingdao West Coast,2026-03-08
Qingdao Hainiu,1.51,1.91,-0.4,1.45,1.56,-0.11,0.07,0.35,-0.28,1.51,1.91,-0.4,1,3,-2,-1.6,50.7,45.83,41.06,0.31,1.06,132,4,15,15,48.39,14.15,10.73,2,6,14,3,13,64.0,42.92,32.4,33.06,31.48,14.49,1,Yunnan Yukun 3-1 Qingdao Hainiu,2026-03-07
Yunnan Yukun,1.91,1.51,0.4,1.56,1.45,0.11,0.35,0.07,0.28,1.91,1.51,0.4,3,1,2,1.6,49.3,54.17,46.93,1.06,0.31,165,12,15,15,14.15,48.39,11.74,6,2,17,5,9,85.1,57.08,65.6,66.94,185.74,85.51,2,Yunnan Yukun 3-1 Qingdao Hainiu,2026-03-07
Henan,2.98,2.87,0.11,2.62,2.64,-0.02,0.36,0.23,0.13,2.98,2.87,0.11,2,1,1,0.89,35.5,32.24,44.12,0.76,1.24,129,15,10,23,13.16,18.55,10.35,9,9,12,6,10,42.9,15.94,83.2,89.59,81.8,46.35,3,Shanghai Port 1-2 Henan,2026-03-07
Shanghai Port,2.87,2.98,-0.11,2.64,2.62,0.02,0.23,0.36,-0.13,2.87,2.98,-0.11,1,2,-1,-0.89,64.5,67.76,51.45,1.24,0.76,302,19,23,10,18.55,13.16,7.63,9,9,44,11,14,226.2,84.06,9.67,10.41,94.67,53.65,0,Shanghai Port 1-2 Henan,2026-03-07
Dalian Yingbo,1.96,4.58,-2.62,1.21,4.37,-3.16,0.75,0.22,0.53,1.96,4.58,-2.62,3,5,-2,0.62,32.0,30.88,49.32,0.25,1.34,152,11,12,21,48.0,15.67,20.57,1,5,17,6,8,33.8,12.64,103.53,91.14,39.47,13.28,2,Shanghai Shenhua 5-3 Dalian Yingbo,2026-03-07
Shanghai Shenhua,4.58,1.96,2.62,4.37,1.21,3.16,0.22,0.75,-0.53,4.58,1.96,2.62,5,3,2,-0.62,68.0,69.12,51.9,1.34,0.25,338,12,21,12,15.67,48.0,8.7,5,1,25,10,15,233.6,87.36,10.07,8.86,257.66,86.72,0,Shanghai Shenhua 5-3 Dalian Yingbo,2026-03-07
