Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Millonarios,1.26,1.01,0.25,0.42,1.01,-0.59,0.08,0.00,0.08,0.50,1.01,-0.51,1,2,-1,-1.25,31.80,27.61,45.85,0.6,1.74,114,6,13,17,21.67,9.77,19.86,1,8,13,4,9,42.5,15.3,130.8,93.21,51.57,27.13,0,Deportivo Pasto 2-1 Millonarios,2026-01-28
Deportivo Pasto,1.01,1.26,-0.25,1.01,0.42,0.59,0.00,0.08,-0.08,1.01,0.50,0.51,2,1,1,1.25,68.20,72.39,53.70,1.74,0.6,362,13,17,13,9.77,21.67,6.91,8,1,25,2,9,235.2,84.7,9.53,6.79,138.5,72.87,2,Deportivo Pasto 2-1 Millonarios,2026-01-28
Deportivo Pereira,0.79,1.29,-0.50,0.79,1.08,-0.29,0.00,0.21,-0.21,0.79,1.29,-0.50,2,2,0,0.50,28.80,20.47,43.06,0.09,1.29,73,2,7,19,77.78,14.73,17.50,1,2,7,1,10,7.2,3.03,115.2,96.06,18.97,15.79,0,Independiente Santa Fe 2-2 Deportivo Pereira,2026-01-28
Independiente Santa Fe,1.29,0.79,0.50,1.08,0.79,0.29,0.21,0.00,0.21,1.29,0.79,0.50,2,2,0,-0.50,71.20,79.53,56.01,1.29,0.09,333,17,19,7,14.73,77.78,5.00,2,1,24,8,21,230.4,96.97,4.73,3.94,101.2,84.21,0,Independiente Santa Fe 2-2 Deportivo Pereira,2026-01-28
Boyacá Chicó,0.75,0.94,-0.19,0.75,0.87,-0.12,0.00,0.06,-0.06,0.75,0.94,-0.19,1,1,0,0.19,30.30,24.73,40.75,0.19,1.11,90,2,5,14,26.32,12.61,11.68,4,4,2,0,15,6.5,3.5,121.13,90.13,51.47,30.72,1,Alianza 1-1 Boyacá Chicó,2026-01-28
Alianza,0.94,0.75,0.19,0.87,0.75,0.12,0.06,0.00,0.06,0.94,0.75,0.19,1,1,0,-0.19,69.70,75.27,47.00,1.11,0.19,242,13,14,5,12.61,26.32,5.74,4,4,26,3,16,179.0,96.5,13.27,9.87,116.1,69.28,3,Alianza 1-1 Boyacá Chicó,2026-01-28
Deportes Tolima,0.68,1.16,-0.48,0.68,1.01,-0.33,0.00,0.16,-0.16,0.68,1.16,-0.48,2,2,0,0.48,31.70,19.28,40.32,0.25,1.78,77,3,5,24,20.0,13.48,21.07,0,5,3,2,11,23.1,6.05,85.93,75.69,16.7,6.56,0,Independiente Medellín 2-2 Deportes Tolima,2026-01-27
Independiente Medellín,1.16,0.68,0.48,1.01,0.68,0.33,0.16,0.00,0.16,1.16,0.68,0.48,2,2,0,-0.48,68.30,80.72,60.06,1.78,0.25,382,27,24,5,13.48,20.0,7.13,5,0,21,6,11,358.7,93.95,27.6,24.31,237.97,93.44,0,Independiente Medellín 2-2 Deportes Tolima,2026-01-27
Llaneros,1.63,2.78,-1.15,0.05,1.18,-1.13,0.06,0.07,-0.01,0.11,1.26,-1.15,1,1,0,1.15,32.00,27.73,46.00,0.09,1.52,97,3,5,23,55.56,15.13,18.72,1,1,10,2,10,18.5,7.4,95.87,83.37,42.83,26.7,0,Fortaleza 1-1 Llaneros,2026-01-27
Fortaleza,2.78,1.63,1.15,1.18,0.05,1.13,0.07,0.06,0.01,1.26,0.11,1.15,1,1,0,-1.15,68.00,72.27,54.62,1.52,0.09,296,22,23,5,15.13,55.56,9.15,1,1,33,11,10,231.5,92.6,19.13,16.63,117.6,73.3,2,Fortaleza 1-1 Llaneros,2026-01-27
Atlético Bucaramanga,0.70,1.13,-0.43,0.56,1.13,-0.57,0.14,0.00,0.14,0.70,1.13,-0.43,2,2,0,0.43,51.80,59.9,46.83,0.48,0.51,186,15,10,10,20.83,19.61,8.45,5,5,18,6,18,99.1,69.3,29.33,46.76,102.47,68.18,2,Cúcuta Deportivo 2-2 Atlético Bucaramanga,2026-01-27
Cúcuta Deportivo,1.13,0.70,0.43,1.13,0.56,0.57,0.00,0.14,-0.14,1.13,0.70,0.43,2,2,0,-0.43,48.20,40.1,42.08,0.51,0.48,126,2,10,10,19.61,20.83,9.11,5,5,11,0,15,43.9,30.7,33.4,53.24,47.83,31.82,0,Cúcuta Deportivo 2-2 Atlético Bucaramanga,2026-01-27
Independiente Santa Fe,0.94,1.36,-0.42,0.94,1.27,-0.33,0.00,0.09,-0.09,0.94,1.36,-0.42,1,1,0,0.42,41.50,40.56,48.04,0.62,0.87,198,8,12,16,19.35,18.39,16.08,3,2,14,5,7,48.2,25.05,87.6,76.17,59.27,41.99,2,Once Caldas 1-1 Independiente Santa Fe,2026-01-25
