Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Mumbai City,3.33,1.26,2.07,2.70,0.75,1.95,0.63,0.50,0.13,3.33,1.26,2.07,2,1,1,-1.07,49.50,45.35,43.67,0.97,1.0,142,13,15,16,15.46,16.0,12.77,5,3,9,2,6,77.1,46.93,36.8,35.02,59.33,43.05,1,Inter Kashi 1-2 Mumbai City,2026-03-15
Inter Kashi,1.26,3.33,-2.07,0.75,2.70,-1.95,0.50,0.63,-0.13,1.26,3.33,-2.07,1,2,-1,1.07,50.50,54.65,45.37,1.0,0.97,171,10,16,15,16.0,15.46,15.59,3,5,29,9,7,87.2,53.07,68.27,64.98,78.5,56.95,2,Inter Kashi 1-2 Mumbai City,2026-03-15
Jamshedpur,1.29,0.51,0.78,0.37,0.46,-0.09,0.16,0.05,0.11,0.53,0.51,0.02,1,2,-1,-1.78,49.00,64.6,49.89,0.75,0.77,191,13,10,8,13.33,10.39,12.59,1,6,26,3,14,83.5,73.37,66.33,65.2,107.5,75.24,1,NorthEast United 2-1 Jamshedpur,2026-03-15
NorthEast United,0.51,1.29,-0.78,0.46,0.37,0.09,0.05,0.16,-0.11,0.51,0.53,-0.02,2,1,1,1.78,51.00,35.4,38.79,0.77,0.75,100,9,8,10,10.39,13.33,9.32,6,1,9,1,13,30.3,26.63,35.4,34.8,35.37,24.76,0,NorthEast United 2-1 Jamshedpur,2026-03-15
Mohun Bagan,1.91,1.06,0.85,1.36,1.06,0.30,0.55,0.00,0.55,1.91,1.06,0.85,0,0,0,-0.85,67.80,64.71,47.11,0.82,0.23,290,13,16,10,19.51,43.48,7.29,5,4,19,4,10,180.2,85.32,7.27,4.59,71.77,51.93,3,Bengaluru 0-0 Mohun Bagan,2026-03-14
Bengaluru,1.06,1.91,-0.85,1.06,1.36,-0.30,0.00,0.55,-0.55,1.06,1.91,-0.85,0,0,0,0.85,32.20,35.29,47.12,0.23,0.82,116,4,10,16,43.48,19.51,20.62,4,5,19,3,15,31.0,14.68,151.13,95.41,66.43,48.07,0,Bengaluru 0-0 Mohun Bagan,2026-03-14
Kerala Blasters,1.22,1.22,0.00,0.97,0.29,0.68,0.25,0.17,0.08,1.22,0.46,0.76,1,1,0,0.00,44.20,42.09,43.59,1.04,0.57,154,10,7,9,6.73,15.79,14.89,6,5,20,3,11,41.1,31.98,52.53,53.68,24.33,19.12,0,East Bengal 1-1 Kerala Blasters,2026-03-14
East Bengal,1.22,1.22,0.00,0.29,0.97,-0.68,0.17,0.25,-0.08,0.46,1.22,-0.76,1,1,0,0.00,55.80,57.91,51.11,0.57,1.04,281,12,9,7,15.79,6.73,13.08,5,6,17,7,9,87.4,68.02,45.33,46.32,102.93,80.88,0,East Bengal 1-1 Kerala Blasters,2026-03-14
Goa,1.08,1.12,-0.04,0.92,0.86,0.06,0.16,0.26,-0.1,1.08,1.12,-0.04,1,1,0,0.04,57.5,57.09,46.9,0.8,0.37,231,14,11,6,13.75,16.22,13.04,0,10,25,10,8,106.4,67.04,48.6,42.43,68.1,62.52,1,Punjab 1-1 Goa,2026-03-16
Punjab,1.12,1.08,0.04,0.86,0.92,-0.06,0.26,0.16,0.1,1.12,1.08,0.04,1,1,0,-0.04,42.5,42.91,47.86,0.37,0.8,183,6,6,11,16.22,13.75,13.26,10,0,10,2,13,52.3,32.96,65.93,57.57,40.83,37.48,1,Punjab 1-1 Goa,2026-03-16
NorthEast United,0.81,1.5,-0.69,0.79,1.45,-0.66,0.02,0.05,-0.03,0.81,1.5,-0.69,1,1,0,0.69,49.4,41.2,42.09,0.55,1.12,129,6,5,7,9.09,6.25,9.16,3,5,12,6,13,23.9,21.23,35.2,60.97,27.87,26.2,3,Punjab 1-1 NorthEast United,2026-03-09
Punjab,1.5,0.81,0.69,1.45,0.79,0.66,0.05,0.02,0.03,1.5,0.81,0.69,1,1,0,-0.69,50.6,58.8,45.78,1.12,0.55,136,17,7,5,6.25,9.09,7.78,5,3,19,6,16,88.7,78.77,22.53,39.03,78.5,73.8,6,Punjab 1-1 NorthEast United,2026-03-09
Sporting Delhi,0.99,0.58,0.41,0.99,0.58,0.41,0.0,0.0,0.0,0.99,0.58,0.41,2,2,0,-0.41,47.0,50.79,47.56,0.63,0.25,185,9,13,6,20.63,24.0,15.12,3,6,14,1,5,102.8,65.86,72.4,73.18,91.6,65.58,4,Mumbai City 2-2 Sporting Delhi,2026-03-08
Mumbai City,0.58,0.99,-0.41,0.58,0.99,-0.41,0.0,0.0,0.0,0.58,0.99,-0.41,2,2,0,0.41,53.0,49.21,43.16,0.25,0.63,171,11,6,13,24.0,20.63,16.5,6,3,16,5,10,53.3,34.14,26.53,26.82,48.07,34.42,2,Mumbai City 2-2 Sporting Delhi,2026-03-08
Chennaiyin,0.86,2.61,-1.75,0.77,1.99,-1.22,0.09,0.63,-0.54,0.86,2.61,-1.75,1,0,1,2.75,51.9,38.28,42.66,0.44,1.21,147,7,9,17,20.45,14.05,10.66,2,7,9,5,6,66.6,27.78,39.4,40.12,44.6,24.65,0,Kerala Blasters 0-1 Chennaiyin,2026-03-07
Kerala Blasters,2.61,0.86,1.75,1.99,0.77,1.22,0.63,0.09,0.54,2.61,0.86,1.75,0,1,-1,-2.75,48.1,61.72,48.4,1.21,0.44,191,20,17,9,14.05,20.45,13.03,7,2,29,6,15,173.1,72.22,58.8,59.88,136.3,75.35,1,Kerala Blasters 0-1 Chennaiyin,2026-03-07
Bengaluru,1.35,0.55,0.8,0.87,0.48,0.39,0.48,0.07,0.41,1.35,0.55,0.8,2,1,1,0.2,54.1,53.73,47.09,0.53,0.23,186,14,16,11,30.19,47.83,9.62,4,5,24,9,13,99.1,65.15,26.47,37.71,93.97,71.73,3,Mohammedan 1-2 Bengaluru,2026-03-07
Mohammedan,0.55,1.35,-0.8,0.48,0.87,-0.39,0.07,0.48,-0.41,0.55,1.35,-0.8,1,2,-1,-0.2,45.9,46.27,43.95,0.23,0.53,129,5,11,16,47.83,30.19,12.89,5,4,16,2,8,53.0,34.85,43.73,62.29,37.03,28.27,3,Mohammedan 1-2 Bengaluru,2026-03-07
Inter Kashi,0.82,2.39,-1.57,0.63,2.39,-1.76,0.19,0.0,0.19,0.82,2.39,-1.57,0,1,-1,0.57,58.0,57.55,50.56,0.8,0.6,241,17,16,10,20.0,16.67,10.89,7,3,24,6,11,111.3,71.21,21.93,20.72,53.63,47.02,3,Jamshedpur 1-0 Inter Kashi,2026-03-06
Jamshedpur,2.39,0.82,1.57,2.39,0.63,1.76,0.0,0.19,-0.19,2.39,0.82,1.57,1,0,1,-0.57,42.0,42.45,45.9,0.6,0.8,131,13,10,16,16.67,20.0,17.04,3,7,11,1,7,45.0,28.79,83.93,79.28,60.43,52.98,0,Jamshedpur 1-0 Inter Kashi,2026-03-06
Odisha,1.26,2.16,-0.9,1.15,2.08,-0.93,0.11,0.08,0.03,1.26,2.16,-0.9,1,5,-4,-3.1,29.8,30.63,44.01,0.26,1.44,93,9,10,18,38.46,12.5,18.96,2,5,8,4,12,20.0,10.55,127.67,96.96,21.12,8.8,2,Mohun Bagan 5-1 Odisha,2026-03-06
Mohun Bagan,2.16,1.26,0.9,2.08,1.15,0.93,0.08,0.11,-0.03,2.16,1.26,0.9,5,1,4,3.1,70.2,69.37,45.79,1.44,0.26,259,22,18,10,12.5,38.46,9.04,5,2,19,6,7,169.6,89.45,4.0,3.04,218.84,91.2,0,Mohun Bagan 5-1 Odisha,2026-03-06
Goa,1.08,0.83,0.25,1.08,0.82,0.26,0.0,0.01,-0.01,1.08,0.83,0.25,0,0,0,-0.25,46.4,42.31,46.71,0.27,0.69,158,6,6,20,22.22,28.99,16.18,4,2,7,3,12,37.8,23.79,46.73,70.31,38.57,28.9,1,East Bengal 0-0 Goa,2026-03-05
East Bengal,0.83,1.08,-0.25,0.82,1.08,-0.26,0.01,0.0,0.01,0.83,1.08,-0.25,0,0,0,0.25,53.6,57.69,48.9,0.69,0.27,206,9,20,6,28.99,22.22,12.58,2,4,20,1,7,121.1,76.21,19.73,29.69,94.87,71.1,1,East Bengal 0-0 Goa,2026-03-05
NorthEast United,0.26,1.94,-1.68,0.2,1.53,-1.33,0.06,0.41,-0.35,0.26,1.94,-1.68,1,1,0,1.68,38.6,37.54,43.08,0.31,0.78,110,7,7,14,22.58,17.95,16.83,3,5,14,2,9,27.3,18.24,92.2,86.17,77.8,51.42,3,Mumbai City 1-1 NorthEast United,2026-03-01
Mumbai City,1.94,0.26,1.68,1.53,0.2,1.33,0.41,0.06,0.35,1.94,0.26,1.68,1,1,0,-1.68,61.4,62.46,45.55,0.78,0.31,213,12,14,7,17.95,22.58,9.1,5,3,24,8,12,122.4,81.76,14.8,13.83,73.5,48.58,3,Mumbai City 1-1 NorthEast United,2026-03-01
Chennaiyin,2.04,0.65,1.39,1.82,0.57,1.25,0.22,0.08,0.14,2.04,0.65,1.39,1,1,0,-1.39,61.8,63.25,47.49,1.2,0.43,260,14,12,10,10.0,23.26,9.77,5,3,26,5,7,122.4,73.34,16.2,13.89,72.67,51.67,1,Odisha 1-1 Chennaiyin,2026-03-01
Odisha,0.65,2.04,-1.39,0.57,1.82,-1.25,0.08,0.22,-0.14,0.65,2.04,-1.39,1,1,0,1.39,38.2,36.75,41.79,0.43,1.2,111,6,10,12,23.26,10.0,18.35,3,5,16,1,10,44.5,26.66,100.4,86.11,67.97,48.33,1,Odisha 1-1 Chennaiyin,2026-03-01
Mohammedan,0.18,3.26,-3.08,0.05,3.01,-2.96,0.12,0.25,-0.13,0.18,3.26,-3.08,1,5,-4,-0.92,26.9,25.56,40.35,0.04,1.42,63,6,4,29,100.0,20.42,29.33,1,7,2,1,3,2.8,1.19,166.0,99.48,21.13,7.84,2,Mohun Bagan 5-1 Mohammedan,2026-02-28
Mohun Bagan,3.26,0.18,3.08,3.01,0.05,2.96,0.25,0.12,0.13,3.26,0.18,3.08,5,1,4,0.92,73.1,74.44,48.5,1.42,0.04,324,22,29,4,20.42,100.0,8.23,7,1,28,9,7,232.0,98.81,0.87,0.52,248.26,92.16,2,Mohun Bagan 5-1 Mohammedan,2026-02-28
Inter Kashi,1.32,1.01,0.31,1.29,0.97,0.32,0.03,0.04,-0.01,1.32,1.01,0.31,2,1,1,0.69,39.9,33.33,41.32,0.44,0.83,99,6,7,14,15.91,16.87,19.86,0,2,8,5,8,23.9,15.11,79.27,87.49,46.17,44.78,1,Kerala Blasters 1-2 Inter Kashi,2026-02-28
Kerala Blasters,1.01,1.32,-0.31,0.97,1.29,-0.32,0.04,0.03,0.01,1.01,1.32,-0.31,1,2,-1,-0.69,60.1,66.67,49.08,0.83,0.44,251,15,14,7,16.87,15.91,11.96,2,0,27,4,12,134.3,84.89,11.33,12.51,56.93,55.22,0,Kerala Blasters 1-2 Inter Kashi,2026-02-28
Punjab,0.85,0.84,0.01,0.71,0.84,-0.13,0.14,0.0,0.14,0.85,0.84,0.01,2,0,2,1.99,43.2,59.18,50.55,0.6,0.65,174,12,14,8,23.33,12.31,9.86,7,1,18,6,19,104.9,69.33,90.47,85.03,182.4,96.63,3,Bengaluru 0-2 Punjab,2026-02-27
Bengaluru,0.84,0.85,-0.01,0.84,0.71,0.13,0.0,0.14,-0.14,0.84,0.85,-0.01,0,2,-2,-1.99,56.8,40.82,41.62,0.65,0.6,149,4,8,14,12.31,23.33,9.36,1,7,19,4,4,46.4,30.67,15.93,14.97,6.37,3.37,0,Bengaluru 0-2 Punjab,2026-02-27
Jamshedpur,0.77,2.06,-1.29,0.55,1.65,-1.1,0.22,0.41,-0.19,0.77,2.06,-1.29,2,1,1,2.29,44.8,39.59,46.8,0.34,0.35,133,13,10,18,29.41,51.43,11.56,3,2,16,5,7,83.0,38.64,44.0,84.18,96.33,47.31,1,East Bengal 1-2 Jamshedpur,2026-02-27
