Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Dundalk,2.55,1.12,1.43,1.73,0.90,0.83,0.83,0.21,0.62,2.55,1.12,1.43,1,1,0,-1.43,44.20,53.87,52.03,0.7,0.63,216,8,15,10,21.43,15.87,11.64,9,2,21,3,13,135.8,56.09,83.8,72.07,138.47,62.91,0,Shamrock Rovers 1-1 Dundalk,2026-02-23
Shamrock Rovers,1.12,2.55,-1.43,0.90,1.73,-0.83,0.21,0.83,-0.62,1.12,2.55,-1.43,1,1,0,1.43,55.80,46.13,44.34,0.63,0.7,213,11,10,15,15.87,21.43,9.18,2,9,15,5,19,106.3,43.91,32.47,27.93,81.63,37.09,3,Shamrock Rovers 1-1 Dundalk,2026-02-23
St Patrick's Athletic,0.98,1.78,-0.8,0.98,1.62,-0.64,0.0,0.16,-0.16,0.98,1.78,-0.8,0,2,-2,-1.2,38.4,42.66,47.45,0.74,1.23,173,8,9,13,12.16,10.57,17.29,3,4,13,1,10,82.6,32.84,113.2,78.5,87.37,42.17,0,Shamrock Rovers 2-0 St Patrick's Athletic,2026-02-20
Shamrock Rovers,1.78,0.98,0.8,1.62,0.98,0.64,0.16,0.0,0.16,1.78,0.98,0.8,2,0,2,1.2,61.6,57.34,47.49,1.23,0.74,297,12,13,9,10.57,12.16,9.69,4,3,17,7,8,168.9,67.16,31.0,21.5,119.83,57.83,0,Shamrock Rovers 2-0 St Patrick's Athletic,2026-02-20
Drogheda United,1.69,0.7,0.99,1.61,0.49,1.12,0.09,0.21,-0.12,1.69,0.7,0.99,1,1,0,-0.99,41.9,43.2,46.1,0.9,0.51,130,12,10,15,11.11,29.41,17.85,0,5,15,3,13,36.3,28.4,77.8,81.89,57.4,50.84,6,Dundalk 1-1 Drogheda United,2026-02-20
Dundalk,0.7,1.69,-0.99,0.49,1.61,-1.12,0.21,0.09,0.12,0.7,1.69,-0.99,1,1,0,0.99,58.1,56.8,48.3,0.51,0.9,228,6,15,10,29.41,11.11,7.77,5,0,24,8,15,91.5,71.6,17.2,18.11,55.5,49.16,1,Dundalk 1-1 Drogheda United,2026-02-20
Sligo Rovers,0.95,2.55,-1.6,0.73,0.75,-0.02,0.22,1.04,-0.82,0.95,1.79,-0.84,0,0,0,1.6,51.8,50.0,49.6,0.74,0.91,154,10,12,18,16.22,19.78,9.68,4,3,23,6,10,53.8,37.81,20.6,45.58,50.7,36.19,2,Waterford 0-0 Sligo Rovers,2026-02-20
Waterford,2.55,0.95,1.6,0.75,0.73,0.02,1.04,0.22,0.82,1.79,0.95,0.84,0,0,0,-1.6,48.2,50.0,47.94,0.91,0.74,153,15,18,12,19.78,16.22,7.03,3,4,24,11,13,88.5,62.19,24.6,54.42,89.4,63.81,3,Waterford 0-0 Sligo Rovers,2026-02-20
Galway United,0.57,1.98,-1.41,0.57,0.95,-0.38,0.0,0.27,-0.27,0.57,1.22,-0.65,1,1,0,1.41,31.7,35.62,48.52,0.55,0.93,125,8,7,20,12.73,21.51,16.04,2,4,13,3,14,20.2,9.41,132.6,99.01,54.93,35.93,3,Shelbourne 1-1 Galway United,2026-02-20
Shelbourne,1.98,0.57,1.41,0.95,0.57,0.38,0.27,0.0,0.27,1.22,0.57,0.65,1,1,0,-1.41,68.3,64.38,53.05,0.93,0.55,350,16,20,7,21.51,12.73,6.03,4,2,31,7,9,194.5,90.59,1.33,0.99,97.97,64.07,1,Shelbourne 1-1 Galway United,2026-02-20
Bohemians,0.71,1.61,-0.9,0.7,1.51,-0.81,0.01,0.11,-0.1,0.71,1.61,-0.9,1,0,1,1.9,41.6,36.34,44.94,0.35,0.41,143,9,9,8,25.71,19.51,13.79,3,8,14,3,16,68.5,36.44,72.53,65.38,83.8,51.9,0,Derry City 0-1 Bohemians,2026-02-20
Derry City,1.61,0.71,0.9,1.51,0.7,0.81,0.11,0.01,0.1,1.61,0.71,0.9,0,1,-1,-1.9,58.4,63.66,49.75,0.41,0.35,267,10,8,9,19.51,25.71,6.8,8,3,34,5,15,119.5,63.56,38.4,34.62,77.67,48.1,0,Derry City 0-1 Bohemians,2026-02-20
Bohemians,3.88,0.12,3.76,2.34,0.12,2.22,0.78,0.0,0.78,3.12,0.12,3.0,4,0,4,0.24,51.2,57.81,50.83,0.74,0.17,210,21,23,4,31.08,23.53,11.24,4,3,16,6,12,181.1,89.7,42.53,69.88,239.3,95.87,0,Sligo Rovers 0-4 Bohemians,2026-02-14
Sligo Rovers,0.12,3.88,-3.76,0.12,2.34,-2.22,0.0,0.78,-0.78,0.12,3.12,-3.0,0,4,-4,-0.24,48.8,42.19,43.16,0.17,0.74,146,1,4,23,23.53,31.08,11.76,3,4,12,0,9,20.8,10.3,18.33,30.12,10.3,4.13,0,Sligo Rovers 0-4 Bohemians,2026-02-14
Waterford,1.0,0.84,0.16,0.8,0.77,0.03,0.19,0.07,0.12,1.0,0.84,0.16,0,2,-2,-2.16,60.4,56.88,50.31,1.3,0.61,223,21,20,13,15.38,21.31,5.42,5,2,40,11,14,118.2,67.74,21.27,30.13,80.17,40.08,0,Drogheda United 2-0 Waterford,2026-02-13
Drogheda United,0.84,1.0,-0.16,0.77,0.8,-0.03,0.07,0.19,-0.12,0.84,1.0,-0.16,2,0,2,2.16,39.6,43.12,49.78,0.61,1.3,154,8,13,20,21.31,15.38,12.62,2,5,15,6,17,56.3,32.26,49.33,69.87,119.83,59.92,5,Drogheda United 2-0 Waterford,2026-02-13
Dundalk,0.63,3.3,-2.67,0.63,1.41,-0.78,0.0,1.14,-1.14,0.63,2.54,-1.91,2,2,0,2.67,36.4,38.42,46.03,0.41,1.05,121,9,8,20,19.51,19.05,14.16,3,4,10,3,12,56.5,24.29,97.0,96.04,99.0,53.11,2,Derry City 2-2 Dundalk,2026-02-13
