Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Seoul,1.01,1.84,-0.83,0.98,1.50,-0.52,0.03,0.34,-0.31,1.01,1.84,-0.83,1,0,1,1.83,65.40,68.67,46.56,0.62,0.62,240,10,8,13,12.9,20.97,7.68,3,5,15,6,9,148.4,77.05,26.33,17.74,89.2,59.03,2,Pohang Steelers 0-1 Seoul,2026-03-18
Pohang Steelers,1.84,1.01,0.83,1.50,0.98,0.52,0.34,0.03,0.31,1.84,1.01,0.83,0,1,-1,-1.83,34.60,31.33,43.92,0.62,0.62,117,12,13,8,20.97,12.9,12.12,5,3,8,4,17,44.2,22.95,122.13,82.26,61.9,40.97,4,Pohang Steelers 0-1 Seoul,2026-03-18
Anyang,0.80,1.46,-0.66,0.64,1.46,-0.82,0.16,0.00,0.16,0.80,1.46,-0.66,1,2,-1,-0.34,34.00,34.94,48.74,0.33,0.69,154,14,11,16,33.33,23.19,19.65,8,6,14,3,10,62.2,28.12,149.53,97.39,150.43,84.07,0,Jeonbuk Motors 2-1 Anyang,2026-03-18
Jeonbuk Motors,1.46,0.80,0.66,1.46,0.64,0.82,0.00,0.16,-0.16,1.46,0.80,0.66,2,1,1,0.34,66.00,65.06,49.60,0.69,0.33,341,13,16,11,23.19,33.33,7.85,6,8,24,6,9,159.0,71.88,4.0,2.61,28.5,15.93,0,Jeonbuk Motors 2-1 Anyang,2026-03-18
Ulsan HD,1.44,1.71,-0.27,1.31,1.56,-0.25,0.13,0.15,-0.02,1.44,1.71,-0.27,2,0,2,2.27,58.10,53.09,44.10,0.78,0.92,220,14,11,17,14.1,18.48,9.39,7,3,18,8,13,103.6,50.36,20.53,17.68,81.63,42.42,1,Jeju FC 0-2 Ulsan HD,2026-03-18
Jeju FC,1.71,1.44,0.27,1.56,1.31,0.25,0.15,0.13,0.02,1.71,1.44,0.27,0,2,-2,-2.27,41.90,46.91,48.92,0.92,0.78,187,20,17,11,18.48,14.1,12.61,3,7,25,4,12,102.1,49.64,95.6,82.32,110.8,57.58,2,Jeju FC 0-2 Ulsan HD,2026-03-18
Daejeon Hana Citizen,0.55,1.78,-1.23,0.40,1.59,-1.19,0.14,0.18,-0.04,0.55,1.78,-1.23,3,1,2,3.23,50.20,38.74,43.59,0.63,0.98,176,8,8,10,12.7,10.2,10.86,7,3,13,2,16,55.7,32.31,56.13,45.07,59.13,35.94,0,Incheon United 1-3 Daejeon Hana Citizen,2026-03-18
Incheon United,1.78,0.55,1.23,1.59,0.40,1.19,0.18,0.14,0.04,1.78,0.55,1.23,1,3,-2,-3.23,49.80,61.26,44.00,0.98,0.63,179,15,10,8,10.2,12.7,15.03,3,7,34,7,8,116.7,67.69,68.4,54.93,105.4,64.06,1,Incheon United 1-3 Daejeon Hana Citizen,2026-03-18
Gangwon,0.48,1.25,-0.77,0.43,1.25,-0.82,0.04,0.00,0.04,0.48,1.25,-0.77,0,0,0,0.77,56.90,52.99,45.14,0.35,0.27,238,7,10,9,28.57,33.33,6.76,7,5,13,3,17,60.7,54.2,31.87,29.11,34.73,32.83,0,Bucheon 1995 0-0 Gangwon,2026-03-18
Bucheon 1995,1.25,0.48,0.77,1.25,0.43,0.82,0.00,0.04,-0.04,1.25,0.48,0.77,0,0,0,-0.77,43.10,47.01,46.34,0.27,0.35,176,8,9,10,33.33,28.57,13.76,5,7,8,2,14,51.3,45.8,77.6,70.89,71.07,67.17,1,Bucheon 1995 0-0 Gangwon,2026-03-18
