Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Independiente,0.26,0.75,-0.49,0.25,0.69,-0.44,0.01,0.06,-0.05,0.26,0.75,-0.49,1,1,0,0.49,50.30,47.37,48.25,0.17,0.38,129,5,6,13,35.29,34.21,5.44,5,7,10,3,19,35.8,30.34,26.0,50.13,33.2,35.44,6,Newell's Old Boys 1-1 Independiente,2026-01-27
Newell's Old Boys,0.75,0.26,0.49,0.69,0.25,0.44,0.06,0.01,0.05,0.75,0.26,0.49,1,1,0,-0.49,49.70,52.63,50.80,0.38,0.17,139,11,13,6,34.21,35.29,5.53,7,5,27,6,13,82.2,69.66,25.87,49.87,60.47,64.56,3,Newell's Old Boys 1-1 Independiente,2026-01-27
Central Córdoba SdE,0.22,1.14,-0.92,0.22,1.07,-0.85,0.00,0.07,-0.07,0.22,1.14,-0.92,0,0,0,0.92,36.60,32.22,42.33,0.17,1.63,103,4,3,20,17.65,12.27,11.06,1,3,10,2,14,7.1,4.33,56.07,81.26,23.3,15.22,0,Atlético Tucumán 0-0 Central Córdoba SdE,2026-01-27
Atlético Tucumán,1.14,0.22,0.92,1.07,0.22,0.85,0.07,0.00,0.07,1.14,0.22,0.92,0,0,0,-0.92,63.40,67.78,49.48,1.63,0.17,236,21,20,3,12.27,17.65,9.00,3,1,30,5,17,156.7,95.67,12.93,18.74,129.77,84.78,0,Atlético Tucumán 0-0 Central Córdoba SdE,2026-01-27
Independiente Rivadavia,1.19,1.52,-0.33,0.67,1.43,-0.76,0.52,0.09,0.43,1.19,1.52,-0.33,2,1,1,1.33,39.30,48.4,48.40,0.39,1.0,133,4,8,9,20.51,9.0,10.64,7,9,8,5,14,50.9,43.54,92.93,96.0,104.33,81.13,2,Huracán 1-2 Independiente Rivadavia,2026-01-27
Huracán,1.52,1.19,0.33,1.43,0.67,0.76,0.09,0.52,-0.43,1.52,1.19,0.33,1,2,-1,-1.33,60.70,51.6,44.76,1.0,0.39,175,10,9,8,9.0,20.51,5.31,9,7,13,2,14,66.0,56.46,3.87,4.0,24.27,18.87,1,Huracán 1-2 Independiente Rivadavia,2026-01-27
San Lorenzo,1.01,0.54,0.47,0.93,0.52,0.41,0.09,0.02,0.07,1.01,0.54,0.47,1,0,1,0.53,41.60,49.63,47.90,0.47,0.33,137,8,9,13,19.15,39.39,10.52,3,6,15,4,12,49.8,41.43,55.4,85.06,76.3,65.36,1,Gimnasia Mendoza 0-1 San Lorenzo,2026-01-27
Gimnasia Mendoza,0.54,1.01,-0.47,0.52,0.93,-0.41,0.02,0.09,-0.07,0.54,1.01,-0.47,0,1,-1,-0.53,58.40,50.37,47.73,0.33,0.47,169,6,13,9,39.39,19.15,5.87,6,3,18,4,11,70.4,58.57,9.73,14.94,40.43,34.64,0,Gimnasia Mendoza 0-1 San Lorenzo,2026-01-27
Talleres de Córdoba,1.48,1.08,0.40,0.96,1.08,-0.12,0.53,0.00,0.53,1.48,1.08,0.40,1,2,-1,-1.40,46.40,44.65,46.10,0.7,0.59,141,17,21,10,30.0,16.95,8.77,4,3,18,7,11,88.5,51.01,32.53,55.27,83.3,56.74,2,Vélez Sarsfield 2-1 Talleres de Córdoba,2026-01-27
Vélez Sarsfield,1.08,1.48,-0.40,1.08,0.96,0.12,0.00,0.53,-0.53,1.08,1.48,-0.40,2,1,1,1.40,53.60,55.35,49.20,0.59,0.7,187,8,10,21,16.95,30.0,10.38,3,4,19,6,8,85.0,48.99,26.33,44.73,63.5,43.26,1,Vélez Sarsfield 2-1 Talleres de Córdoba,2026-01-27
Instituto,1.38,1.54,-0.16,1.33,1.54,-0.21,0.05,0.00,0.05,1.38,1.54,-0.16,1,2,-1,-0.84,54.80,48.2,45.70,1.12,0.76,174,14,10,10,8.93,13.16,10.69,2,2,13,2,13,57.9,46.58,24.47,33.34,40.87,29.26,6,Platense 2-1 Instituto,2026-01-26
Platense,1.54,1.38,0.16,1.54,1.33,0.21,0.00,0.05,-0.05,1.54,1.38,0.16,2,1,1,0.84,45.20,51.8,49.01,0.76,1.12,178,8,10,10,13.16,8.93,11.52,2,2,13,3,12,66.4,53.42,48.93,66.66,98.83,70.74,0,Platense 2-1 Instituto,2026-01-26
Sarmiento,0.11,2.82,-2.71,0.11,2.57,-2.46,0.00,0.25,-0.25,0.11,2.82,-2.71,0,1,-1,1.71,31.30,33.91,45.93,0.2,1.09,102,6,2,24,10.0,22.02,10.66,1,12,10,2,21,14.7,7.19,105.47,97.78,47.9,28.54,6,Argentinos Juniors 1-0 Sarmiento,2026-01-25
Argentinos Juniors,2.82,0.11,2.71,2.57,0.11,2.46,0.25,0.00,0.25,2.82,0.11,2.71,1,0,1,-1.71,68.70,66.09,46.49,1.09,0.2,201,15,24,2,22.02,10.0,4.21,12,1,28,9,8,189.8,92.81,2.4,2.22,119.93,71.46,0,Argentinos Juniors 1-0 Sarmiento,2026-01-25
Estudiantes Río Cuarto,0.49,1.15,-0.66,0.38,1.14,-0.76,0.11,0.01,0.10,0.49,1.15,-0.66,0,2,-2,-1.34,49.20,55.36,52.20,0.36,0.47,220,9,9,11,25.0,23.4,11.43,3,2,23,6,9,77.9,47.67,52.6,50.35,43.13,38.24,6,Tigre 2-0 Estudiantes Río Cuarto,2026-01-25
Tigre,1.15,0.49,0.66,1.14,0.38,0.76,0.01,0.11,-0.10,1.15,0.49,0.66,2,0,2,1.34,50.80,44.64,47.25,0.47,0.36,167,7,11,9,23.4,25.0,10.39,2,3,16,3,16,85.5,52.33,51.87,49.65,69.67,61.76,0,Tigre 2-0 Estudiantes Río Cuarto,2026-01-25
Deportivo Riestra,0.15,1.61,-1.46,0.10,1.11,-1.01,0.05,0.50,-0.45,0.15,1.61,-1.46,0,1,-1,0.46,22.00,27.18,48.58,0.27,0.71,86,3,6,19,22.22,26.76,13.37,1,7,4,1,19,25.0,9.68,143.13,98.3,47.53,28.81,7,Boca Juniors 1-0 Deportivo Riestra,2026-01-25
Boca Juniors,1.61,0.15,1.46,1.11,0.10,1.01,0.50,0.05,0.45,1.61,0.15,1.46,1,0,1,-0.46,78.00,72.82,50.59,0.71,0.27,307,12,19,6,26.76,22.22,4.77,7,1,33,12,9,233.2,90.32,2.47,1.7,117.47,71.19,0,Boca Juniors 1-0 Deportivo Riestra,2026-01-25
Belgrano,1.08,2.66,-1.58,0.98,1.59,-0.61,0.10,0.31,-0.21,1.08,1.90,-0.82,2,1,1,2.58,49.30,40.36,45.04,0.66,0.59,165,14,14,18,21.21,30.51,10.77,5,3,12,3,11,72.9,37.69,66.73,52.41,74.0,34.46,1,Rosario Central 1-2 Belgrano,2026-01-24
