Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Olimpia,2.36,1.30,1.06,1.60,1.28,0.32,0.00,0.02,-0.02,1.60,1.30,0.30,1,1,0,-1.06,65.50,67.93,48.24,1.22,0.89,240,16,16,8,13.11,8.99,6.59,5,0,31,4,14,143.4,94.34,5.87,4.48,76.07,55.49,2,2 de Mayo 1-1 Olimpia,2026-01-28
2 de Mayo,1.30,2.36,-1.06,1.28,1.60,-0.32,0.02,0.00,0.02,1.30,1.60,-0.30,1,1,0,1.06,34.50,32.07,43.14,0.89,1.22,98,12,8,16,8.99,13.11,15.16,0,5,9,1,13,8.6,5.66,125.13,95.52,61.03,44.51,2,2 de Mayo 1-1 Olimpia,2026-01-28
Sportivo Ameliano,0.61,1.48,-0.87,0.58,0.54,0.04,0.03,0.94,-0.91,0.61,1.48,-0.87,0,1,-1,-0.13,45.10,43.91,42.67,0.45,0.89,145,5,11,9,24.44,10.11,11.51,8,6,8,3,12,72.1,42.97,67.6,57.0,77.23,43.52,0,Libertad 1-0 Sportivo Ameliano,2026-01-28
Libertad,1.48,0.61,0.87,0.54,0.58,-0.04,0.94,0.03,0.91,1.48,0.61,0.87,1,0,1,0.13,54.90,56.09,44.66,0.89,0.45,200,11,9,11,10.11,24.44,14.80,6,8,24,8,8,95.7,57.03,51.0,43.0,100.23,56.48,2,Libertad 1-0 Sportivo Ameliano,2026-01-28
Cerro Porteño,2.07,3.68,-1.61,1.96,0.90,1.06,0.11,2.01,-1.90,2.07,2.92,-0.85,4,2,2,3.61,43.70,41.6,42.57,0.85,1.12,120,14,15,19,17.65,16.96,10.72,3,6,14,6,13,53.8,33.44,56.53,56.87,89.43,54.23,0,Sportivo San Lorenzo 2-4 Cerro Porteño,2026-01-27
Sportivo San Lorenzo,3.68,2.07,1.61,0.90,1.96,-1.06,2.01,0.11,1.90,2.92,2.07,0.85,2,4,-2,-3.61,56.30,58.4,48.22,1.12,0.85,198,19,19,15,16.96,17.65,7.41,6,3,20,8,12,107.1,66.56,42.87,43.13,75.47,45.77,1,Sportivo San Lorenzo 2-4 Cerro Porteño,2026-01-27
Nacional Asunción,1.57,1.12,0.45,1.29,0.92,0.37,0.27,0.20,0.07,1.57,1.12,0.45,2,1,1,0.55,50.40,48.58,40.99,1.02,0.86,143,11,7,14,6.86,16.28,11.21,6,9,11,4,12,62.4,42.65,38.8,44.6,76.4,42.4,3,Sportivo Luqueño 1-2 Nacional Asunción,2026-01-27
Sportivo Luqueño,1.12,1.57,-0.45,0.92,1.29,-0.37,0.20,0.27,-0.07,1.12,1.57,-0.45,1,2,-1,-0.55,49.60,51.42,42.52,0.86,1.02,146,15,14,7,16.28,6.86,9.50,9,6,13,4,8,83.9,57.35,48.2,55.4,103.8,57.6,2,Sportivo Luqueño 1-2 Nacional Asunción,2026-01-27
Rubio Ñú,1.05,1.36,-0.31,0.95,1.13,-0.18,0.09,0.23,-0.14,1.05,1.36,-0.31,2,2,0,0.31,46.90,57.68,52.08,0.7,0.89,191,9,8,10,11.43,11.24,10.03,6,2,19,4,15,56.7,55.21,57.4,74.67,85.63,62.22,1,Sportivo Ameliano 2-2 Rubio Ñú,2026-01-25
Sportivo Ameliano,1.36,1.05,0.31,1.13,0.95,0.18,0.23,0.09,0.14,1.36,1.05,0.31,2,2,0,-0.31,53.10,42.32,42.85,0.89,0.7,135,8,10,8,11.24,11.43,8.12,2,6,12,3,12,46.0,44.79,19.47,25.33,52.0,37.78,1,Sportivo Ameliano 2-2 Rubio Ñú,2026-01-25
