Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Paris FC,1.95,0.72,1.23,1.19,0.72,0.47,0.00,0.00,0.00,1.19,0.72,0.47,3,0,3,1.77,49.10,48.36,43.90,0.92,0.69,159,12,11,13,11.96,18.84,9.50,6,2,11,2,14,75.1,52.3,37.4,42.92,102.43,72.96,0,Olympique Marseille 0-3 Paris FC,2026-01-30
Olympique Marseille,0.72,1.95,-1.23,0.72,1.19,-0.47,0.00,0.00,0.00,0.72,1.19,-0.47,0,3,-3,-1.77,50.90,51.64,44.16,0.69,0.92,170,5,13,11,18.84,11.96,13.92,2,6,13,3,10,68.5,47.7,49.73,57.08,37.97,27.04,0,Olympique Marseille 0-3 Paris FC,2026-01-30
OL Lyonnes,2.89,0.33,2.56,2.8,0.33,2.47,0.1,0.0,0.1,2.89,0.33,2.56,0,0,0,-2.56,72.3,78.09,49.97,2.31,0.62,331,21,21,5,9.09,8.06,6.35,5,7,28,6,9,224.2,95.98,0.0,0.0,106.5,61.21,1,Paris FC 0-0 OL Lyonnes,2026-01-18
Paris FC,0.33,2.89,-2.56,0.33,2.8,-2.47,0.0,0.1,-0.1,0.33,2.89,-2.56,0,0,0,2.56,27.7,21.91,41.57,0.62,2.31,76,10,5,21,8.06,9.09,14.06,7,5,13,4,11,9.4,4.02,175.8,100.0,67.5,38.79,0,Paris FC 0-0 OL Lyonnes,2026-01-18
PSG,2.48,0.36,2.12,2.19,0.22,1.97,0.28,0.14,0.14,2.48,0.36,2.12,4,0,4,1.88,63.3,66.44,46.31,1.27,0.31,257,14,18,3,14.17,9.68,9.23,7,5,18,6,7,163.7,92.17,2.27,1.58,93.3,58.89,2,Le Havre 0-4 PSG,2026-01-17
Le Havre,0.36,2.48,-2.12,0.22,2.19,-1.97,0.14,0.28,-0.14,0.36,2.48,-2.12,0,4,-4,-1.88,36.7,33.56,45.15,0.31,1.27,113,6,3,18,9.68,14.17,12.19,5,7,9,3,10,13.9,7.83,141.0,98.42,65.13,41.11,1,Le Havre 0-4 PSG,2026-01-17
Olympique Marseille,0.78,1.28,-0.5,0.78,1.28,-0.5,0.0,0.0,0.0,0.78,1.28,-0.5,1,1,0,0.5,46.4,51.88,47.45,0.8,0.48,177,12,13,6,16.25,12.5,10.75,4,4,14,1,13,90.6,57.16,54.73,61.87,105.6,57.43,0,Fleury 91 1-1 Olympique Marseille,2026-01-17
Fleury 91,1.28,0.78,0.5,1.28,0.78,0.5,0.0,0.0,0.0,1.28,0.78,0.5,1,1,0,-0.5,53.6,48.12,41.05,0.48,0.8,148,11,6,13,12.5,16.25,8.1,4,4,19,2,15,67.9,42.84,33.73,38.13,78.27,42.57,0,Fleury 91 1-1 Olympique Marseille,2026-01-17
Dijon,1.75,1.25,0.5,0.96,1.07,-0.11,0.79,0.19,0.6,1.75,1.25,0.5,1,1,0,-0.5,58.9,64.95,49.43,0.79,0.48,255,10,19,12,24.05,25.0,7.91,5,6,25,6,14,143.2,70.47,26.07,32.67,130.53,65.09,1,Montpellier 1-1 Dijon,2026-01-17
Montpellier,1.25,1.75,-0.5,1.07,0.96,0.11,0.19,0.79,-0.6,1.25,1.75,-0.5,1,1,0,0.5,41.1,35.05,45.32,0.48,0.79,152,9,12,19,25.0,24.05,12.3,6,5,11,3,8,60.0,29.53,53.73,67.33,70.0,34.91,0,Montpellier 1-1 Dijon,2026-01-17
Nantes,2.64,1.56,1.08,2.64,1.29,1.35,0.0,0.28,-0.28,2.64,1.56,1.08,1,0,1,-0.08,49.9,33.65,34.33,1.6,0.78,94,21,8,19,5.0,24.36,11.68,5,15,13,1,12,52.2,24.12,37.47,34.48,66.57,27.02,0,Saint-Étienne 0-1 Nantes,2026-01-17
Saint-Étienne,1.56,2.64,-1.08,1.29,2.64,-1.35,0.28,0.0,0.28,1.56,2.64,-1.08,0,1,-1,0.08,50.1,66.35,50.41,0.78,1.6,232,14,19,8,24.36,5.0,7.46,15,5,24,8,12,164.2,75.88,71.2,65.52,179.8,72.98,1,Saint-Étienne 0-1 Nantes,2026-01-17
Strasbourg,1.34,1.2,0.14,1.08,1.08,0.0,0.26,0.12,0.14,1.34,1.2,0.14,1,0,1,0.86,57.2,46.32,38.37,0.28,0.93,147,10,14,10,50.0,10.75,13.92,6,8,13,6,7,75.7,52.1,14.8,10.79,38.37,24.61,0,Lens 0-1 Strasbourg,2026-01-17
Lens,1.2,1.34,-0.14,1.08,1.08,0.0,0.12,0.26,-0.14,1.2,1.34,-0.14,0,1,-1,-0.86,42.8,53.68,45.88,0.93,0.28,191,12,10,14,10.75,50.0,13.14,8,6,23,3,14,69.6,47.9,122.4,89.21,117.57,75.39,0,Lens 0-1 Strasbourg,2026-01-17
Nantes,1.74,2.08,-0.34,1.66,1.95,-0.29,0.07,0.14,-0.07,1.74,2.08,-0.34,2,1,1,1.34,52.0,38.67,36.9,0.45,1.05,123,6,14,20,31.11,19.05,12.77,6,7,13,5,11,68.2,33.41,23.67,23.94,41.77,22.41,0,Paris FC 1-2 Nantes,2026-01-14
Paris FC,2.08,1.74,0.34,1.95,1.66,0.29,0.14,0.07,0.07,2.08,1.74,0.34,1,2,-1,-1.34,48.0,61.33,47.84,1.05,0.45,221,17,20,14,19.05,31.11,12.67,7,6,23,8,8,135.9,66.59,75.2,76.06,144.6,77.59,0,Paris FC 1-2 Nantes,2026-01-14
Montpellier,0.9,0.43,0.47,0.74,0.38,0.36,0.16,0.06,0.1,0.9,0.43,0.47,1,2,-1,-1.47,46.9,41.7,38.56,0.6,0.28,111,9,12,12,20.0,42.86,10.88,5,13,9,3,19,59.5,46.05,74.33,67.45,83.17,54.3,0,Strasbourg 2-1 Montpellier,2026-01-14
Strasbourg,0.43,0.9,-0.47,0.38,0.74,-0.36,0.06,0.16,-0.1,0.43,0.9,-0.47,2,1,1,1.47,53.1,58.3,41.35,0.28,0.6,149,5,12,12,42.86,20.0,6.76,13,5,9,2,9,69.7,53.95,35.87,32.55,70.0,45.7,1,Strasbourg 2-1 Montpellier,2026-01-14
Saint-Étienne,0.73,1.6,-0.87,0.68,1.53,-0.85,0.05,0.07,-0.02,0.73,1.6,-0.87,1,0,1,1.87,39.0,35.77,43.1,0.35,1.15,126,2,12,10,34.29,8.7,11.94,5,4,12,2,12,47.1,25.01,79.0,93.75,77.9,55.97,0,Olympique Marseille 0-1 Saint-Étienne,2026-01-14
Olympique Marseille,1.6,0.73,0.87,1.53,0.68,0.85,0.07,0.05,0.02,1.6,0.73,0.87,0,1,-1,-1.87,61.0,64.23,46.2,1.15,0.35,227,12,10,12,8.7,34.29,10.89,4,5,20,3,6,141.2,74.99,5.27,6.25,61.27,44.03,0,Olympique Marseille 0-1 Saint-Étienne,2026-01-14
Lens,0.27,1.6,-1.33,0.27,1.55,-1.28,0.0,0.05,-0.05,0.27,1.6,-1.33,0,1,-1,0.33,22.2,10.07,31.63,0.16,2.65,52,1,3,26,18.75,9.81,26.64,5,14,5,0,5,0.1,0.02,201.6,98.69,11.4,2.18,0,OL Lyonnes 1-0 Lens,2026-01-14
OL Lyonnes,1.6,0.27,1.33,1.55,0.27,1.28,0.05,0.0,0.05,1.6,0.27,1.33,1,0,1,-0.33,77.8,89.93,56.54,2.65,0.16,621,50,26,3,9.81,18.75,8.93,14,5,20,3,7,564.5,99.98,2.67,1.31,511.47,97.82,3,OL Lyonnes 1-0 Lens,2026-01-14
Fleury 91,0.79,0.8,-0.01,0.51,0.69,-0.18,0.27,0.11,0.16,0.79,0.8,-0.01,1,1,0,0.01,60.4,49.83,44.5,0.68,0.34,255,10,8,9,11.76,26.47,8.38,8,10,26,6,13,103.5,54.02,3.47,3.41,68.6,33.45,0,Le Havre 1-1 Fleury 91,2026-01-14
Le Havre,0.8,0.79,0.01,0.69,0.51,0.18,0.11,0.27,-0.16,0.8,0.79,0.01,1,1,0,-0.01,39.6,50.17,48.17,0.34,0.68,185,9,9,8,26.47,11.76,10.34,10,8,13,2,17,88.1,45.98,98.27,96.59,136.5,66.55,0,Le Havre 1-1 Fleury 91,2026-01-14
