Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Athletic Club Boise,1.60,1.36,0.24,0.84,1.36,-0.52,0.00,0.00,0.00,0.84,1.36,-0.52,2,3,-1,-1.24,47.80,47.32,44.71,0.68,0.71,194,11,8,16,11.76,22.54,8.02,7,7,16,4,19,63.2,35.63,36.33,36.67,77.37,49.52,0,Union Omaha 3-2 Athletic Club Boise,2026-03-22
Union Omaha,1.36,1.60,-0.24,1.36,0.84,0.52,0.00,0.00,0.00,1.36,0.84,0.52,3,2,1,1.24,52.20,52.68,49.67,0.71,0.68,248,10,16,8,22.54,11.76,7.91,7,7,14,2,14,114.2,64.37,62.73,63.33,78.87,50.48,1,Union Omaha 3-2 Athletic Club Boise,2026-03-22
Portland Hearts of Pine,0.67,0.88,-0.21,0.67,0.8,-0.13,0.0,0.07,-0.07,0.67,0.88,-0.21,0,0,0,0.21,43.0,41.19,47.35,0.3,0.82,171,6,6,21,20.0,25.61,12.31,2,6,8,2,13,66.7,25.54,65.93,69.25,58.83,28.18,1,Alta 0-0 Portland Hearts of Pine,2026-03-21
Alta,0.88,0.67,0.21,0.8,0.67,0.13,0.07,0.0,0.07,0.88,0.67,0.21,0,0,0,-0.21,57.0,58.81,48.76,0.82,0.3,241,18,21,6,25.61,20.0,9.73,6,2,32,9,16,194.5,74.46,29.27,30.75,149.97,71.82,1,Alta 0-0 Portland Hearts of Pine,2026-03-21
Naples,0.2,0.71,-0.51,0.2,0.35,-0.15,0.0,0.36,-0.36,0.2,0.71,-0.51,1,0,1,1.51,61.4,53.14,43.82,0.35,0.2,196,5,7,11,20.0,55.0,7.43,7,6,12,2,12,62.0,54.63,12.47,11.14,28.53,24.9,0,Richmond Kickers 0-1 Naples,2026-03-21
Richmond Kickers,0.71,0.2,0.51,0.35,0.2,0.15,0.36,0.0,0.36,0.71,0.2,0.51,0,1,-1,-1.51,38.6,46.86,42.52,0.2,0.35,120,11,11,7,55.0,20.0,14.87,6,7,15,8,12,51.5,45.37,99.47,88.86,86.03,75.1,4,Richmond Kickers 0-1 Naples,2026-03-21
New York Cosmos,2.52,2.19,0.33,2.52,1.35,1.17,0.0,0.08,-0.08,2.52,1.43,1.09,1,3,-2,-2.33,50.2,47.45,47.29,0.24,1.01,174,6,11,10,45.83,9.9,8.85,6,4,13,4,17,122.2,54.97,42.4,45.4,86.97,35.91,1,Spokane Velocity 3-1 New York Cosmos,2026-03-21
Spokane Velocity,2.19,2.52,-0.33,1.35,2.52,-1.17,0.08,0.0,0.08,1.43,2.52,-1.09,3,1,2,2.33,49.8,52.55,46.66,1.01,0.24,160,15,10,11,9.9,45.83,9.16,4,6,11,4,11,100.1,45.03,51.0,54.6,155.22,64.09,2,Spokane Velocity 3-1 New York Cosmos,2026-03-21
Union Omaha,1.58,0.69,0.89,1.44,0.68,0.76,0.14,0.01,0.13,1.58,0.69,0.89,0,1,-1,-1.89,59.2,66.27,52.25,1.14,0.57,337,17,9,8,7.89,14.04,10.65,6,1,18,4,14,210.6,78.35,41.93,33.85,171.0,76.82,1,Spokane Velocity 1-0 Union Omaha,2026-03-15
Spokane Velocity,0.69,1.58,-0.89,0.68,1.44,-0.76,0.01,0.14,-0.13,0.69,1.58,-0.89,1,0,1,1.89,40.8,33.73,42.32,0.57,1.14,153,12,8,9,14.04,7.89,17.81,1,6,12,2,12,58.2,21.65,81.93,66.15,51.6,23.18,0,Spokane Velocity 1-0 Union Omaha,2026-03-15
