Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Estudiantes de Mérida,1.76,2.06,-0.30,1.76,1.95,-0.19,0.00,0.11,-0.11,1.76,2.06,-0.30,3,0,3,3.30,51.80,39.93,42.92,1.01,1.31,178,13,7,20,6.93,15.27,17.11,5,5,10,2,10,63.2,28.49,43.73,35.14,62.27,35.41,2,Anzoátegui 0-3 Estudiantes de Mérida,2026-02-23
Anzoátegui,2.06,1.76,0.30,1.95,1.76,0.19,0.11,0.00,0.11,2.06,1.76,0.30,0,3,-3,-3.30,48.20,60.07,50.37,1.31,1.01,218,18,20,7,15.27,6.93,17.70,5,5,23,9,7,158.6,71.51,80.73,64.86,113.57,64.59,0,Anzoátegui 0-3 Estudiantes de Mérida,2026-02-23
Deportivo La Guaira,1.83,2.42,-0.59,1.67,1.65,0.02,0.16,0.01,0.15,1.83,1.66,0.17,1,1,0,0.59,54.00,45.68,43.51,0.26,0.82,133,9,13,17,50.0,20.73,6.36,5,6,15,6,21,54.2,41.66,30.2,39.32,65.7,45.15,0,Zamora 1-1 Deportivo La Guaira,2026-02-23
Zamora,2.42,1.83,0.59,1.65,1.67,-0.02,0.01,0.16,-0.15,1.66,1.83,-0.17,1,1,0,-0.59,46.00,54.32,48.95,0.82,0.26,151,8,17,13,20.73,50.0,8.57,6,5,24,3,19,75.9,58.34,46.6,60.68,79.8,54.85,2,Zamora 1-1 Deportivo La Guaira,2026-02-23
Deportivo Táchira,2.25,0.88,1.37,2.25,0.88,1.37,0.0,0.0,0.0,2.25,0.88,1.37,3,2,1,-0.37,37.1,35.53,46.78,0.99,0.83,130,14,15,17,15.15,20.48,10.85,0,5,9,5,15,52.0,31.31,93.07,87.36,114.3,76.45,1,Monagas 2-3 Deportivo Táchira,2026-02-22
Monagas,0.88,2.25,-1.37,0.88,2.25,-1.37,0.0,0.0,0.0,0.88,2.25,-1.37,2,3,-1,0.37,62.9,64.47,50.82,0.83,0.99,271,9,17,15,20.48,15.15,6.25,5,0,26,2,16,114.1,68.69,13.47,12.64,35.2,23.55,0,Monagas 2-3 Deportivo Táchira,2026-02-22
UCV,3.18,2.71,0.47,3.06,1.94,1.12,0.12,0.01,0.11,3.18,1.95,1.23,2,1,1,0.53,35.2,35.31,45.32,0.58,1.23,110,10,16,19,27.59,15.45,13.72,7,5,8,2,12,52.4,26.56,79.33,85.37,85.4,53.39,0,Caracas 1-2 UCV,2026-02-22
Caracas,2.71,3.18,-0.47,1.94,3.06,-1.12,0.01,0.12,-0.11,1.95,3.18,-1.23,1,2,-1,-0.53,64.8,64.69,49.1,1.23,0.58,245,14,19,16,15.45,27.59,7.33,5,7,25,4,10,144.9,73.44,13.6,14.63,74.57,46.61,0,Caracas 1-2 UCV,2026-02-22
Portuguesa,1.45,1.42,0.03,0.61,0.64,-0.03,0.08,0.02,0.06,0.69,0.66,0.03,2,2,0,-0.03,56.9,65.37,50.64,1.3,0.79,245,18,15,11,11.54,13.92,7.53,5,0,21,6,13,133.6,83.14,42.47,48.51,115.07,75.17,0,Trujillanos 2-2 Portuguesa,2026-02-22
Trujillanos,1.42,1.45,-0.03,0.64,0.61,0.03,0.02,0.08,-0.06,0.66,0.69,-0.03,2,2,0,0.03,43.1,34.63,42.83,0.79,1.3,131,6,11,15,13.92,11.54,12.57,0,5,6,1,18,27.1,16.86,45.07,51.49,38.0,24.83,2,Trujillanos 2-2 Portuguesa,2026-02-22
Academia Puerto Cabello,2.09,1.54,0.55,1.23,0.78,0.45,0.1,0.0,0.1,1.33,0.78,0.55,1,2,-1,-1.55,75.5,76.85,46.82,0.86,0.16,243,12,20,7,23.26,43.75,5.24,6,2,29,10,12,178.3,83.43,2.27,1.47,95.6,43.43,0,Rayo Zuliano 2-1 Academia Puerto Cabello,2026-02-21
Rayo Zuliano,1.54,2.09,-0.55,0.78,1.23,-0.45,0.0,0.1,-0.1,0.78,1.33,-0.55,2,1,1,1.55,24.5,23.15,39.9,0.16,0.86,49,2,7,20,43.75,23.26,21.75,2,6,6,0,9,35.4,16.57,152.6,98.53,124.53,56.57,0,Rayo Zuliano 2-1 Academia Puerto Cabello,2026-02-21
Carabobo,2.14,0.49,1.65,1.82,0.47,1.35,0.32,0.02,0.3,2.14,0.49,1.65,1,1,0,-1.65,59.3,53.96,45.67,0.65,0.28,217,9,20,6,30.77,21.43,10.46,3,1,24,8,9,119.4,72.1,24.0,21.31,73.5,51.43,0,Metropolitanos 1-1 Carabobo,2026-02-20
Metropolitanos,0.49,2.14,-1.65,0.47,1.82,-1.35,0.02,0.32,-0.3,0.49,2.14,-1.65,1,1,0,1.65,40.7,46.04,48.33,0.28,0.65,172,7,6,20,21.43,30.77,15.21,1,3,18,4,11,46.2,27.9,88.6,78.69,69.4,48.57,0,Metropolitanos 1-1 Carabobo,2026-02-20
Zamora,0.58,1.12,-0.54,0.42,1.12,-0.7,0.16,0.0,0.16,0.58,1.12,-0.54,0,2,-2,-1.46,34.3,38.64,45.18,0.43,0.64,120,7,12,11,27.91,17.19,13.08,5,3,24,4,12,39.7,28.36,112.0,84.64,82.07,50.86,0,Academia Puerto Cabello 2-0 Zamora,2026-02-14
Academia Puerto Cabello,1.12,0.58,0.54,1.12,0.42,0.7,0.0,0.16,-0.16,1.12,0.58,0.54,2,0,2,1.46,65.7,61.36,45.32,0.64,0.43,228,10,11,12,17.19,27.91,7.9,3,5,15,3,15,100.3,71.64,20.33,15.36,79.3,49.14,1,Academia Puerto Cabello 2-0 Zamora,2026-02-14
Anzoátegui,1.44,1.91,-0.47,0.68,0.95,-0.27,0.0,0.96,-0.96,0.68,1.91,-1.23,3,0,3,3.47,26.9,23.48,45.18,0.27,1.53,60,5,8,20,29.63,13.07,11.25,2,2,10,4,15,27.6,11.79,95.27,98.07,85.33,68.12,0,Portuguesa 0-3 Anzoátegui,2026-02-14
Portuguesa,1.91,1.44,0.47,0.95,0.68,0.27,0.96,0.0,0.96,1.91,0.68,1.23,0,3,-3,-3.47,73.1,76.52,55.11,1.53,0.27,300,18,20,8,13.07,29.63,4.15,2,2,52,14,15,206.4,88.21,1.87,1.93,39.93,31.88,2,Portuguesa 0-3 Anzoátegui,2026-02-14
Trujillanos,0.69,1.11,-0.42,0.2,1.02,-0.82,0.5,0.09,0.41,0.69,1.11,-0.42,0,0,0,0.42,33.6,23.76,44.14,0.69,1.32,105,7,7,24,10.14,18.18,12.69,0,1,10,2,18,27.4,8.27,92.8,94.82,38.97,14.62,0,Deportivo Táchira 0-0 Trujillanos,2026-02-14
Deportivo Táchira,1.11,0.69,0.42,1.02,0.2,0.82,0.09,0.5,-0.41,1.11,0.69,0.42,0,0,0,-0.42,66.4,76.24,55.13,1.32,0.69,353,25,24,7,18.18,10.14,6.89,1,0,34,8,15,303.8,91.73,5.07,5.18,227.63,85.38,1,Deportivo Táchira 0-0 Trujillanos,2026-02-14
Caracas,0.29,0.79,-0.5,0.29,0.79,-0.5,0.0,0.0,0.0,0.29,0.79,-0.5,0,2,-2,-1.5,42.7,40.68,41.41,0.3,0.22,131,3,3,12,10.0,54.55,11.25,2,5,4,0,18,19.6,16.64,67.87,61.18,22.1,14.24,0,Deportivo La Guaira 2-0 Caracas,2026-02-14
Deportivo La Guaira,0.79,0.29,0.5,0.79,0.29,0.5,0.0,0.0,0.0,0.79,0.29,0.5,2,0,2,1.5,57.3,59.32,45.48,0.22,0.3,219,10,12,3,54.55,10.0,8.89,5,2,11,4,10,98.2,83.36,43.07,38.82,133.13,85.76,0,Deportivo La Guaira 2-0 Caracas,2026-02-14
Metropolitanos,1.91,2.04,-0.13,1.12,0.93,0.19,0.03,0.35,-0.32,1.15,1.28,-0.13,2,3,-1,-0.87,40.5,50.0,51.45,0.69,0.27,152,13,14,15,20.29,55.56,13.36,8,4,20,6,12,77.3,48.74,90.4,81.49,101.33,67.96,1,UCV 3-2 Metropolitanos,2026-02-13
UCV,2.04,1.91,0.13,0.93,1.12,-0.19,0.35,0.03,0.32,1.28,1.15,0.13,3,2,1,0.87,59.5,50.0,42.99,0.27,0.69,167,7,15,14,55.56,20.29,6.97,4,8,14,6,12,81.3,51.26,20.53,18.51,47.77,32.04,0,UCV 3-2 Metropolitanos,2026-02-13
Monagas,0.13,3.15,-3.02,0.09,2.61,-2.52,0.04,0.53,-0.49,0.13,3.15,-3.02,0,1,-1,2.02,43.8,46.84,47.28,0.38,1.16,157,6,10,20,26.32,17.24,19.22,1,7,15,1,10,41.3,29.63,71.53,65.15,63.6,38.1,1,Carabobo 1-0 Monagas,2026-02-13
Carabobo,3.15,0.13,3.02,2.61,0.09,2.52,0.53,0.04,0.49,3.15,0.13,3.02,1,0,1,-2.02,56.2,53.16,44.92,1.16,0.38,168,21,20,10,17.24,26.32,8.48,7,1,27,12,10,98.1,70.37,38.27,34.85,103.33,61.9,1,Carabobo 1-0 Monagas,2026-02-13
Rayo Zuliano,0.84,1.9,-1.06,0.84,1.78,-0.94,0.0,0.11,-0.11,0.84,1.9,-1.06,2,1,1,2.06,36.5,24.15,39.72,0.18,1.12,87,3,6,14,33.33,12.5,16.68,1,10,9,2,11,19.5,10.7,70.2,76.2,45.47,26.53,0,Estudiantes de Mérida 1-2 Rayo Zuliano,2026-02-13
Estudiantes de Mérida,1.9,0.84,1.06,1.78,0.84,0.94,0.11,0.0,0.11,1.9,0.84,1.06,1,2,-1,-2.06,63.5,75.85,47.93,1.12,0.18,237,17,14,6,12.5,33.33,5.75,10,1,36,8,16,162.8,89.3,21.93,23.8,125.9,73.47,0,Estudiantes de Mérida 1-2 Rayo Zuliano,2026-02-13
Deportivo La Guaira,1.97,1.0,0.97,1.83,1.0,0.83,0.15,0.0,0.15,1.97,1.0,0.97,2,2,0,-0.97,59.6,70.14,51.64,1.32,0.25,273,18,17,8,12.88,32.0,9.36,2,2,25,6,13,191.4,90.28,19.2,17.37,134.53,83.61,1,Metropolitanos 2-2 Deportivo La Guaira,2026-02-08
Metropolitanos,1.0,1.97,-0.97,1.0,1.83,-0.83,0.0,0.15,-0.15,1.0,1.97,-0.97,2,2,0,0.97,40.4,29.86,44.67,0.25,1.32,125,9,8,17,32.0,12.88,13.66,2,2,12,2,13,20.6,9.72,91.33,82.63,26.37,16.39,0,Metropolitanos 2-2 Deportivo La Guaira,2026-02-08
Carabobo,2.85,0.82,2.03,2.73,0.82,1.91,0.12,0.0,0.12,2.85,0.82,2.03,1,1,0,-2.03,46.4,53.57,52.1,1.43,0.36,195,21,23,9,16.08,25.0,9.0,5,3,23,5,19,182.0,75.55,82.93,86.69,229.97,95.37,1,Trujillanos 1-1 Carabobo,2026-02-08
Trujillanos,0.82,2.85,-2.03,0.82,2.73,-1.91,0.0,0.12,-0.12,0.82,2.85,-2.03,1,1,0,2.03,53.6,46.43,45.59,0.36,1.43,182,8,9,23,25.0,16.08,8.0,3,5,13,4,15,58.9,24.45,12.73,13.31,11.17,4.63,1,Trujillanos 1-1 Carabobo,2026-02-08
UCV,1.27,0.97,0.3,1.22,0.92,0.3,0.05,0.04,0.01,1.27,0.97,0.3,3,0,3,2.7,40.0,41.47,41.6,0.55,0.45,109,10,13,12,23.64,26.67,10.69,2,4,12,4,17,32.9,31.33,74.53,81.67,112.83,84.1,0,Monagas 0-3 UCV,2026-02-07
Monagas,0.97,1.27,-0.3,0.92,1.22,-0.3,0.04,0.05,-0.01,0.97,1.27,-0.3,0,3,-3,-2.7,60.0,58.53,47.05,0.45,0.55,228,8,12,13,26.67,23.64,6.69,4,2,17,6,17,72.1,68.67,16.73,18.33,21.33,15.9,0,Monagas 0-3 UCV,2026-02-07
Academia Puerto Cabello,1.43,1.28,0.15,0.62,0.5,0.12,0.05,0.03,0.02,0.67,0.52,0.15,1,1,0,-0.15,52.7,51.17,44.95,0.39,0.44,183,5,8,9,20.51,20.45,10.09,6,7,14,1,12,65.3,54.74,34.2,42.61,60.2,50.39,0,Caracas 1-1 Academia Puerto Cabello,2026-02-07
Caracas,1.28,1.43,-0.15,0.5,0.62,-0.12,0.03,0.05,-0.02,0.52,0.67,-0.15,1,1,0,0.15,47.3,48.83,44.43,0.44,0.39,157,8,9,8,20.45,20.51,10.91,7,6,13,4,15,54.0,45.26,46.07,57.39,59.27,49.61,1,Caracas 1-1 Academia Puerto Cabello,2026-02-07
Estudiantes de Mérida,1.91,2.05,-0.14,0.82,2.01,-1.19,0.33,0.04,0.29,1.15,2.05,-0.9,2,3,-1,-0.86,53.3,49.39,43.59,0.94,0.87,149,16,14,17,14.89,19.54,8.18,2,2,21,2,9,83.1,46.27,25.67,32.25,60.63,34.5,1,Zamora 3-2 Estudiantes de Mérida,2026-02-07
Zamora,2.05,1.91,0.14,2.01,0.82,1.19,0.04,0.33,-0.29,2.05,1.15,0.9,3,2,1,0.86,46.7,50.61,47.34,0.87,0.94,153,17,17,14,19.54,14.89,10.72,2,2,19,7,18,96.5,53.73,53.93,67.75,115.1,65.5,2,Zamora 3-2 Estudiantes de Mérida,2026-02-07
Rayo Zuliano,3.81,0.98,2.83,3.66,0.86,2.8,0.15,0.13,0.02,3.81,0.98,2.83,3,1,2,-0.83,35.6,34.25,48.98,0.61,1.31,131,7,13,15,21.31,11.45,25.62,1,6,16,8,12,32.8,24.08,102.47,94.01,101.37,81.16,0,Anzoátegui 1-3 Rayo Zuliano,2026-02-06
Anzoátegui,0.98,3.81,-2.83,0.86,3.66,-2.8,0.13,0.15,-0.02,0.98,3.81,-2.83,1,3,-2,0.83,64.4,65.75,48.63,1.31,0.61,254,16,15,13,11.45,21.31,9.29,6,1,34,9,2,103.4,75.92,6.53,5.99,23.53,18.84,0,Anzoátegui 1-3 Rayo Zuliano,2026-02-06
Deportivo Táchira,0.78,1.09,-0.31,0.78,1.09,-0.31,0.0,0.0,0.0,0.78,1.09,-0.31,0,1,-1,-0.69,41.1,40.71,48.43,0.48,0.9,106,4,4,13,8.33,14.44,6.76,2,3,5,1,22,39.3,29.5,36.73,65.52,53.87,37.17,0,Portuguesa 1-0 Deportivo Táchira,2026-02-06
