Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Grobiņa,1.03,1.06,-0.03,1.01,1.06,-0.05,0.03,0,0.03,1.03,1.06,-0.03,1,0,1,1.03,38.7,28.65,42.97,0.36,0.95,127,7,6,12,16.67,12.63,10.14,4,7,11,3,25,13.9,6.86,62.07,70.64,40.8,25.45,2,Jelgava 0-1 Grobiņa,2026-03-21
Jelgava,1.06,1.03,0.03,1.06,1.01,0.05,0,0.03,-0.03,1.06,1.03,0.03,0,1,-1,-1.03,61.3,71.35,50.91,0.95,0.36,294,19,12,6,12.63,16.67,6.06,7,4,32,4,16,188.7,93.14,25.8,29.36,119.53,74.55,1,Jelgava 0-1 Grobiņa,2026-03-21
Daugavpils,0.79,5.16,-4.37,0.58,4.58,-4,0.21,0.58,-0.37,0.79,5.16,-4.37,1,4,-3,1.37,26.9,28.47,40.77,0.27,1.56,85,3,8,19,29.63,12.18,20.46,2,11,9,1,13,5.5,3.1,197.93,99.63,57.2,33.4,0,RFS 4-1 Daugavpils,2026-03-21
RFS,5.16,0.79,4.37,4.58,0.58,4,0.58,0.21,0.37,5.16,0.79,4.37,4,1,3,-1.37,73.1,71.53,42.18,1.56,0.27,237,24,19,8,12.18,29.63,6.61,11,2,18,6,8,172.2,96.9,0.73,0.37,114.06,66.6,0,RFS 4-1 Daugavpils,2026-03-21
Liepāja,3.69,0.54,3.15,2.59,0.54,2.05,0.34,0,0.34,2.93,0.54,2.39,1,0,1,-2.15,69.3,72.79,46.35,1.21,0.3,272,36,19,9,15.7,30,4.9,10,4,15,6,13,196.8,96.05,6.07,3.87,111.73,62.36,8,Ogre United 0-1 Liepāja,2026-03-20
Ogre United,0.54,3.69,-3.15,0.54,2.59,-2.05,0,0.34,-0.34,0.54,2.93,-2.39,0,1,-1,2.15,30.7,27.21,41.12,0.3,1.21,94,3,9,19,30,15.7,11.81,4,10,12,0,22,8.1,3.95,150.67,96.13,67.43,37.64,2,Ogre United 0-1 Liepāja,2026-03-20
Riga FC,3.06,1.75,1.31,3.06,0.99,2.07,0,0,0,3.06,0.99,2.07,2,1,1,-0.31,54.8,52.11,46.88,1.2,0.69,195,22,19,14,15.83,20.29,5.55,6,9,23,3,18,110.7,57.6,28.27,27.25,90.73,48.09,3,Auda 1-2 Riga FC,2026-03-20
Auda,1.75,3.06,-1.31,0.99,3.06,-2.07,0,0,0,0.99,3.06,-2.07,1,2,-1,0.31,45.2,47.89,48.12,0.69,1.2,173,9,14,19,20.29,15.83,6.28,9,6,11,2,22,81.5,42.4,75.47,72.75,97.93,51.91,0,Auda 1-2 Riga FC,2026-03-20
Tukums,1.63,0.76,0.87,1.39,0.74,0.65,0.25,0.02,0.23,1.63,0.76,0.87,1,1,0,-0.87,44.9,50,48.5,0.86,0.75,187,16,16,13,18.6,17.33,10.82,12,7,21,4,9,96.5,45.71,63.33,74.39,141.1,67.39,1,Ogre United 1-1 Tukums,2026-03-15
Ogre United,0.76,1.63,-0.87,0.74,1.39,-0.65,0.02,0.25,-0.23,0.76,1.63,-0.87,1,1,0,0.87,55.1,50,43.78,0.75,0.86,177,14,13,16,17.33,18.6,10.84,7,12,20,7,9,114.6,54.29,21.8,25.61,68.27,32.61,0,Ogre United 1-1 Tukums,2026-03-15
